Date,VN30F1M,TOTAL,value
2022-09-05 02:20:00,,0.0,0.0
2022-09-05 02:40:00,-0.0,0.0,0.0
2022-09-05 03:00:00,0.0,0.0,0.0
2022-09-05 03:20:00,-0.0,0.0,0.0
2022-09-05 03:40:00,0.0,0.0,0.0
2022-09-05 04:00:00,-0.0,0.0,0.0
2022-09-05 04:20:00,87522901.09562694,87522901.09562694,87522901.09562694
2022-09-05 04:40:00,44282420.197193384,44282420.197193384,131805321.29282032
2022-09-05 06:20:00,0.0,0.0,131805321.29282032
2022-09-05 06:40:00,-15629089.481359586,-15629089.481359586,116176231.81146073
2022-09-05 07:00:00,106798778.12263764,106798778.12263764,222975009.93409836
2022-09-05 07:20:00,-240491140.55026165,-240491140.55026165,-17516130.616163284
2022-09-05 07:40:00,48645688.99769834,48645688.99769834,31129558.381535053
2022-09-05 08:00:00,25386011.900699634,25386011.900699634,56515570.28223468
2022-09-06 02:20:00,-10306237.91697479,-10306237.91697479,46209332.36525989
2022-09-06 02:40:00,8733638.35589366,8733638.35589366,54942970.72115356
2022-09-06 03:00:00,-7794774.910698583,-7794774.910698583,47148195.81045497
2022-09-06 03:20:00,-17780681.910036765,-17780681.910036765,29367513.900418207
2022-09-06 03:40:00,47408189.69452897,47408189.69452897,76775703.59494717
2022-09-06 04:00:00,36312313.29457164,36312313.29457164,113088016.88951881
2022-09-06 04:20:00,-33893214.34542784,-33893214.34542784,79194802.54409097
2022-09-06 04:40:00,56156354.46733891,56156354.46733891,135351157.01142988
2022-09-06 06:20:00,-100552470.01897603,-100552470.01897603,34798686.99245384
2022-09-06 06:40:00,3705984.2736628293,3705984.2736628293,38504671.26611667
2022-09-06 07:00:00,98316806.53770442,98316806.53770442,136821477.8038211
2022-09-06 07:20:00,-46257008.63029998,-46257008.63029998,90564469.1735211
2022-09-06 07:40:00,2441635.8143058186,2441635.8143058186,93006104.98782691
2022-09-06 08:00:00,-46544.66051579334,-46544.66051579334,92959560.32731111
2022-09-07 02:20:00,16524621.790605422,16524621.790605422,109484182.11791654
2022-09-07 02:40:00,-113962.90890033927,-113962.90890033927,109370219.2090162
2022-09-07 03:00:00,-0.0,0.0,109370219.2090162
2022-09-07 03:20:00,-0.0,0.0,109370219.2090162
2022-09-07 03:40:00,8068181.744954261,8068181.744954261,117438400.95397046
2022-09-07 04:00:00,3789214.608779847,3789214.608779847,121227615.56275031
2022-09-07 04:20:00,-12475526.459352674,-12475526.459352674,108752089.10339764
2022-09-07 04:40:00,-129235.64773381583,-129235.64773381583,108622853.45566382
2022-09-07 06:20:00,1457067.6913435936,1457067.6913435936,110079921.1470074
2022-09-07 06:40:00,-149578.22318968005,-149578.22318968005,109930342.92381772
2022-09-07 07:00:00,3653190.9972675648,3653190.9972675648,113583533.92108528
2022-09-07 07:20:00,40814065.20623171,40814065.20623171,154397599.127317
2022-09-07 07:40:00,131550160.29837234,131550160.29837234,285947759.42568934
2022-09-07 08:00:00,113242762.99018319,113242762.99018319,399190522.4158725
2022-09-08 02:20:00,-127165154.95509225,-127165154.95509225,272025367.46078026
2022-09-08 02:40:00,-3069503.7402953543,-3069503.7402953543,268955863.7204849
2022-09-08 03:00:00,-0.0,0.0,268955863.7204849
2022-09-08 03:20:00,0.0,0.0,268955863.7204849
2022-09-08 03:40:00,-0.0,0.0,268955863.7204849
2022-09-08 04:00:00,0.0,0.0,268955863.7204849
2022-09-08 04:20:00,-9007091.108743781,-9007091.108743781,259948772.61174113
2022-09-08 04:40:00,494895.1158651554,494895.1158651554,260443667.72760627
2022-09-08 06:20:00,148468.53475962544,148468.53475962544,260592136.26236588
2022-09-08 06:40:00,0.0,0.0,260592136.26236588
2022-09-08 07:00:00,-0.0,0.0,260592136.26236588
2022-09-08 07:20:00,0.0,0.0,260592136.26236588
2022-09-08 07:40:00,0.0,0.0,260592136.26236588
2022-09-08 08:00:00,0.0,0.0,260592136.26236588
2022-09-09 02:20:00,0.0,0.0,260592136.26236588
2022-09-09 02:40:00,-0.0,0.0,260592136.26236588
2022-09-09 03:00:00,0.0,0.0,260592136.26236588
2022-09-09 03:20:00,-0.0,0.0,260592136.26236588
2022-09-09 03:40:00,0.0,0.0,260592136.26236588
2022-09-09 04:00:00,350841.10699618346,350841.10699618346,260942977.36936206
2022-09-09 04:20:00,-15288527.032714128,-15288527.032714128,245654450.33664793
2022-09-09 04:40:00,-11810119.736680683,-11810119.736680683,233844330.59996724
2022-09-09 06:20:00,-11810119.736680683,-11810119.736680683,222034210.86328655
2022-09-09 06:40:00,14762649.670851693,14762649.670851693,236796860.53413826
2022-09-09 07:00:00,26917301.25402063,26917301.25402063,263714161.7881589
2022-09-09 07:20:00,87572580.44783537,87572580.44783537,351286742.2359943
2022-09-09 07:40:00,-254409234.6554705,-254409234.6554705,96877507.58052379
2022-09-09 08:00:00,-95823889.07271472,-95823889.07271472,1053618.5078090727
2022-09-12 02:20:00,-140333915.26867348,-140333915.26867348,-139280296.7608644
2022-09-12 02:40:00,-5915558.38751284,-5915558.38751284,-145195855.14837724
2022-09-12 03:00:00,12109272.163444642,12109272.163444642,-133086582.9849326
2022-09-12 03:20:00,-394660.2682047225,-394660.2682047225,-133481243.25313732
2022-09-12 03:40:00,-1085139.065541662,-1085139.065541662,-134566382.31867898
2022-09-12 04:00:00,589544.8875395609,589544.8875395609,-133976837.43113941
2022-09-12 04:20:00,2617966.399675185,2617966.399675185,-131358871.03146422
2022-09-12 04:40:00,-44654.91260761842,-44654.91260761842,-131403525.94407184
2022-09-12 06:20:00,-67142.26220993014,-67142.26220993014,-131470668.20628178
2022-09-12 06:40:00,189338.45208871603,189338.45208871603,-131281329.75419307
2022-09-12 07:00:00,-3177231.6898515476,-3177231.6898515476,-134458561.44404462
2022-09-12 07:20:00,-2484424.035436809,-2484424.035436809,-136942985.47948143
2022-09-12 07:40:00,6020285.653603637,6020285.653603637,-130922699.82587779
2022-09-12 08:00:00,-8188333.9401298,-8188333.9401298,-139111033.76600757
2022-09-12 08:20:00,2137952.4039692697,2137952.4039692697,-136973081.3620383
2022-09-13 02:20:00,1502714.1497550316,1502714.1497550316,-135470367.21228328
2022-09-13 02:40:00,-1229493.3952540886,-1229493.3952540886,-136699860.60753736
2022-09-13 03:00:00,273220.75450094306,273220.75450094306,-136426639.8530364
2022-09-13 03:20:00,-546441.5090018861,-546441.5090018861,-136973081.36203828
2022-09-13 03:40:00,273220.75450094306,273220.75450094306,-136699860.60753733
2022-09-13 04:00:00,-1229493.3952540886,-1229493.3952540886,-137929354.0027914
2022-09-13 04:20:00,409831.13175157,409831.13175157,-137519522.87103984
2022-09-13 04:40:00,546441.5090015755,546441.5090015755,-136973081.36203825
2022-09-13 06:20:00,1639324.5270053481,1639324.5270053481,-135333756.8350329
2022-09-13 06:40:00,-2049155.6587566072,-2049155.6587566072,-137382912.49378952
2022-09-13 07:00:00,-2458986.7905078665,-2458986.7905078665,-139841899.28429738
2022-09-13 07:20:00,1092883.0180034619,1092883.0180034619,-138749016.2662939
2022-09-13 07:40:00,3005428.2995097525,3005428.2995097525,-135743587.96678415
2022-09-13 08:00:00,-7834605.1353128245,-7834605.1353128245,-143578193.10209697
2022-09-14 02:20:00,-27868516.959089983,-27868516.959089983,-171446710.06118697
2022-09-14 02:40:00,2185766.036007234,2185766.036007234,-169260944.02517974
2022-09-14 03:00:00,1502714.149754721,1502714.149754721,-167758229.875425
2022-09-14 03:20:00,-1502714.149754721,-1502714.149754721,-169260944.02517974
2022-09-14 03:40:00,-683051.8862522024,-683051.8862522024,-169943995.91143194
2022-09-14 04:00:00,136610.37725031623,136610.37725031623,-169807385.53418162
2022-09-14 04:20:00,-987728.011307643,-987728.011307643,-170795113.54548928
2022-09-14 04:40:00,377400.743732015,377400.743732015,-170417712.80175728
2022-09-14 06:20:00,1778751.9654414356,1778751.9654414356,-168638960.83631584
2022-09-14 06:40:00,1510567.4391743517,1510567.4391743517,-167128393.3971415
2022-09-14 07:00:00,43060447.56635227,43060447.56635227,-124067945.83078921
2022-09-14 07:20:00,18692820.159266967,18692820.159266967,-105375125.67152224
2022-09-14 07:40:00,-558822.8889462082,-558822.8889462082,-105933948.56046845
2022-09-14 08:00:00,-10164514.625693163,-10164514.625693163,-116098463.18616161
2022-09-15 02:20:00,2687525.748725854,2687525.748725854,-113410937.43743575
