Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,-2975528.8226553258,-2975528.8226553258,-2975528.8226553258
2022-09-05 02:40:00,-2028769.6518118891,-2028769.6518118891,-5004298.474467215
2022-09-05 02:45:00,-0.0,0.0,-5004298.474467215
2022-09-05 02:50:00,-2705026.2024132893,-2705026.2024132893,-7709324.676880505
2022-09-05 02:55:00,-1352513.1012074135,-1352513.1012074135,-9061837.778087918
2022-09-05 03:00:00,-1352513.1012074135,-1352513.1012074135,-10414350.87929533
2022-09-05 03:05:00,2705026.202414827,2705026.202414827,-7709324.676880503
2022-09-05 03:10:00,1352513.1012074135,1352513.1012074135,-6356811.575673089
2022-09-05 03:15:00,676256.5506029379,676256.5506029379,-5680555.025070151
2022-09-05 03:20:00,-0.0,0.0,-5680555.025070151
2022-09-05 03:25:00,-4733795.854225178,-4733795.854225178,-10414350.87929533
2022-09-05 03:30:00,-10143848.259053294,-10143848.259053294,-20558199.138348624
2022-09-05 03:35:00,-2028769.6518103515,-2028769.6518103515,-22586968.790158976
2022-09-05 03:40:00,-1352513.1012074135,-1352513.1012074135,-23939481.89136639
2022-09-05 03:45:00,2028769.6518103515,2028769.6518103515,-21910712.239556037
2022-09-05 03:50:00,-3381282.753017765,-3381282.753017765,-25291994.9925738
2022-09-05 03:55:00,-4057539.303620703,-4057539.303620703,-29349534.296194505
2022-09-05 04:00:00,36517853.73259248,36517853.73259248,7168319.436397973
2022-09-05 04:05:00,4451866.229079386,4451866.229079386,11620185.66547736
2022-09-05 04:10:00,18293465.788676515,18293465.788676515,29913651.454153873
2022-09-05 04:15:00,52267045.11050093,52267045.11050093,82180696.5646548
2022-09-05 04:20:00,13066761.277625233,13066761.277625233,95247457.84228003
2022-09-05 04:25:00,57493749.621552214,57493749.621552214,152741207.46383226
2022-09-05 04:30:00,-13066761.277625233,-13066761.277625233,139674446.18620703
2022-09-05 04:35:00,-0.0,0.0,139674446.18620703
2022-09-05 06:05:00,15680113.533147903,15680113.533147903,155354559.71935493
2022-09-05 06:10:00,5226704.511051281,5226704.511051281,160581264.2304062
2022-09-05 06:15:00,-33973579.32182442,-33973579.32182442,126607684.90858178
2022-09-05 06:20:00,13066761.277625233,13066761.277625233,139674446.186207
2022-09-05 06:25:00,2613352.2555226698,2613352.2555226698,142287798.44172966
2022-09-05 06:30:00,-41813636.08839837,-41813636.08839837,100474162.3533313
2022-09-05 06:35:00,-3925365.9135436052,-3925365.9135436052,96548796.43978769
2022-09-05 06:40:00,8800048.123932209,8800048.123932209,105348844.5637199
2022-09-05 06:45:00,36177975.62060475,36177975.62060475,141526820.18432465
2022-09-05 06:50:00,-10755614.373692945,-10755614.373692945,130771205.8106317
2022-09-05 06:55:00,1955566.2497629598,1955566.2497629598,132726772.06039467
2022-09-05 07:00:00,12711180.623455904,12711180.623455904,145437952.6838506
2022-09-05 07:05:00,-77220018.38451573,-77220018.38451573,68217934.29933485
2022-09-05 07:10:00,8214869.138606845,8214869.138606845,76432803.4379417
2022-09-05 07:15:00,-20537172.846520223,-20537172.846520223,55895630.59142148
2022-09-05 07:20:00,-42443490.54947389,-42443490.54947389,13452140.041947588
2022-09-05 07:25:00,32859476.554430496,32859476.554430496,46311616.59637809
2022-09-05 07:30:00,32859476.554433603,32859476.554433603,79171093.15081169
2022-09-05 07:35:00,0.0,0.0,79171093.15081169
2022-09-05 07:50:00,31011130.99824492,31011130.99824492,110182224.14905661
2022-09-06 02:05:00,-26013752.2722602,-26013752.2722602,84168471.87679641
