Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-13413403.453739457,-13413403.453739457,-13413403.453739457
2022-09-05 02:15:00,-15242503.924705505,-15242503.924705505,-28655907.378444962
2022-09-05 02:20:00,45727511.774116516,45727511.774116516,17071604.395671554
2022-09-05 02:25:00,-21339505.494589094,-21339505.494589094,-4267901.09891754
2022-09-05 02:30:00,-18291004.709643833,-18291004.709643833,-22558905.808561374
2022-09-05 02:35:00,6097001.569876657,6097001.569876657,-16461904.238684718
2022-09-05 02:40:00,9145502.354828848,9145502.354828848,-7316401.88385587
2022-09-05 02:45:00,0.0,0.0,-7316401.88385587
2022-09-05 02:50:00,12194003.139760245,12194003.139760245,4877601.255904375
2022-09-05 02:55:00,4503852.025351416,4503852.025351416,9381453.281255791
2022-09-05 03:00:00,5159854.778982223,5159854.778982223,14541308.060238015
2022-09-05 03:05:00,-10319709.557964446,-10319709.557964446,4221598.502273569
2022-09-05 03:10:00,-5159854.778982223,-5159854.778982223,-938256.2767086541
2022-09-05 03:15:00,-3019250.872893118,-3019250.872893118,-3957507.149601772
2022-09-05 03:20:00,-293947.67614298104,-293947.67614298104,-4251454.825744753
2022-09-05 03:25:00,16071037.18215036,16071037.18215036,11819582.356405608
2022-09-05 03:30:00,28040171.4942221,28040171.4942221,39859753.850627705
2022-09-05 03:35:00,6219236.904856693,6219236.904856693,46078990.7554844
2022-09-05 03:40:00,3089417.0840675337,3089417.0840675337,49168407.83955193
2022-09-05 03:45:00,-10770973.47183128,-10770973.47183128,38397434.36772065
2022-09-05 03:50:00,16279209.137373969,16279209.137373969,54676643.50509462
2022-09-05 03:55:00,20103955.91713649,20103955.91713649,74780599.42223111
2022-09-05 04:00:00,-180935603.25425887,-180935603.25425887,-106155003.83202776
2022-09-05 04:05:00,-5951717.073321135,-5951717.073321135,-112106720.9053489
2022-09-05 04:10:00,-21078643.132874604,-21078643.132874604,-133185364.0382235
2022-09-05 04:15:00,-1495971.5408899672,-1495971.5408899672,-134681335.57911348
2022-09-05 04:20:00,4339364.411562154,4339364.411562154,-130341971.16755132
2022-09-05 04:25:00,61754193.76366781,61754193.76366781,-68587777.40388352
2022-09-05 04:30:00,-19312611.644651763,-19312611.644651763,-87900389.04853529
2022-09-05 04:35:00,-0.0,0.0,-87900389.04853529
2022-09-05 06:05:00,22174034.46594267,22174034.46594267,-65726354.58259262
2022-09-05 06:10:00,7391344.821983691,7391344.821983691,-58335009.76060893
2022-09-05 06:15:00,-48043741.34288138,-48043741.34288138,-106378751.10349031
2022-09-05 06:20:00,18478362.054955024,18478362.054955024,-87900389.04853529
2022-09-05 06:25:00,3695672.410987644,3695672.410987644,-84204716.63754764
2022-09-05 06:30:00,-59130758.57585272,-59130758.57585272,-143335475.21340036
2022-09-05 06:35:00,-0.0,0.0,-143335475.21340036
2022-09-05 06:40:00,33261051.698922403,33261051.698922403,-110074423.51447797
2022-09-05 06:45:00,136739879.20666045,136739879.20666045,26665455.69218248
2022-09-05 06:50:00,-40652396.520897694,-40652396.520897694,-13986940.828715213
2022-09-05 06:55:00,7391344.821983691,7391344.821983691,-6595596.006731521
2022-09-05 07:00:00,48043741.34288138,48043741.34288138,41448145.33614986
2022-09-05 07:05:00,-206957655.0154929,-206957655.0154929,-165509509.67934304
2022-09-05 07:10:00,22174034.46594267,22174034.46594267,-143335475.21340036
2022-09-05 07:15:00,-55435086.16486507,-55435086.16486507,-198770561.37826544
2022-09-05 07:20:00,-114565844.74071778,-114565844.74071778,-313336406.1189832
2022-09-05 07:25:00,88696137.86377907,88696137.86377907,-224640268.25520414
2022-09-05 07:30:00,73439688.24575734,73439688.24575734,-151200580.0094468
2022-09-05 07:35:00,0.0,0.0,-151200580.0094468
2022-09-05 07:50:00,67922706.23687984,67922706.23687984,-83277873.77256696
2022-09-06 02:05:00,-50807059.96224565,-50807059.96224565,-134084933.73481262
2022-09-06 02:10:00,-10696223.149942292,-10696223.149942292,-144781156.8847549
2022-09-06 02:15:00,-5348111.574974186,-5348111.574974186,-150129268.45972908
2022-09-06 02:20:00,-53481115.7497297,-53481115.7497297,-203610384.20945877
2022-09-06 02:25:00,5348111.574974186,5348111.574974186,-198262272.6344846
2022-09-06 02:30:00,-5151880.566816015,-5151880.566816015,-203414153.2013006
2022-09-06 02:35:00,8343487.11344825,8343487.11344825,-195070666.08785233
2022-09-06 02:40:00,-14561314.44385856,-14561314.44385856,-209631980.5317109
2022-09-06 02:45:00,3539105.17988969,3539105.17988969,-206092875.3518212
2022-09-06 02:50:00,-4371441.226066553,-4371441.226066553,-210464316.57788777
2022-09-06 02:55:00,-959362.7744724096,-959362.7744724096,-211423679.3523602
2022-09-06 03:00:00,-4697715.143138853,-4697715.143138853,-216121394.49549904
2022-09-06 03:05:00,-3758172.1145108687,-3758172.1145108687,-219879566.6100099
2022-09-06 03:10:00,3104311.2355352123,3104311.2355352123,-216775255.3744747
2022-09-06 03:15:00,-1620223.6832283123,-1620223.6832283123,-218395479.05770302
2022-09-06 03:20:00,0.0,0.0,-218395479.05770302
2022-09-06 03:25:00,-810111.8416132352,-810111.8416132352,-219205590.89931625
2022-09-06 03:30:00,8911230.257752955,8911230.257752955,-210294360.6415633
2022-09-06 03:35:00,-4050559.20806986,-4050559.20806986,-214344919.84963316
2022-09-06 03:40:00,9721342.099368032,9721342.099368032,-204623577.75026512
2022-09-06 03:45:00,5670782.891298172,5670782.891298172,-198952794.85896695
2022-09-06 03:50:00,9721342.099368032,9721342.099368032,-189231452.7595989
2022-09-06 03:55:00,2796465.379080724,2796465.379080724,-186434987.3805182
2022-09-06 04:00:00,-28531433.381994784,-28531433.381994784,-214966420.76251298
2022-09-06 04:05:00,12555219.521849193,12555219.521849193,-202411201.2406638
2022-09-06 04:10:00,-18197119.74760441,-18197119.74760441,-220608320.9882682
2022-09-06 04:15:00,18414715.74091303,18414715.74091303,-202193605.24735516
2022-09-06 04:20:00,-55244147.22273909,-55244147.22273909,-257437752.47009426
2022-09-06 04:25:00,55244147.22273909,55244147.22273909,-202193605.24735516
2022-09-06 04:30:00,11048829.444546143,11048829.444546143,-191144775.80280903
2022-09-06 04:35:00,7365886.296366886,7365886.296366886,-183778889.50644213
2022-09-06 06:05:00,-40512374.630005315,-40512374.630005315,-224291264.13644743
2022-09-06 06:10:00,-3682943.1481876303,-3682943.1481876303,-227974207.28463507
2022-09-06 06:15:00,-3682943.148179256,-3682943.148179256,-231657150.43281433
2022-09-06 06:20:00,-99439465.00093204,-99439465.00093204,-331096615.43374634
2022-09-06 06:25:00,14731772.592733772,14731772.592733772,-316364842.84101254
2022-09-06 06:30:00,8808614.840387214,8808614.840387214,-307556228.0006253
2022-09-06 06:35:00,-5554877.284438157,-5554877.284438157,-313111105.28506345
2022-09-06 06:40:00,610483.453988791,610483.453988791,-312500621.83107466
2022-09-06 06:45:00,-23376519.374481723,-23376519.374481723,-335877141.2055564
2022-09-06 06:50:00,11225053.137292847,11225053.137292847,-324652088.06826353
2022-09-06 06:55:00,-11225053.137292847,-11225053.137292847,-335877141.2055564
2022-09-06 07:00:00,-27552403.155176092,-27552403.155176092,-363429544.3607325
2022-09-06 07:05:00,2040918.752235696,2040918.752235696,-361388625.6084968
2022-09-06 07:10:00,612275.6256710337,612275.6256710337,-360776349.98282576
2022-09-06 07:15:00,-16370445.47485368,-16370445.47485368,-377146795.45767945
2022-09-06 07:20:00,4511540.091495644,4511540.091495644,-372635255.3661838
2022-09-06 07:25:00,5800551.546207429,5800551.546207429,-366834703.8199764
2022-09-06 07:30:00,-2678715.9393877056,-2678715.9393877056,-369513419.75936407
2022-09-06 07:35:00,-1592706.3476616475,-1592706.3476616475,-371106126.10702574
2022-09-06 07:50:00,-5224076.8203302035,-5224076.8203302035,-376330202.92735595
2022-09-07 02:05:00,-3539265.0210216846,-3539265.0210216846,-379869467.9483776
2022-09-07 02:10:00,-4493890.552422691,-4493890.552422691,-384363358.5008003
2022-09-07 02:15:00,9724805.34081035,9724805.34081035,-374638553.15998995
2022-09-07 02:20:00,-19591701.72398726,-19591701.72398726,-394230254.88397723
2022-09-07 02:25:00,7414411.401172904,7414411.401172904,-386815843.48280436
2022-09-07 02:30:00,-22243234.20351028,-22243234.20351028,-409059077.68631464
2022-09-07 02:35:00,-3707205.7005906664,-3707205.7005906664,-412766283.3869053
2022-09-07 02:40:00,-29657645.604683187,-29657645.604683187,-442423928.9915885
2022-09-07 02:45:00,29657645.604683187,29657645.604683187,-412766283.3869053
2022-09-07 02:50:00,29657645.604683187,29657645.604683187,-383108637.78222215
2022-09-07 02:55:00,7414411.401172904,7414411.401172904,-375694226.3810493
2022-09-07 03:00:00,-3707205.7005822374,-3707205.7005822374,-379401432.08163154
2022-09-07 03:05:00,-18536028.502928045,-18536028.502928045,-397937460.58455956
2022-09-07 03:10:00,85265731.11346732,85265731.11346732,-312671729.4710922
2022-09-07 03:15:00,3707205.7005822374,3707205.7005822374,-308964523.77050996
2022-09-07 03:20:00,3707205.7005906664,3707205.7005906664,-305257318.0699193
2022-09-07 03:25:00,11121617.10175514,11121617.10175514,-294135700.96816415
2022-09-07 03:30:00,-0.0,0.0,-294135700.96816415
2022-09-07 03:35:00,-37072057.00585609,-37072057.00585609,-331207757.97402024
2022-09-07 03:40:00,-37072057.00585609,-37072057.00585609,-368279814.97987634
2022-09-07 03:45:00,-7414411.401172904,-7414411.401172904,-375694226.3810492
2022-09-07 03:50:00,18536028.502928045,18536028.502928045,-357158197.8781212
2022-09-07 03:55:00,3707205.7005906664,3707205.7005906664,-353450992.1775305
2022-09-07 04:00:00,-35464162.85763324,-35464162.85763324,-388915155.03516376
2022-09-07 04:05:00,2338573.2703607054,2338573.2703607054,-386576581.76480305
2022-09-07 04:10:00,47329901.051303804,47329901.051303804,-339246680.71349925
2022-09-07 04:15:00,18120613.91361451,18120613.91361451,-321126066.79988474
2022-09-07 04:20:00,-19625779.967956714,-19625779.967956714,-340751846.76784146
2022-09-07 04:25:00,2354701.9664663468,2354701.9664663468,-338397144.8013751
2022-09-07 04:30:00,-14128211.798808789,-14128211.798808789,-352525356.6001839
2022-09-07 04:35:00,7064105.899404394,7064105.899404394,-345461250.7007795
2022-09-07 06:05:00,-28256423.59762293,-28256423.59762293,-373717674.2984024
2022-09-07 06:10:00,4709403.932938048,4709403.932938048,-369008270.3654644
2022-09-07 06:15:00,-12296790.839070112,-12296790.839070112,-381305061.20453453
2022-09-07 06:20:00,5972178.00191148,5972178.00191148,-375332883.20262307
2022-09-07 06:25:00,-1659757.870839119,-1659757.870839119,-376992641.0734622
2022-09-07 06:30:00,-2278114.2359816623,-2278114.2359816623,-379270755.30944383
2022-09-07 06:35:00,-607497.1295948183,-607497.1295948183,-379878252.43903863
2022-09-07 06:40:00,-52893883.07008075,-52893883.07008075,-432772135.5091194
2022-09-07 06:45:00,-18032005.5920748,-18032005.5920748,-450804141.1011942
2022-09-07 06:50:00,10017780.88448499,10017780.88448499,-440786360.2167092
2022-09-07 06:55:00,-9862666.763103314,-9862666.763103314,-450649026.9798125
2022-09-07 07:00:00,-93834410.45005167,-93834410.45005167,-544483437.4298642
2022-09-07 07:05:00,-26463103.103932872,-26463103.103932872,-570946540.533797
2022-09-07 07:10:00,1121748.6221403906,1121748.6221403906,-569824791.9116566
2022-09-07 07:15:00,-485868.1005182869,-485868.1005182869,-570310660.012175
2022-09-07 07:20:00,23541884.23403073,23541884.23403073,-546768775.7781442
2022-09-07 07:25:00,78570986.65719981,78570986.65719981,-468197789.12094444
2022-09-07 07:30:00,115270032.20580101,115270032.20580101,-352927756.91514343
2022-09-07 07:35:00,-7462855.36792228,-7462855.36792228,-360390612.28306574
2022-09-07 07:50:00,192728239.87655076,192728239.87655076,-167662372.40651497
2022-09-08 02:05:00,-220154233.35366058,-220154233.35366058,-387816605.7601756
2022-09-08 02:10:00,-14925710.735836077,-14925710.735836077,-402742316.4960117
2022-09-08 02:15:00,-11194283.051879179,-11194283.051879179,-413936599.54789084
2022-09-08 02:20:00,29851421.471680634,29851421.471680634,-384085178.0762102
2022-09-08 02:25:00,7462855.36792228,7462855.36792228,-376622322.7082879
2022-09-08 02:30:00,376910.4065640955,376910.4065640955,-376245412.3017238
2022-09-08 02:35:00,980812.4148077324,980812.4148077324,-375264599.88691604
2022-09-08 02:40:00,6583653.868349623,6583653.868349623,-368680946.0185664
2022-09-08 02:45:00,16459134.670879671,16459134.670879671,-352221811.34768677
2022-09-08 02:50:00,4937740.401266895,4937740.401266895,-347284070.9464199
2022-09-08 02:55:00,23042788.539229296,23042788.539229296,-324241282.4071906
2022-09-08 03:00:00,-30889307.406436853,-30889307.406436853,-355130589.8136275
2022-09-08 03:05:00,-4248719.47895831,-4248719.47895831,-359379309.2925858
2022-09-08 03:10:00,16994877.915828407,16994877.915828407,-342384431.3767574
2022-09-08 03:15:00,-8497438.95791662,-8497438.95791662,-350881870.334674
2022-09-08 03:20:00,-10621798.69739336,-10621798.69739336,-361503669.03206736
2022-09-08 03:25:00,29567490.762464967,29567490.762464967,-331936178.2696024
2022-09-08 03:30:00,-19917523.58594416,-19917523.58594416,-351853701.8555466
2022-09-08 03:35:00,-7208014.3256335575,-7208014.3256335575,-359061716.1811802
2022-09-08 03:40:00,21909893.56137921,21909893.56137921,-337151822.619801
2022-09-08 03:45:00,17631844.332729675,17631844.332729675,-319519978.2870713
2022-09-08 03:50:00,21565370.78837497,21565370.78837497,-297954607.4986963
2022-09-08 03:55:00,-29226073.93270915,-29226073.93270915,-327180681.4314055
2022-09-08 04:00:00,-27977893.59161519,-27977893.59161519,-355158575.0230207
2022-09-08 04:05:00,-20411650.55094401,-20411650.55094401,-375570225.5739647
2022-09-08 04:10:00,-4406446.217359481,-4406446.217359481,-379976671.7913242
2022-09-08 04:15:00,-579128.2411479577,-579128.2411479577,-380555800.03247213
2022-09-08 04:20:00,0.0,0.0,-380555800.03247213
2022-09-08 04:25:00,0.0,0.0,-380555800.03247213
2022-09-08 04:30:00,0.0,0.0,-380555800.03247213
2022-09-08 04:35:00,0.0,0.0,-380555800.03247213
2022-09-08 06:05:00,-2576899.1959197754,-2576899.1959197754,-383132699.2283919
2022-09-08 06:10:00,-17389239.759681392,-17389239.759681392,-400521938.9880733
2022-09-08 06:15:00,635768.1305992994,635768.1305992994,-399886170.85747397
2022-09-08 06:20:00,17801507.656755812,17801507.656755812,-382084663.20071816
2022-09-08 06:25:00,8302477.333419538,8302477.333419538,-373782185.8672986
2022-09-08 06:30:00,-16168202.633492142,-16168202.633492142,-389950388.5007907
2022-09-08 06:35:00,3782227.0709636486,3782227.0709636486,-386168161.4298271
2022-09-08 06:40:00,18911135.35482111,18911135.35482111,-367257026.075006
2022-09-08 06:45:00,27059292.164631393,27059292.164631393,-340197733.91037464
2022-09-08 06:50:00,25117023.695814013,25117023.695814013,-315080710.2145606
2022-09-08 06:55:00,-23442555.449427936,-23442555.449427936,-338523265.6639886
2022-09-08 07:00:00,-60309185.604433075,-60309185.604433075,-398832451.26842165
2022-09-08 07:05:00,24311943.653453127,24311943.653453127,-374520507.61496854
2022-09-08 07:10:00,-81700931.4780138,-81700931.4780138,-456221439.09298235
2022-09-08 07:15:00,-94270305.55155768,-94270305.55155768,-550491744.6445401
2022-09-08 07:20:00,135120771.29056457,135120771.29056457,-415370973.35397553
2022-09-08 07:25:00,-72273900.92285946,-72273900.92285946,-487644874.27683496
2022-09-08 07:30:00,-94270305.55155768,-94270305.55155768,-581915179.8283926
2022-09-08 07:35:00,-12569374.07354388,-12569374.07354388,-594484553.9019365
2022-09-08 07:50:00,-17536629.022814773,-17536629.022814773,-612021182.9247513
2022-09-09 02:05:00,104908266.17534335,104908266.17534335,-507112916.74940795
2022-09-09 02:10:00,4213030.092107052,4213030.092107052,-502899886.6573009
2022-09-09 02:15:00,23171665.5065816,23171665.5065816,-479728221.1507193
2022-09-09 02:20:00,6319545.138162972,6319545.138162972,-473408676.0125563
2022-09-09 02:25:00,-8426060.184214104,-8426060.184214104,-481834736.1967704
2022-09-09 02:30:00,-4213030.092107052,-4213030.092107052,-486047766.2888775
2022-09-09 02:35:00,-14745605.322372288,-14745605.322372288,-500793371.6112498
2022-09-09 02:40:00,23171665.50658639,23171665.50658639,-477621706.10466343
2022-09-09 02:45:00,0.0,0.0,-477621706.10466343
2022-09-09 02:50:00,-4213030.092107052,-4213030.092107052,-481834736.1967705
2022-09-09 02:55:00,7218649.485758651,7218649.485758651,-474616086.7110118
2022-09-09 03:00:00,12261622.052574733,12261622.052574733,-462354464.6584371
2022-09-09 03:05:00,-31880217.336693194,-31880217.336693194,-494234681.99513024
2022-09-09 03:10:00,-6529058.746697027,-6529058.746697027,-500763740.74182725
2022-09-09 03:15:00,-20510644.249976728,-20510644.249976728,-521274384.991804
2022-09-09 03:20:00,9932235.619908275,9932235.619908275,-511342149.37189573
2022-09-09 03:25:00,-1146642.3004695424,-1146642.3004695424,-512488791.67236525
2022-09-09 03:30:00,-7074897.671028775,-7074897.671028775,-519563689.34339404
2022-09-09 03:35:00,5984040.905683611,5984040.905683611,-513579648.4377104
2022-09-09 03:40:00,498739.84751344996,498739.84751344996,-513080908.59019697
2022-09-09 03:45:00,-362737.2358696283,-362737.2358696283,-513443645.8260666
2022-09-09 03:50:00,1504003.7928652745,1504003.7928652745,-511939642.03320134
2022-09-09 03:55:00,4686113.371766684,4686113.371766684,-507253528.66143465
2022-09-09 04:00:00,-3343846.3714267085,-3343846.3714267085,-510597375.03286135
2022-09-09 04:05:00,-8725370.61875959,-8725370.61875959,-519322745.6516209
2022-09-09 04:10:00,4944284.154233402,4944284.154233402,-514378461.4973875
2022-09-09 04:15:00,3795679.389716369,3795679.389716369,-510582782.10767114
2022-09-09 04:20:00,-15173194.37358708,-15173194.37358708,-525755976.4812582
2022-09-09 04:25:00,8625867.396177078,8625867.396177078,-517130109.08508116
2022-09-09 04:30:00,-16116235.298580231,-16116235.298580231,-533246344.3836614
2022-09-09 04:35:00,-960843.1530500562,-960843.1530500562,-534207187.53671145
2022-09-09 06:05:00,0.0,0.0,-534207187.53671145
2022-09-09 06:10:00,-7079323.419748878,-7079323.419748878,-541286510.9564604
2022-09-09 06:15:00,9444867.708694855,9444867.708694855,-531841643.2477655
2022-09-09 06:20:00,13906056.510951864,13906056.510951864,-517935586.7368136
