Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,1282912.653008992,1282912.653008992,1282912.653008992
2022-09-05 02:35:00,-6163728.645275734,-6163728.645275734,-4880815.9922667425
2022-09-05 02:40:00,-4785684.373150361,-4785684.373150361,-9666500.365417104
2022-09-05 02:45:00,-2277569.5544978245,-2277569.5544978245,-11944069.91991493
2022-09-05 02:50:00,-2584963.2400312517,-2584963.2400312517,-14529033.15994618
2022-09-05 02:55:00,-1292481.6200163604,-1292481.6200163604,-15821514.779962542
2022-09-05 03:00:00,275004.92599090445,275004.92599090445,-15546509.853971638
2022-09-05 03:05:00,-1333753.124987447,-1333753.124987447,-16880262.978959084
2022-09-05 03:10:00,471732.2455411162,471732.2455411162,-16408530.733417967
2022-09-05 03:15:00,1564243.0654750858,1564243.0654750858,-14844287.667942882
2022-09-05 03:20:00,-0.0,0.0,-14844287.667942882
2022-09-05 03:25:00,-19359213.581429377,-19359213.581429377,-34203501.24937226
2022-09-05 03:30:00,-40509954.339765646,-40509954.339765646,-74713455.58913791
2022-09-05 03:35:00,-8101990.867951902,-8101990.867951902,-82815446.45708981
2022-09-05 03:40:00,-5401327.245303314,-5401327.245303314,-88216773.70239313
2022-09-05 03:45:00,8101990.867951902,8101990.867951902,-80114782.83444123
2022-09-05 03:50:00,-13503318.113255216,-13503318.113255216,-93618100.94769645
2022-09-05 03:55:00,-16203981.735903803,-16203981.735903803,-109822082.68360025
2022-09-05 04:00:00,145835835.62315878,145835835.62315878,36013752.939558536
2022-09-05 04:05:00,6184737.384253778,6184737.384253778,42198490.32381231
2022-09-05 04:10:00,22135818.02075953,22135818.02075953,64334308.344571844
2022-09-05 04:15:00,73618233.97672565,73618233.97672565,137952542.3212975
2022-09-05 04:20:00,18404558.494181413,18404558.494181413,156357100.81547892
2022-09-05 04:25:00,80980057.3743999,80980057.3743999,237337158.18987882
2022-09-05 04:30:00,-18404558.494181413,-18404558.494181413,218932599.6956974
2022-09-05 04:35:00,-0.0,0.0,218932599.6956974
2022-09-05 06:05:00,22085470.193014346,22085470.193014346,241018069.88871175
2022-09-05 06:10:00,7361823.397674239,7361823.397674239,248379893.28638598
2022-09-05 06:15:00,-47851852.08487,-47851852.08487,200528041.20151597
2022-09-05 06:20:00,18404558.494181413,18404558.494181413,218932599.6956974
2022-09-05 06:25:00,3680911.698832935,3680911.698832935,222613511.39453033
2022-09-05 06:30:00,-58894587.18137717,-58894587.18137717,163718924.21315315
2022-09-05 06:35:00,-0.0,0.0,163718924.21315315
2022-09-05 06:40:00,15471937.264462573,15471937.264462573,179190861.4776157
2022-09-05 06:45:00,58422076.07986157,58422076.07986157,237612937.5574773
2022-09-05 06:50:00,-17368725.321039345,-17368725.321039345,220244212.23643795
2022-09-05 06:55:00,3157950.0583717683,3157950.0583717683,223402162.29480973
2022-09-05 07:00:00,20526675.379411113,20526675.379411113,243928837.67422083
2022-09-05 07:05:00,-88422601.63438798,-88422601.63438798,155506236.03983283
2022-09-05 07:10:00,9473850.175111715,9473850.175111715,164980086.21494454
2022-09-05 07:15:00,-23684625.43778288,-23684625.43778288,141295460.77716166
2022-09-05 07:20:00,-48948225.90474985,-48948225.90474985,92347234.87241182
2022-09-05 07:25:00,37895400.70045046,37895400.70045046,130242635.57286227
2022-09-05 07:30:00,29892423.634809285,29892423.634809285,160135059.20767155
2022-09-05 07:35:00,0.0,0.0,160135059.20767155
2022-09-05 07:50:00,27671488.404942542,27671488.404942542,187806547.6126141
2022-09-06 02:05:00,-23212286.079202827,-23212286.079202827,164594261.53341126
