Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-4296861.084829673,-4296861.084829673,-4296861.084829673
2022-09-05 02:15:00,-4882796.687306952,-4882796.687306952,-9179657.772136625
2022-09-05 02:20:00,14648390.061920855,14648390.061920855,5468732.28978423
2022-09-05 02:25:00,-6835915.362230178,-6835915.362230178,-1367183.0724459477
2022-09-05 02:30:00,-5859356.024767455,-5859356.024767455,-7226539.097213402
2022-09-05 02:35:00,1953118.6749210043,1953118.6749210043,-5273420.422292398
2022-09-05 02:40:00,2929678.0123859476,2929678.0123859476,-2343742.4099064507
2022-09-05 02:45:00,0.0,0.0,-2343742.4099064507
2022-09-05 02:50:00,3906237.349844229,3906237.349844229,1562494.9399377783
2022-09-05 02:55:00,1953118.6749232248,1953118.6749232248,3515613.614861003
2022-09-05 03:00:00,1953118.6749232248,1953118.6749232248,5468732.289784228
2022-09-05 03:05:00,-3906237.3498464497,-3906237.3498464497,1562494.9399377787
2022-09-05 03:10:00,-1953118.6749232248,-1953118.6749232248,-390623.7349854461
2022-09-05 03:15:00,-976559.3374605022,-976559.3374605022,-1367183.0724459481
2022-09-05 03:20:00,0.0,0.0,-1367183.0724459481
2022-09-05 03:25:00,11832433.374254659,11832433.374254659,10465250.301808711
2022-09-05 03:30:00,30941383.579387162,30941383.579387162,41406633.88119587
2022-09-05 03:35:00,8074444.591535529,8074444.591535529,49481078.472731404
2022-09-05 03:40:00,-8436564.602521751,-8436564.602521751,41044513.87020965
2022-09-05 03:45:00,5421798.967466602,5421798.967466602,46466312.83767625
2022-09-05 03:50:00,-20395156.3385104,-20395156.3385104,26071156.499165848
2022-09-05 03:55:00,-22036866.372898668,-22036866.372898668,4034290.12626718
2022-09-05 04:00:00,198331797.35612142,198331797.35612142,202366087.48238862
2022-09-05 04:05:00,7345622.124293989,7345622.124293989,209711709.6066826
2022-09-05 04:10:00,25709677.435054015,25709677.435054015,235421387.0417366
2022-09-05 04:15:00,73456221.2430067,73456221.2430067,308877608.2847433
2022-09-05 04:20:00,18364055.310751677,18364055.310751677,327241663.595495
2022-09-05 04:25:00,80801843.36730903,80801843.36730903,408043506.962804
2022-09-05 04:30:00,-18364055.310751677,-18364055.310751677,389679451.65205234
2022-09-05 04:35:00,-0.0,0.0,389679451.65205234
2022-09-05 06:05:00,22036866.372898668,22036866.372898668,411716318.024951
2022-09-05 06:10:00,7345622.124302341,7345622.124302341,419061940.1492533
2022-09-05 06:15:00,-47746543.80795269,-47746543.80795269,371315396.3413006
2022-09-05 06:20:00,18364055.310751677,18364055.310751677,389679451.6520523
2022-09-05 06:25:00,3672811.0621469943,3672811.0621469943,393352262.7141993
2022-09-05 06:30:00,-58764976.99440203,-58764976.99440203,334587285.71979725
2022-09-05 06:35:00,-0.0,0.0,334587285.71979725
2022-09-05 06:40:00,33055299.559356354,33055299.559356354,367642585.2791536
2022-09-05 06:45:00,135894009.29955572,135894009.29955572,503536594.5787093
2022-09-05 06:50:00,-40400921.683650345,-40400921.683650345,463135672.895059
2022-09-05 06:55:00,7345622.124302341,7345622.124302341,470481295.0193613
2022-09-05 07:00:00,47746543.80795269,47746543.80795269,518227838.827314
2022-09-05 07:05:00,-205677419.48041543,-205677419.48041543,312550419.34689856
2022-09-05 07:10:00,22036866.372898668,22036866.372898668,334587285.71979725
2022-09-05 07:15:00,-55092165.93225502,-55092165.93225502,279495119.7875422
2022-09-05 07:20:00,-113857142.92665705,-113857142.92665705,165637976.86088517
2022-09-05 07:25:00,-19833179.73561515,-19833179.73561515,145804797.12527
2022-09-05 07:30:00,0.0,0.0,145804797.12527
2022-09-05 07:35:00,0.0,0.0,145804797.12527
2022-09-05 07:50:00,0.0,0.0,145804797.12527
2022-09-06 02:05:00,0.0,0.0,145804797.12527
2022-09-06 02:10:00,1431744.903741868,1431744.903741868,147236542.02901188
2022-09-06 02:15:00,2227619.7608672776,2227619.7608672776,149464161.78987914
2022-09-06 02:20:00,71024443.61756095,71024443.61756095,220488605.4074401
2022-09-06 02:25:00,-7392452.690397328,-7392452.690397328,213096152.71704277
2022-09-06 02:30:00,7392452.690397328,7392452.690397328,220488605.4074401
2022-09-06 02:35:00,-14784905.380794656,-14784905.380794656,205703700.02664545
2022-09-06 02:40:00,33266037.106783766,33266037.106783766,238969737.13342923
2022-09-06 02:45:00,-14784905.380794656,-14784905.380794656,224184831.75263458
2022-09-06 02:50:00,40658489.7971811,40658489.7971811,264843321.54981568
2022-09-06 02:55:00,0.0,0.0,264843321.54981568
2022-09-06 03:00:00,-36962263.45197823,-36962263.45197823,227881058.09783745
2022-09-06 03:05:00,-29569810.761580903,-29569810.761580903,198311247.33625653
2022-09-06 03:10:00,14784905.380786251,14784905.380786251,213096152.71704277
2022-09-06 03:15:00,-7392452.690397328,-7392452.690397328,205703700.02664545
2022-09-06 03:20:00,0.0,0.0,205703700.02664545
2022-09-06 03:25:00,-3696226.3451944613,-3696226.3451944613,202007473.681451
2022-09-06 03:30:00,40658489.797172695,40658489.797172695,242665963.4786237
2022-09-06 03:35:00,-18481131.725989114,-18481131.725989114,224184831.75263458
2022-09-06 03:40:00,44354716.14237556,44354716.14237556,268539547.8950101
2022-09-06 03:45:00,25873584.416386444,25873584.416386444,294413132.31139654
2022-09-06 03:50:00,44354716.14237556,44354716.14237556,338767848.45377207
2022-09-06 03:55:00,11088679.035591789,11088679.035591789,349856527.48936385
2022-09-06 04:00:00,2287837.78237551,2287837.78237551,352144365.27173936
2022-09-06 04:05:00,-11396627.020777449,-11396627.020777449,340747738.2509619
2022-09-06 04:10:00,13451116.987336393,13451116.987336393,354198855.2382983
2022-09-06 04:15:00,-18404444.982711516,-18404444.982711516,335794410.2555868
2022-09-06 04:20:00,55213334.94813455,55213334.94813455,391007745.20372134
2022-09-06 04:25:00,-55213334.94813455,-55213334.94813455,335794410.2555868
2022-09-06 04:30:00,-11042666.989625236,-11042666.989625236,324751743.2659616
2022-09-06 04:35:00,-7361777.993086279,-7361777.993086279,317389965.2728753
2022-09-06 06:05:00,40489778.961961985,40489778.961961985,357879744.2348373
2022-09-06 06:10:00,3680888.996547325,3680888.996547325,361560633.23138463
2022-09-06 06:15:00,3680888.9965389553,3680888.9965389553,365241522.2279236
2022-09-06 06:20:00,99384002.90664385,99384002.90664385,464625525.13456744
2022-09-06 06:25:00,-14723555.986172559,-14723555.986172559,449901969.1483949
2022-09-06 06:30:00,-8834133.591698179,-8834133.591698179,441067835.5566967
2022-09-06 06:35:00,1677768.6388835385,1677768.6388835385,442745604.19558024
2022-09-06 06:40:00,5592562.129608826,5592562.129608826,448338166.32518905
2022-09-06 06:45:00,-61518183.42568437,-61518183.42568437,386819982.89950466
2022-09-06 06:50:00,30759091.712839007,30759091.712839007,417579074.61234367
2022-09-06 06:55:00,-30759091.712839007,-30759091.712839007,386819982.89950466
2022-09-06 07:00:00,-75499588.74970326,-75499588.74970326,311320394.1498014
2022-09-06 07:05:00,5592562.129608826,5592562.129608826,316912956.2794102
2022-09-06 07:10:00,41944215.97205666,41944215.97205666,358857172.2514669
2022-09-06 07:15:00,64314464.4904856,64314464.4904856,423171636.7419525
2022-09-06 07:20:00,-19573967.45362771,-19573967.45362771,403597669.2883248
2022-09-06 07:25:00,-25166529.58323018,-25166529.58323018,378431139.7050946
2022-09-06 07:30:00,22370248.518428944,22370248.518428944,400801388.2235235
2022-09-06 07:35:00,13981405.324018886,13981405.324018886,414782793.5475424
2022-09-06 07:50:00,40965517.59937534,40965517.59937534,455748311.1469177
2022-09-07 02:05:00,170573144.95302784,170573144.95302784,626321456.0999455
2022-09-07 02:10:00,-5592562.129602468,-5592562.129602468,620728893.9703431
2022-09-07 02:15:00,11185124.259211294,11185124.259211294,631914018.2295544
2022-09-07 02:20:00,-13981405.324018886,-13981405.324018886,617932612.9055356
2022-09-07 02:25:00,5592562.129608826,5592562.129608826,623525175.0351444
2022-09-07 02:30:00,-16777686.38882012,-16777686.38882012,606747488.6463243
2022-09-07 02:35:00,-2796281.064807592,-2796281.064807592,603951207.5815167
2022-09-07 02:40:00,-22370248.518428944,-22370248.518428944,581580959.0630878
2022-09-07 02:45:00,22370248.518428944,22370248.518428944,603951207.5815167
2022-09-07 02:50:00,22370248.518428944,22370248.518428944,626321456.0999457
2022-09-07 02:55:00,5592562.129608826,5592562.129608826,631914018.2295545
2022-09-07 03:00:00,-4455093.365601113,-4455093.365601113,627458924.8639535
2022-09-07 03:05:00,8190065.823009225,8190065.823009225,635648990.6869627
2022-09-07 03:10:00,-87354289.12437142,-87354289.12437142,548294701.5625913
2022-09-07 03:15:00,-3709103.1311493614,-3709103.1311493614,544585598.4314419
2022-09-07 03:20:00,-3709103.131157795,-3709103.131157795,540876495.3002841
2022-09-07 03:25:00,-7975154.551654362,-7975154.551654362,532901340.7486298
2022-09-07 03:30:00,0.0,0.0,532901340.7486298
