Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:45:00,0.0,0.0,0.0
2022-09-05 02:50:00,-1327475.7103388407,-1327475.7103388407,-1327475.7103388407
2022-09-05 02:55:00,-103584.16846286075,-103584.16846286075,-1431059.8788017016
2022-09-05 03:00:00,801920.669614018,801920.669614018,-629139.2091876835
2022-09-05 03:05:00,-1603841.339228036,-1603841.339228036,-2232980.5484157195
2022-09-05 03:10:00,-801920.669614018,-801920.669614018,-3034901.2180297375
2022-09-05 03:15:00,-400960.3348065532,-400960.3348065532,-3435861.5528362906
2022-09-05 03:20:00,-702677.3430082407,-702677.3430082407,-4138538.8958445312
2022-09-05 03:25:00,-5607003.406604133,-5607003.406604133,-9745542.302448664
2022-09-05 03:30:00,-11447400.461808706,-11447400.461808706,-21192942.76425737
2022-09-05 03:35:00,-3099073.251131514,-3099073.251131514,-24292016.015388884
2022-09-05 03:40:00,-2915676.862975667,-2915676.862975667,-27207692.87836455
2022-09-05 03:45:00,2618937.3267213004,2618937.3267213004,-24588755.551643252
2022-09-05 03:50:00,-8145854.986377593,-8145854.986377593,-32734610.538020846
2022-09-05 03:55:00,-8634245.848800952,-8634245.848800952,-41368856.3868218
2022-09-05 04:00:00,52807056.66731813,52807056.66731813,11438200.28049633
2022-09-05 04:05:00,3940453.286032386,3940453.286032386,15378653.566528715
2022-09-05 04:10:00,15480675.346232189,15480675.346232189,30859328.912760906
2022-09-05 04:15:00,60064580.661203355,60064580.661203355,90923909.57396427
2022-09-05 04:20:00,15016145.165300839,15016145.165300839,105940054.73926511
2022-09-05 04:25:00,66071038.72732506,66071038.72732506,172011093.46659017
2022-09-05 04:30:00,-17793303.5204785,-17793303.5204785,154217789.94611168
2022-09-05 04:35:00,-0.0,0.0,154217789.94611168
2022-09-05 06:05:00,20622960.156336937,20622960.156336937,174840750.1024486
2022-09-05 06:10:00,6874320.052114918,6874320.052114918,181715070.15456352
2022-09-05 06:15:00,-48244207.83908833,-48244207.83908833,133470862.3154752
2022-09-05 06:20:00,18422302.734572694,18422302.734572694,151893165.05004787
2022-09-05 06:25:00,3684460.5469111875,3684460.5469111875,155577625.59695905
2022-09-05 06:30:00,-58951368.75062926,-58951368.75062926,96626256.8463298
2022-09-05 06:35:00,-0.0,0.0,96626256.8463298
2022-09-05 06:40:00,33160144.9222342,33160144.9222342,129786401.76856399
2022-09-05 06:45:00,136325040.23583123,136325040.23583123,266111442.00439522
2022-09-05 06:50:00,-40529066.016056575,-40529066.016056575,225582375.98833865
2022-09-05 06:55:00,7368921.093830752,7368921.093830752,232951297.0821694
2022-09-05 07:00:00,47897987.109887324,47897987.109887324,280849284.1920567
2022-09-05 07:05:00,-206329790.62721083,-206329790.62721083,74519493.56484589
2022-09-05 07:10:00,22106763.28148388,22106763.28148388,96626256.84632978
2022-09-05 07:15:00,-55266908.20371808,-55266908.20371808,41359348.6426117
2022-09-05 07:20:00,-104919777.37009208,-104919777.37009208,-63560428.72748038
2022-09-05 07:25:00,44383867.3889005,44383867.3889005,-19176561.33857988
2022-09-05 07:30:00,51383291.04458208,51383291.04458208,32206729.7060022
2022-09-05 07:35:00,0.0,0.0,32206729.7060022
2022-09-05 07:50:00,48492980.92332152,48492980.92332152,80699710.62932372
2022-09-06 02:05:00,-40678438.74362788,-40678438.74362788,40021271.88569584
2022-09-06 02:10:00,-6010083.79684699,-6010083.79684699,34011188.088848844
