Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-6725760.214436103,-6725760.214436103,-6725760.214436103
2022-09-05 02:15:00,-7642909.33458727,-7642909.33458727,-14368669.549023373
2022-09-05 02:20:00,22928728.00376181,22928728.00376181,8560058.454738436
2022-09-05 02:25:00,-10700073.068422873,-10700073.068422873,-2140014.6136844363
2022-09-05 02:30:00,-9171491.201503333,-9171491.201503333,-11311505.815187769
2022-09-05 02:35:00,3057163.7338321274,3057163.7338321274,-8254342.081355642
2022-09-05 02:40:00,4585745.600755143,4585745.600755143,-3668596.4806004986
2022-09-05 02:45:00,0.0,0.0,-3668596.4806004986
2022-09-05 02:50:00,6114327.4676677305,6114327.4676677305,2445730.987067232
2022-09-05 02:55:00,3057163.733835603,3057163.733835603,5502894.720902835
2022-09-05 03:00:00,3057163.733835603,3057163.733835603,8560058.454738438
2022-09-05 03:05:00,-6114327.467671206,-6114327.467671206,2445730.987067232
2022-09-05 03:10:00,-3057163.733835603,-3057163.733835603,-611432.7467683712
2022-09-05 03:15:00,-1528581.8669160637,-1528581.8669160637,-2140014.613684435
2022-09-05 03:20:00,0.0,0.0,-2140014.613684435
2022-09-05 03:25:00,8438905.762895834,8438905.762895834,6298891.149211399
2022-09-05 03:30:00,14405656.667773277,14405656.667773277,20704547.816984676
2022-09-05 03:35:00,1705509.7371516996,1705509.7371516996,22410057.554136377
2022-09-05 03:40:00,687096.095039431,687096.095039431,23097153.649175808
2022-09-05 03:45:00,-1327850.068712528,-1327850.068712528,21769303.58046328
2022-09-05 03:50:00,629304.5010983846,629304.5010983846,22398608.081561662
2022-09-05 03:55:00,1091230.4250550554,1091230.4250550554,23489838.50661672
2022-09-05 04:00:00,-6439528.084098015,-6439528.084098015,17050310.422518704
2022-09-05 04:05:00,-36774.80413760856,-36774.80413760856,17013535.618381094
2022-09-05 04:10:00,0.0,0.0,17013535.618381094
2022-09-05 04:15:00,19172058.985032253,19172058.985032253,36185594.60341334
2022-09-05 04:20:00,8949484.365338113,8949484.365338113,45135078.96875146
2022-09-05 04:25:00,45371542.44823134,45371542.44823134,90506621.4169828
2022-09-05 04:30:00,-20763407.842822913,-20763407.842822913,69743213.57415989
2022-09-05 04:35:00,-0.0,0.0,69743213.57415989
2022-09-05 06:05:00,22172519.828247774,22172519.828247774,91915733.40240766
2022-09-05 06:10:00,7390839.94275206,7390839.94275206,99306573.34515972
2022-09-05 06:15:00,-48040459.62787578,-48040459.62787578,51266113.71728394
2022-09-05 06:20:00,18477099.856875945,18477099.856875945,69743213.57415989
2022-09-05 06:25:00,3695419.971371828,3695419.971371828,73438633.54553172
2022-09-05 06:30:00,-59126719.54199967,-59126719.54199967,14311914.003532052
2022-09-05 06:35:00,-0.0,0.0,14311914.003532052
2022-09-05 06:40:00,33258779.742380064,33258779.742380064,47570693.74591212
2022-09-05 06:45:00,136730538.9408753,136730538.9408753,184301232.68678743
2022-09-05 06:50:00,-40649619.68512373,-40649619.68512373,143651613.00166368
2022-09-05 06:55:00,7390839.94275206,7390839.94275206,151042452.94441575
2022-09-05 07:00:00,48040459.62787578,48040459.62787578,199082912.57229152
2022-09-05 07:05:00,-206943518.39700726,-206943518.39700726,-7860605.8247157335
2022-09-05 07:10:00,22172519.828247774,22172519.828247774,14311914.00353204
2022-09-05 07:15:00,-55431299.57062783,-55431299.57062783,-41119385.56709579
2022-09-05 07:20:00,-114558019.11262752,-114558019.11262752,-155677404.67972332
2022-09-05 07:25:00,88690079.3129995,88690079.3129995,-66987325.36672382
