Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-5244747.283559408,-5244747.283559408,-5244747.283559408
2022-09-05 02:15:00,-5959940.094954489,-5959940.094954489,-11204687.378513897
2022-09-05 02:20:00,17879820.28486347,17879820.28486347,6675132.906349571
2022-09-05 02:25:00,-8343916.132936826,-8343916.132936826,-1668783.2265872546
2022-09-05 02:30:00,-7151928.113944302,-7151928.113944302,-8820711.340531558
2022-09-05 02:35:00,2383976.037979627,2383976.037979627,-6436735.302551931
2022-09-05 02:40:00,3575964.0569748613,3575964.0569748613,-2860771.2455770695
2022-09-05 02:45:00,0.0,0.0,-2860771.2455770695
2022-09-05 02:50:00,4767952.075961965,4767952.075961965,1907180.8303848957
2022-09-05 02:55:00,2383976.0379823376,2383976.0379823376,4291156.868367233
2022-09-05 03:00:00,2383976.0379823376,2383976.0379823376,6675132.906349571
2022-09-05 03:05:00,-4767952.075964675,-4767952.075964675,1907180.8303848961
2022-09-05 03:10:00,-2383976.0379823376,-2383976.0379823376,-476795.2075974415
2022-09-05 03:15:00,-1191988.0189898135,-1191988.0189898135,-1668783.226587255
2022-09-05 03:20:00,0.0,0.0,-1668783.226587255
2022-09-05 03:25:00,6483679.32436172,6483679.32436172,4814896.097774465
2022-09-05 03:30:00,2572999.196942844,2572999.196942844,7387895.294717308
2022-09-05 03:35:00,711557.1457345183,711557.1457345183,8099452.440451827
2022-09-05 03:40:00,474371.4304898587,474371.4304898587,8573823.870941686
2022-09-05 03:45:00,1251192.1721554657,1251192.1721554657,9825016.043097151
2022-09-05 03:50:00,-13185870.249723094,-13185870.249723094,-3360854.206625942
2022-09-05 03:55:00,-16692980.638861712,-16692980.638861712,-20053834.845487654
2022-09-05 04:00:00,148531063.77599052,148531063.77599052,128477228.93050286
2022-09-05 04:05:00,6981621.269017406,6981621.269017406,135458850.19952026
2022-09-05 04:10:00,25731086.3555325,25731086.3555325,161189936.55505276
2022-09-05 04:15:00,73517389.58723094,73517389.58723094,234707326.14228368
2022-09-05 04:20:00,18379347.396807734,18379347.396807734,253086673.5390914
2022-09-05 04:25:00,80869128.5459557,80869128.5459557,333955802.0850471
2022-09-05 04:30:00,-18379347.396807734,-18379347.396807734,315576454.6882394
2022-09-05 04:35:00,-0.0,0.0,315576454.6882394
2022-09-05 06:05:00,22055216.876165938,22055216.876165938,337631671.5644053
2022-09-05 06:10:00,7351738.958724765,7351738.958724765,344983410.52313006
2022-09-05 06:15:00,-47786303.23169843,-47786303.23169843,297197107.2914316
2022-09-05 06:20:00,18379347.396807734,18379347.396807734,315576454.68823934
2022-09-05 06:25:00,3675869.4793582037,3675869.4793582037,319252324.16759753
2022-09-05 06:30:00,-58813911.66978141,-58813911.66978141,260438412.49781612
2022-09-05 06:35:00,-0.0,0.0,260438412.49781612
