Date,VN30F1M,TOTAL,value
2022-09-05 02:15:00,,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:45:00,3804177.287284741,3804177.287284741,3804177.287284741
2022-09-05 03:00:00,6612956.49870087,6612956.49870087,10417133.785985611
2022-09-05 03:15:00,-5783357.0963105075,-5783357.0963105075,4633776.689675104
2022-09-05 03:30:00,18184829.568546057,18184829.568546057,22818606.25822116
2022-09-05 03:45:00,1647050.0835457654,1647050.0835457654,24465656.341766927
2022-09-05 04:00:00,-1155292.0685753128,-1155292.0685753128,23310364.273191616
2022-09-05 04:15:00,105402427.20414537,105402427.20414537,128712791.47733699
2022-09-05 04:30:00,81249567.20425333,81249567.20425333,209962358.68159032
2022-09-05 04:45:00,-8839.59928328568,-8839.59928328568,209953519.08230704
2022-09-05 06:15:00,-18500018.5000185,-18500018.5000185,191453500.58228853
2022-09-05 06:30:00,-36987679.70612631,-36987679.70612631,154465820.87616223
2022-09-05 06:45:00,169995143.56793314,169995143.56793314,324460964.4440954
2022-09-05 07:00:00,14830453.280098174,14830453.280098174,339291417.7241936
2022-09-05 07:15:00,-241157683.31029877,-241157683.31029877,98133734.4138948
2022-09-05 07:30:00,62877165.85684701,62877165.85684701,161010900.27074182
2022-09-05 07:45:00,0.0,0.0,161010900.27074182
2022-09-05 08:00:00,79734219.26910132,79734219.26910132,240745119.53984314
2022-09-06 02:15:00,0.0,0.0,240745119.53984314
2022-09-06 02:30:00,19655337.225607987,19655337.225607987,260400456.76545113
2022-09-06 02:45:00,709179.7514023345,709179.7514023345,261109636.51685348
2022-09-06 03:00:00,1925426.6967501868,1925426.6967501868,263035063.21360368
2022-09-06 03:15:00,-11552082.854987936,-11552082.854987936,251482980.35861573
2022-09-06 03:30:00,-590766.1830528579,-590766.1830528579,250892214.17556286
2022-09-06 03:45:00,26164256.637121264,26164256.637121264,277056470.8126841
2022-09-06 04:00:00,14437943.116249567,14437943.116249567,291494413.9289337
2022-09-06 04:15:00,9619961.53460405,9619961.53460405,301114375.46353775
2022-09-06 04:30:00,8604578.61493839,8604578.61493839,309718954.07847613
2022-09-06 04:45:00,6543725.695646257,6543725.695646257,316262679.7741224
2022-09-06 06:15:00,-37785900.07785506,-37785900.07785506,278476779.69626737
2022-09-06 06:30:00,-54445484.12207562,-54445484.12207562,224031295.57419175
2022-09-06 06:45:00,48780787.69869336,48780787.69869336,272812083.2728851
2022-09-06 07:00:00,77378407.34802091,77378407.34802091,350190490.620906
2022-09-06 07:15:00,-150630649.80612993,-150630649.80612993,199559840.81477606
2022-09-06 07:30:00,29465022.16899352,29465022.16899352,229024862.9837696
2022-09-06 07:45:00,-18439841.85991621,-18439841.85991621,210585021.1238534
2022-09-06 08:00:00,-60482681.30052517,-60482681.30052517,150102339.8233282
2022-09-07 02:15:00,0.0,0.0,150102339.8233282
2022-09-07 02:30:00,0.0,0.0,150102339.8233282
2022-09-07 02:45:00,-497498.57107757987,-497498.57107757987,149604841.2522506
2022-09-07 03:00:00,-11193078.88871641,-11193078.88871641,138411762.3635342
2022-09-07 03:15:00,-23648872.197555747,-23648872.197555747,114762890.16597846
2022-09-07 03:30:00,-4988046.705040607,-4988046.705040607,109774843.46093786
2022-09-07 03:45:00,27428067.559475187,27428067.559475187,137202911.02041304
2022-09-07 04:00:00,4977618.991660006,4977618.991660006,142180530.01207304
2022-09-07 04:15:00,-28617461.523581583,-28617461.523581583,113563068.48849146
2022-09-07 04:30:00,-21831928.838130742,-21831928.838130742,91731139.65036072
2022-09-07 04:45:00,4770837.153645722,4770837.153645722,96501976.80400644
2022-09-07 06:15:00,-25452890.293419946,-25452890.293419946,71049086.5105865
2022-09-07 06:30:00,-7945214.28963952,-7945214.28963952,63103872.22094698
2022-09-07 06:45:00,33111164.514130488,33111164.514130488,96215036.73507747
2022-09-07 07:00:00,45961642.853476815,45961642.853476815,142176679.5885543
2022-09-07 07:15:00,-24031794.330836218,-24031794.330836218,118144885.25771807
2022-09-07 07:30:00,187964062.28041443,187964062.28041443,306108947.5381325
2022-09-07 07:45:00,-4255773.766096124,-4255773.766096124,301853173.7720364
2022-09-07 08:00:00,107671076.28220844,107671076.28220844,409524250.0542448
2022-09-08 02:15:00,0.0,0.0,409524250.0542448
2022-09-08 02:30:00,-0.0,0.0,409524250.0542448
2022-09-08 02:45:00,-0.0,0.0,409524250.0542448
2022-09-08 03:00:00,0.0,0.0,409524250.0542448
2022-09-08 03:15:00,-0.0,0.0,409524250.0542448
2022-09-08 03:30:00,0.0,0.0,409524250.0542448
2022-09-08 03:45:00,-0.0,0.0,409524250.0542448
2022-09-08 04:00:00,0.0,0.0,409524250.0542448
2022-09-08 04:15:00,0.0,0.0,409524250.0542448
2022-09-08 04:30:00,0.0,0.0,409524250.0542448
2022-09-08 04:45:00,0.0,0.0,409524250.0542448
2022-09-08 06:15:00,0.0,0.0,409524250.0542448
2022-09-08 06:30:00,0.0,0.0,409524250.0542448
2022-09-08 06:45:00,0.0,0.0,409524250.0542448
2022-09-08 07:00:00,-12233810.643399637,-12233810.643399637,397290439.41084516
2022-09-08 07:15:00,-20423873.432013813,-20423873.432013813,376866565.97883135
2022-09-08 07:30:00,-4190311.260759961,-4190311.260759961,372676254.7180714
2022-09-08 07:45:00,-1673930.1792759022,-1673930.1792759022,371002324.5387955
2022-09-08 08:00:00,-2678288.2868408347,-2678288.2868408347,368324036.2519546
2022-09-09 02:15:00,0.0,0.0,368324036.2519546
2022-09-09 02:30:00,-0.0,0.0,368324036.2519546
2022-09-09 02:45:00,0.0,0.0,368324036.2519546
