Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:45:00,-1844662.063176976,-1844662.063176976,-1844662.063176976
2022-09-05 02:50:00,3074436.7719617435,3074436.7719617435,1229774.7087847674
2022-09-05 02:55:00,1537218.3859817453,1537218.3859817453,2766993.0947665125
2022-09-05 03:00:00,1537218.3859817453,1537218.3859817453,4304211.480748258
2022-09-05 03:05:00,-3074436.7719634906,-3074436.7719634906,1229774.708784767
2022-09-05 03:10:00,-1537218.3859817453,-1537218.3859817453,-307443.67719697836
2022-09-05 03:15:00,-768609.1929899988,-768609.1929899988,-1076052.870186977
2022-09-05 03:20:00,0.0,0.0,-1076052.870186977
2022-09-05 03:25:00,5380264.350935235,5380264.350935235,4304211.480748258
2022-09-05 03:30:00,11529137.894860469,11529137.894860469,15833349.375608727
2022-09-05 03:35:00,2305827.578971744,2305827.578971744,18139176.95458047
2022-09-05 03:40:00,1537218.3859817453,1537218.3859817453,19676395.340562217
2022-09-05 03:45:00,-2305827.578971744,-2305827.578971744,17370567.761590473
2022-09-05 03:50:00,3843045.9649534896,3843045.9649534896,21213613.726543963
2022-09-05 03:55:00,4611655.157943488,4611655.157943488,25825268.88448745
2022-09-05 04:00:00,-41504896.42149839,-41504896.42149839,-15679627.537010938
2022-09-05 04:05:00,-1537218.3859799977,-1537218.3859799977,-17216845.922990937
2022-09-05 04:10:00,-5380264.350935235,-5380264.350935235,-22597110.273926172
2022-09-05 04:15:00,-15372183.859813958,-15372183.859813958,-37969294.13374013
2022-09-05 04:20:00,-1076052.870186977,-1076052.870186977,-39045347.003927104
2022-09-05 04:25:00,0.0,0.0,-39045347.003927104
2022-09-05 04:30:00,0.0,0.0,-39045347.003927104
2022-09-05 04:35:00,-2410735.5054343888,-2410735.5054343888,-41456082.50936149
2022-09-05 06:05:00,10331723.594717244,10331723.594717244,-31124358.91464425
2022-09-05 06:10:00,3443907.8649070524,3443907.8649070524,-27680451.049737196
2022-09-05 06:15:00,-22385401.12188997,-22385401.12188997,-50065852.171627164
2022-09-05 06:20:00,8609769.662265673,8609769.662265673,-41456082.50936149
2022-09-05 06:25:00,640132.01424261,640132.01424261,-40815950.49511888
2022-09-05 06:30:00,-39914941.98449313,-39914941.98449313,-80730892.47961201
2022-09-05 06:35:00,-0.0,0.0,-80730892.47961201
2022-09-05 06:40:00,22452154.86628093,22452154.86628093,-58278737.61333108
2022-09-05 06:45:00,92303303.33914107,92303303.33914107,34024565.72580999
2022-09-05 06:50:00,-27441522.614338316,-27441522.614338316,6583043.111471675
2022-09-05 06:55:00,4989367.7480630595,4989367.7480630595,11572410.859534735
2022-09-05 07:00:00,32430890.36240138,32430890.36240138,44003301.221936114
2022-09-05 07:05:00,-139702296.94573164,-139702296.94573164,-95698995.72379553
2022-09-05 07:10:00,14968103.244183507,14968103.244183507,-80730892.47961202
2022-09-05 07:15:00,-37420258.11046444,-37420258.11046444,-118151150.59007646
2022-09-05 07:20:00,-77335200.09495756,-77335200.09495756,-195486350.68503404
2022-09-05 07:25:00,-13471292.919769466,-13471292.919769466,-208957643.6048035
2022-09-05 07:30:00,0.0,0.0,-208957643.6048035
2022-09-05 07:35:00,0.0,0.0,-208957643.6048035
2022-09-05 07:50:00,0.0,0.0,-208957643.6048035
2022-09-06 02:05:00,0.0,0.0,-208957643.6048035
2022-09-06 02:10:00,0.0,0.0,-208957643.6048035
2022-09-06 02:15:00,0.0,0.0,-208957643.6048035
