Date,VN30F1M,TOTAL,value
2022-09-05 02:10:00,,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:30:00,-0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:50:00,0.0,0.0,0.0
2022-09-05 03:00:00,-9285218.851378778,-9285218.851378778,-9285218.851378778
2022-09-05 03:10:00,10312447.434690181,10312447.434690181,1027228.5833114032
2022-09-05 03:20:00,2895403.8082039016,2895403.8082039016,3922632.391515305
2022-09-05 03:30:00,-80959854.67547238,-80959854.67547238,-77037222.28395708
2022-09-05 03:40:00,-18371209.84351254,-18371209.84351254,-95408432.12746961
2022-09-05 03:50:00,-7346634.64441869,-7346634.64441869,-102755066.7718883
2022-09-05 04:00:00,176243091.8768535,176243091.8768535,73488025.1049652
2022-09-05 04:10:00,33163139.911070548,33163139.911070548,106651165.01603574
2022-09-05 04:20:00,92193044.13304324,92193044.13304324,198844209.14907897
2022-09-05 04:30:00,62792762.645473145,62792762.645473145,261636971.79455212
2022-09-05 04:40:00,-6833.249636074811,-6833.249636074811,261630138.54491603
2022-09-05 06:10:00,29600029.600027915,29600029.600027915,291230168.14494395
2022-09-05 06:20:00,-29621662.338189974,-29621662.338189974,261608505.806754
2022-09-05 06:30:00,-55500976.042104945,-55500976.042104945,206107529.76464903
2022-09-05 06:40:00,33250929.642085508,33250929.642085508,239358459.40673453
2022-09-05 06:50:00,96154235.28955369,96154235.28955369,335512694.6962882
2022-09-05 07:00:00,55575960.84900527,55575960.84900527,391088655.5452935
2022-09-05 07:10:00,-185510728.6298445,-185510728.6298445,205577926.91544902
2022-09-05 07:20:00,-170094173.09545812,-170094173.09545812,35483753.8199909
2022-09-05 07:30:00,176691383.09009713,176691383.09009713,212175136.91008803
2022-09-05 07:40:00,-60370.60117706632,-60370.60117706632,212114766.30891097
2022-09-05 07:50:00,83720517.62566227,83720517.62566227,295835283.93457323
2022-09-06 02:10:00,-85056520.94216502,-85056520.94216502,210778762.99240822
2022-09-06 02:20:00,-81327197.11108895,-81327197.11108895,129451565.88131927
2022-09-06 02:30:00,10082.038535715445,10082.038535715445,129461647.91985498
2022-09-06 02:40:00,-18449844.098817367,-18449844.098817367,111011803.82103762
2022-09-06 02:50:00,-25821778.707598247,-25821778.707598247,85190025.11343938
2022-09-06 03:00:00,36862609.6230817,36862609.6230817,122052634.73652108
2022-09-06 03:10:00,14756445.673897967,14756445.673897967,136809080.41041905
2022-09-06 03:20:00,7379480.323543563,7379480.323543563,144188560.7339626
2022-09-06 03:30:00,-36911930.06004543,-36911930.06004543,107276630.67391717
2022-09-06 03:40:00,-25827498.34809143,-25827498.34809143,81449132.32582575
2022-09-06 03:50:00,-70039652.56798244,-70039652.56798244,11409479.757843316
2022-09-06 04:00:00,22072056.308791332,22072056.308791332,33481536.066634648
2022-09-06 04:10:00,3680158.421596806,3680158.421596806,37161694.48823145
2022-09-06 04:20:00,36827944.36358642,36827944.36358642,73989638.85181788
2022-09-06 04:30:00,-66340616.10967336,-66340616.10967336,7649022.742144518
2022-09-06 04:40:00,-7368292.973804517,-7368292.973804517,280729.7683400009
2022-09-06 06:10:00,44159062.27733722,44159062.27733722,44439792.04567722
2022-09-06 06:20:00,103127115.53778306,103127115.53778306,147566907.58346027
2022-09-06 06:30:00,-29558375.27274154,-29558375.27274154,118008532.31071873
2022-09-06 06:40:00,18444640.968260717,18444640.968260717,136453173.27897945
2022-09-06 06:50:00,-40602238.56904704,-40602238.56904704,95850934.70993242
2022-09-06 07:00:00,-140122351.54895443,-140122351.54895443,-44271416.83902201
2022-09-06 07:10:00,62454236.929407276,62454236.929407276,18182820.090385266
2022-09-06 07:20:00,58900638.66790899,58900638.66790899,77083458.75829425
2022-09-06 07:30:00,-3678675.0913119996,-3678675.0913119996,73404783.66698225
2022-09-06 07:40:00,18428309.884458303,18428309.884458303,91833093.55144055
2022-09-06 07:50:00,53992785.24703277,53992785.24703277,145825878.79847333
2022-09-07 02:10:00,217486427.35597125,217486427.35597125,363312306.1544446
2022-09-07 02:20:00,-3732104.7566261287,-3732104.7566261287,359580201.39781845
2022-09-07 02:30:00,-14832399.456473108,-14832399.456473108,344747801.94134533
2022-09-07 02:40:00,-33363863.752841417,-33363863.752841417,311383938.1885039
2022-09-07 02:50:00,59265504.06522948,59265504.06522948,370649442.2537334
2022-09-07 03:00:00,3707090.892135913,3707090.892135913,374356533.1458693
2022-09-07 03:10:00,66766247.27413083,66766247.27413083,441122780.42000014
2022-09-07 03:20:00,7431993.360567575,7431993.360567575,448554773.7805677
2022-09-07 03:30:00,11144230.179521345,11144230.179521345,459699003.960089
2022-09-07 03:40:00,-74318888.44628577,-74318888.44628577,385380115.51380324
2022-09-07 03:50:00,11116383.361667255,11116383.361667255,396496498.8754705
2022-09-07 04:00:00,-33398993.195397,-33398993.195397,363097505.6800735
2022-09-07 04:10:00,59327513.834883496,59327513.834883496,422425019.514957
