Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:45:00,0.0,0.0,0.0
2022-09-05 02:50:00,0.0,0.0,0.0
2022-09-05 02:55:00,0.0,0.0,0.0
2022-09-05 03:00:00,0.0,0.0,0.0
2022-09-05 03:05:00,-0.0,0.0,0.0
2022-09-05 03:10:00,-0.0,0.0,0.0
2022-09-05 03:15:00,-0.0,0.0,0.0
2022-09-05 03:20:00,-165098.7764760959,-165098.7764760959,-165098.7764760959
2022-09-05 03:25:00,825493.882380533,825493.882380533,660395.1059044371
2022-09-05 03:30:00,38231712.23676603,38231712.23676603,38892107.34267047
2022-09-05 03:35:00,8397047.08682739,8397047.08682739,47289154.42949786
2022-09-05 03:40:00,5598031.3912203815,5598031.3912203815,52887185.82071824
2022-09-05 03:45:00,-8397047.08682739,-8397047.08682739,44490138.733890854
2022-09-05 03:50:00,13995078.47804777,13995078.47804777,58485217.21193862
2022-09-05 03:55:00,16794094.17365478,16794094.17365478,75279311.3855934
2022-09-05 04:00:00,-151146847.56291848,-151146847.56291848,-75867536.17732508
2022-09-05 04:05:00,-1119606.2782400032,-1119606.2782400032,-76987142.4555651
2022-09-05 04:10:00,0.0,0.0,-76987142.4555651
2022-09-05 04:15:00,0.0,0.0,-76987142.4555651
2022-09-05 04:20:00,-0.0,0.0,-76987142.4555651
2022-09-05 04:25:00,0.0,0.0,-76987142.4555651
2022-09-05 04:30:00,0.0,0.0,-76987142.4555651
2022-09-05 04:35:00,0.0,0.0,-76987142.4555651
2022-09-05 06:05:00,0.0,0.0,-76987142.4555651
2022-09-05 06:10:00,-0.0,0.0,-76987142.4555651
2022-09-05 06:15:00,0.0,0.0,-76987142.4555651
2022-09-05 06:20:00,-0.0,0.0,-76987142.4555651
2022-09-05 06:25:00,0.0,0.0,-76987142.4555651
2022-09-05 06:30:00,0.0,0.0,-76987142.4555651
2022-09-05 06:35:00,0.0,0.0,-76987142.4555651
2022-09-05 06:40:00,0.0,0.0,-76987142.4555651
2022-09-05 06:45:00,-0.0,0.0,-76987142.4555651
2022-09-05 06:50:00,0.0,0.0,-76987142.4555651
2022-09-05 06:55:00,-0.0,0.0,-76987142.4555651
2022-09-05 07:00:00,-0.0,0.0,-76987142.4555651
2022-09-05 07:05:00,0.0,0.0,-76987142.4555651
2022-09-05 07:10:00,0.0,0.0,-76987142.4555651
2022-09-05 07:15:00,0.0,0.0,-76987142.4555651
2022-09-05 07:20:00,0.0,0.0,-76987142.4555651
2022-09-05 07:25:00,-64584799.19371424,-64584799.19371424,-141571941.64927933
2022-09-05 07:30:00,-52722285.05609608,-52722285.05609608,-194294226.7053754
2022-09-05 07:35:00,0.0,0.0,-194294226.7053754
2022-09-05 07:50:00,-52593384.11805376,-52593384.11805376,-246887610.82342917
2022-09-06 02:05:00,15929766.130448952,15929766.130448952,-230957844.69298023
2022-09-06 02:10:00,0.0,0.0,-230957844.69298023
2022-09-06 02:15:00,0.0,0.0,-230957844.69298023
2022-09-06 02:20:00,0.0,0.0,-230957844.69298023
2022-09-06 02:25:00,0.0,0.0,-230957844.69298023
2022-09-06 02:30:00,472122.3322006706,472122.3322006706,-230485722.36077955
2022-09-06 02:35:00,-10025355.03390799,-10025355.03390799,-240511077.39468753
2022-09-06 02:40:00,22668643.030280583,22668643.030280583,-217842434.36440694
2022-09-06 02:45:00,-12724787.943179112,-12724787.943179112,-230567222.30758604
