Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:45:00,0.0,0.0,0.0
2022-09-05 02:50:00,0.0,0.0,0.0
2022-09-05 02:55:00,0.0,0.0,0.0
2022-09-05 03:00:00,0.0,0.0,0.0
2022-09-05 03:05:00,-0.0,0.0,0.0
2022-09-05 03:10:00,-0.0,0.0,0.0
2022-09-05 03:15:00,-0.0,0.0,0.0
2022-09-05 03:20:00,0.0,0.0,0.0
2022-09-05 03:25:00,0.0,0.0,0.0
2022-09-05 03:30:00,3553722.445780773,3553722.445780773,3553722.445780773
2022-09-05 03:35:00,782276.47052301,782276.47052301,4335998.916303784
2022-09-05 03:40:00,521796.1289964508,521796.1289964508,4857795.045300234
2022-09-05 03:45:00,-782756.6249886379,-782756.6249886379,4075038.4203115962
2022-09-05 03:50:00,1304717.8153659576,1304717.8153659576,5379756.235677553
2022-09-05 03:55:00,1565118.9085986107,1565118.9085986107,6944875.1442761645
2022-09-05 04:00:00,-14081896.726712318,-14081896.726712318,-7137021.582436154
2022-09-05 04:05:00,-324377.96264973574,-324377.96264973574,-7461399.545085889
2022-09-05 04:10:00,-962911.0409456287,-962911.0409456287,-8424310.586031519
2022-09-05 04:15:00,-2752975.755065414,-2752975.755065414,-11177286.341096934
2022-09-05 04:20:00,-689603.1306812384,-689603.1306812384,-11866889.471778173
2022-09-05 04:25:00,-3034083.0245893057,-3034083.0245893057,-14900972.496367479
2022-09-05 04:30:00,-193080.05293756924,-193080.05293756924,-15094052.549305048
2022-09-05 04:35:00,0.0,0.0,-15094052.549305048
2022-09-05 06:05:00,0.0,0.0,-15094052.549305048
2022-09-05 06:10:00,-0.0,0.0,-15094052.549305048
2022-09-05 06:15:00,0.0,0.0,-15094052.549305048
2022-09-05 06:20:00,-0.0,0.0,-15094052.549305048
2022-09-05 06:25:00,0.0,0.0,-15094052.549305048
2022-09-05 06:30:00,0.0,0.0,-15094052.549305048
2022-09-05 06:35:00,0.0,0.0,-15094052.549305048
2022-09-05 06:40:00,0.0,0.0,-15094052.549305048
2022-09-05 06:45:00,-0.0,0.0,-15094052.549305048
2022-09-05 06:50:00,0.0,0.0,-15094052.549305048
2022-09-05 06:55:00,-0.0,0.0,-15094052.549305048
2022-09-05 07:00:00,-0.0,0.0,-15094052.549305048
2022-09-05 07:05:00,0.0,0.0,-15094052.549305048
2022-09-05 07:10:00,4936320.944205549,4936320.944205549,-10157731.6050995
2022-09-05 07:15:00,-20575282.948387682,-20575282.948387682,-30733014.55348718
2022-09-05 07:20:00,-44370474.33638651,-44370474.33638651,-75103488.88987368
2022-09-05 07:25:00,15868129.203451203,15868129.203451203,-59235359.68642248
2022-09-05 07:30:00,19202010.857098505,19202010.857098505,-40033348.82932398
2022-09-05 07:35:00,0.0,0.0,-40033348.82932398
2022-09-05 07:50:00,17456693.594136555,17456693.594136555,-22576655.235187422
2022-09-06 02:05:00,-3165279.3332954957,-3165279.3332954957,-25741934.568482917
2022-09-06 02:10:00,-400449.37364558835,-400449.37364558835,-26142383.942128506
2022-09-06 02:15:00,0.0,0.0,-26142383.942128506
2022-09-06 02:20:00,0.0,0.0,-26142383.942128506
2022-09-06 02:25:00,0.0,0.0,-26142383.942128506
2022-09-06 02:30:00,0.0,0.0,-26142383.942128506
2022-09-06 02:35:00,-0.0,0.0,-26142383.942128506
2022-09-06 02:40:00,6412189.192164261,6412189.192164261,-19730194.749964245
