Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-2905199.769174481,-2905199.769174481,-2905199.769174481
2022-09-05 02:15:00,-3301363.374062251,-3301363.374062251,-6206563.143236732
2022-09-05 02:20:00,9904090.122186752,9904090.122186752,3697526.97895002
2022-09-05 02:25:00,-4621908.723687451,-4621908.723687451,-924381.7447374314
2022-09-05 02:30:00,-3961636.0488741007,-3961636.0488741007,-4886017.793611532
2022-09-05 02:35:00,1320545.3496236992,1320545.3496236992,-3565472.443987833
2022-09-05 02:40:00,2954444.67516251,2954444.67516251,-611027.7688253229
2022-09-05 02:45:00,0.0,0.0,-611027.7688253229
2022-09-05 02:50:00,5075157.326055198,5075157.326055198,4464129.557229875
2022-09-05 02:55:00,2328670.5572182364,2328670.5572182364,6792800.1144481115
2022-09-05 03:00:00,2414691.5419638506,2414691.5419638506,9207491.656411963
2022-09-05 03:05:00,-4829383.083927701,-4829383.083927701,4378108.572484261
2022-09-05 03:10:00,-3451174.4780534417,-3451174.4780534417,926934.0944308196
2022-09-05 03:15:00,-1512193.693359526,-1512193.693359526,-585259.5989287065
2022-09-05 03:20:00,0.0,0.0,-585259.5989287065
2022-09-05 03:25:00,10585355.853526998,10585355.853526998,10000096.254598292
2022-09-05 03:30:00,22682905.400413524,22682905.400413524,32683001.655011818
2022-09-05 03:35:00,4536581.080082017,4536581.080082017,37219582.73509383
2022-09-05 03:40:00,3024387.3867224907,3024387.3867224907,40243970.12181632
2022-09-05 03:45:00,-4536581.080082017,-4536581.080082017,35707389.04173431
2022-09-05 03:50:00,7560968.466804508,7560968.466804508,43268357.50853881
2022-09-05 03:55:00,10342868.564144397,10342868.564144397,53611226.07268321
2022-09-05 04:00:00,-100704055.5011958,-100704055.5011958,-47092829.428512596
2022-09-05 04:05:00,-3729779.8333741673,-3729779.8333741673,-50822609.26188676
2022-09-05 04:10:00,-13800185.383499514,-13800185.383499514,-64622794.64538628
2022-09-05 04:15:00,0.0,0.0,-64622794.64538628
2022-09-05 04:20:00,-0.0,0.0,-64622794.64538628
2022-09-05 04:25:00,16887581.123505212,16887581.123505212,-47735213.521881066
2022-09-05 04:30:00,-4539672.345028283,-4539672.345028283,-52274885.86690935
2022-09-05 04:35:00,-0.0,0.0,-52274885.86690935
2022-09-05 06:05:00,6511625.838166006,6511625.838166006,-45763260.02874334
2022-09-05 06:10:00,3146388.100714525,3146388.100714525,-42616871.928028814
2022-09-05 06:15:00,-20452327.651260056,-20452327.651260056,-63069199.57928887
2022-09-05 06:20:00,7866279.865869527,7866279.865869527,-55202919.71341934
2022-09-05 06:25:00,1573255.9731724744,1573255.9731724744,-53629663.74024687
2022-09-05 06:30:00,-25172095.570781052,-25172095.570781052,-78801759.31102791
2022-09-05 06:35:00,-0.0,0.0,-78801759.31102791
2022-09-05 06:40:00,14159303.758566579,14159303.758566579,-64642455.55246133
2022-09-05 06:45:00,58210471.007431634,58210471.007431634,-6431984.5450297
2022-09-05 06:50:00,-17305815.704911526,-17305815.704911526,-23737800.249941226
2022-09-05 06:55:00,3696365.582922364,3696365.582922364,-20041434.66701886
