Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-6506702.562502412,-6506702.562502412,-6506702.562502412
2022-09-05 02:30:00,-4647644.6875007665,-4647644.6875007665,-11154347.250003178
2022-09-05 02:35:00,1549214.8958324147,1549214.8958324147,-9605132.354170762
2022-09-05 02:40:00,2720982.531448359,2720982.531448359,-6884149.822722403
2022-09-05 02:45:00,0.0,0.0,-6884149.822722403
2022-09-05 02:50:00,4091330.2609056593,4091330.2609056593,-2792819.561816744
2022-09-05 02:55:00,2045665.1304539924,2045665.1304539924,-747154.4313627516
2022-09-05 03:00:00,2045665.1304539924,2045665.1304539924,1298510.6990912408
2022-09-05 03:05:00,-5380501.766396317,-5380501.766396317,-4081991.067305076
2022-09-05 03:10:00,-2448531.2259191875,-2448531.2259191875,-6530522.293224264
2022-09-05 03:15:00,-756871.9828590963,-756871.9828590963,-7287394.27608336
2022-09-05 03:20:00,-1084450.4270836767,-1084450.4270836767,-8371844.703167037
2022-09-05 03:25:00,-2305318.5291887587,-2305318.5291887587,-10677163.232355796
2022-09-05 03:30:00,-4939968.276832733,-4939968.276832733,-15617131.50918853
2022-09-05 03:35:00,1023655.0742492331,1023655.0742492331,-14593476.434939295
2022-09-05 03:40:00,888759.6627929602,888759.6627929602,-13704716.772146335
2022-09-05 03:45:00,-2242967.6197975352,-2242967.6197975352,-15947684.39194387
2022-09-05 03:50:00,3255794.7542645023,3255794.7542645023,-12691889.637679368
2022-09-05 03:55:00,3906953.7051168103,3906953.7051168103,-8784935.932562558
2022-09-05 04:00:00,-35162583.34605722,-35162583.34605722,-43947519.27861978
2022-09-05 04:05:00,985919.4332560445,985919.4332560445,-42961599.845363736
2022-09-05 04:10:00,4763056.092152206,4763056.092152206,-38198543.75321153
2022-09-05 04:15:00,61117999.18859724,61117999.18859724,22919455.43538571
2022-09-05 04:20:00,16989388.967925925,16989388.967925925,39908844.40331164
2022-09-05 04:25:00,77034845.79014078,77034845.79014078,116943690.19345242
2022-09-05 04:30:00,-17507919.497758906,-17507919.497758906,99435770.69569351
2022-09-05 04:35:00,-0.0,0.0,99435770.69569351
2022-09-05 06:05:00,21009503.3973075,21009503.3973075,120445274.09300101
2022-09-05 06:10:00,7299105.669384347,7299105.669384347,127744379.76238535
2022-09-05 06:15:00,-47925085.8901906,-47925085.8901906,79819293.87219475
2022-09-05 06:20:00,18432725.342381645,18432725.342381645,98252019.2145764
2022-09-05 06:25:00,3686545.068472976,3686545.068472976,101938564.28304937
2022-09-05 06:30:00,-58984721.095617905,-58984721.095617905,42953843.18743147
2022-09-05 06:35:00,-0.0,0.0,42953843.18743147
2022-09-05 06:40:00,33178905.616290312,33178905.616290312,76132748.80372179
2022-09-05 06:45:00,136402167.53361747,136402167.53361747,212534916.33733925
2022-09-05 06:50:00,-40551995.753236264,-40551995.753236264,171982920.584103
2022-09-05 06:55:00,7373090.136954335,7373090.136954335,179356010.72105733
2022-09-05 07:00:00,47925085.8901906,47925085.8901906,227281096.61124793
2022-09-05 07:05:00,-206446523.83467105,-206446523.83467105,20834572.776576877
2022-09-05 07:10:00,22119270.41085462,22119270.41085462,42953843.1874315
2022-09-05 07:15:00,-55298176.027144924,-55298176.027144924,-12344332.839713424
2022-09-05 07:20:00,-114282897.12276284,-114282897.12276284,-126627229.96247627
2022-09-05 07:25:00,81165698.47621082,81165698.47621082,-45461531.48626545
2022-09-05 07:30:00,82508605.58856468,82508605.58856468,37047074.10229923
2022-09-05 07:35:00,0.0,0.0,37047074.10229923
2022-09-05 07:50:00,77867496.5242034,77867496.5242034,114914570.62650263
