Date,VN30F1M,TOTAL,value
2022-09-05 02:15:00,,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:45:00,0.0,0.0,0.0
2022-09-05 03:00:00,2796664.6226195325,2796664.6226195325,2796664.6226195325
2022-09-05 03:15:00,-2966159.4482332347,-2966159.4482332347,-169494.82561370218
2022-09-05 03:30:00,9322215.40873261,9322215.40873261,9152720.583118908
2022-09-05 03:45:00,847474.1280667761,847474.1280667761,10000194.711185684
2022-09-05 04:00:00,-99311090.32069172,-99311090.32069172,-89310895.60950604
2022-09-05 04:15:00,-65252823.06530532,-65252823.06530532,-154563718.67481136
2022-09-05 04:30:00,-2569862.5559465666,-2569862.5559465666,-157133581.23075792
2022-09-05 04:45:00,-0.0,0.0,-157133581.23075792
2022-09-05 06:15:00,-140843.13834098552,-140843.13834098552,-157274424.3690989
2022-09-05 06:30:00,-21102193.503409877,-21102193.503409877,-178376617.87250876
2022-09-05 06:45:00,85308329.89286554,85308329.89286554,-93068287.97964323
2022-09-05 07:00:00,7418115.642859707,7418115.642859707,-85650172.33678351
2022-09-05 07:15:00,-120544379.19644283,-120544379.19644283,-206194551.53322634
2022-09-05 07:30:00,31526991.48214743,31526991.48214743,-174667560.05107892
2022-09-05 07:45:00,0.0,0.0,-174667560.05107892
2022-09-05 08:00:00,40057824.47143246,40057824.47143246,-134609735.57964647
2022-09-06 02:15:00,0.0,0.0,-134609735.57964647
2022-09-06 02:30:00,0.0,0.0,-134609735.57964647
2022-09-06 02:45:00,0.0,0.0,-134609735.57964647
2022-09-06 03:00:00,0.0,0.0,-134609735.57964647
2022-09-06 03:15:00,-0.0,0.0,-134609735.57964647
2022-09-06 03:30:00,25590921.607622888,25590921.607622888,-109018813.97202358
2022-09-06 03:45:00,41659639.826365545,41659639.826365545,-67359174.14565803
2022-09-06 04:00:00,17854131.3541528,17854131.3541528,-49505042.79150523
2022-09-06 04:15:00,11902754.236106375,11902754.236106375,-37602288.55539886
2022-09-06 04:30:00,10068735.814724844,10068735.814724844,-27533552.740674015
2022-09-06 04:45:00,7378464.790114473,7378464.790114473,-20155087.95055954
2022-09-06 06:15:00,-47960021.13573149,-47960021.13573149,-68115109.08629103
2022-09-06 06:30:00,-43099610.01289007,-43099610.01289007,-111214719.0991811
2022-09-06 06:45:00,36641456.77368027,36641456.77368027,-74573262.32550083
2022-09-06 07:00:00,-10392202.095490644,-10392202.095490644,-84965464.42099148
2022-09-06 07:15:00,17705196.94185073,17705196.94185073,-67260267.47914076
2022-09-06 07:30:00,-27541675.52754746,-27541675.52754746,-94801943.00668822
2022-09-06 07:45:00,18429795.65771814,18429795.65771814,-76372147.34897009
2022-09-06 08:00:00,50129044.18899334,50129044.18899334,-26243103.159976743
2022-09-07 02:15:00,0.0,0.0,-26243103.159976743
2022-09-07 02:30:00,0.0,0.0,-26243103.159976743
2022-09-07 02:45:00,0.0,0.0,-26243103.159976743
2022-09-07 03:00:00,0.0,0.0,-26243103.159976743
2022-09-07 03:15:00,-0.0,0.0,-26243103.159976743
2022-09-07 03:30:00,2984031.5793372365,2984031.5793372365,-23259071.580639508
2022-09-07 03:45:00,-25249497.97899908,-25249497.97899908,-48508569.55963859
2022-09-07 04:00:00,-1639731.4596801088,-1639731.4596801088,-50148301.0193187
2022-09-07 04:15:00,-16024663.915971763,-16024663.915971763,-66172964.93529046
2022-09-07 04:30:00,25437370.6578489,25437370.6578489,-40735594.27744156
2022-09-07 04:45:00,-6726009.004087539,-6726009.004087539,-47461603.2815291
2022-09-07 06:15:00,35872048.021808706,35872048.021808706,-11589555.259720393
2022-09-07 06:30:00,14657533.770666206,14657533.770666206,3067978.5109458137
2022-09-07 06:45:00,-86752444.46380298,-86752444.46380298,-83684465.95285717
2022-09-07 07:00:00,40220342.20440823,40220342.20440823,-43464123.74844894
2022-09-07 07:15:00,-8267519.647139106,-8267519.647139106,-51731643.39558804
2022-09-07 07:30:00,318601302.0820757,318601302.0820757,266869658.68648767
2022-09-07 07:45:00,-7437012.994848969,-7437012.994848969,259432645.6916387
2022-09-07 08:00:00,188156428.7696378,188156428.7696378,447589074.46127653
2022-09-08 02:15:00,0.0,0.0,447589074.46127653
2022-09-08 02:30:00,-0.0,0.0,447589074.46127653
2022-09-08 02:45:00,-0.0,0.0,447589074.46127653
2022-09-08 03:00:00,0.0,0.0,447589074.46127653
2022-09-08 03:15:00,-0.0,0.0,447589074.46127653
2022-09-08 03:30:00,0.0,0.0,447589074.46127653
2022-09-08 03:45:00,-0.0,0.0,447589074.46127653
2022-09-08 04:00:00,-43515216.287761725,-43515216.287761725,404073858.1735148
2022-09-08 04:15:00,-42453869.549039446,-42453869.549039446,361619988.62447536
2022-09-08 04:30:00,-47760603.2426641,-47760603.2426641,313859385.38181126
2022-09-08 04:45:00,-0.0,0.0,313859385.38181126
2022-09-08 06:15:00,87561105.94488518,87561105.94488518,401420491.32669646
2022-09-08 06:30:00,-48648320.98487671,-48648320.98487671,352772170.34181976
2022-09-08 06:45:00,-65478248.64328634,-65478248.64328634,287293921.6985334
2022-09-08 07:00:00,9055483.93428792,9055483.93428792,296349405.6328213
2022-09-08 07:15:00,35047749.00081594,35047749.00081594,331397154.63363725
2022-09-08 07:30:00,39447718.059069976,39447718.059069976,370844872.69270724
2022-09-08 07:45:00,15047877.045015745,15047877.045015745,385892749.737723
2022-09-08 08:00:00,13543089.340511093,13543089.340511093,399435839.0782341
2022-09-09 02:15:00,0.0,0.0,399435839.0782341
2022-09-09 02:30:00,-0.0,0.0,399435839.0782341
2022-09-09 02:45:00,0.0,0.0,399435839.0782341
