Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-9539306.232869903,-9539306.232869903,-9539306.232869903
2022-09-05 02:20:00,19336431.553117044,19336431.553117044,9797125.320247142
2022-09-05 02:25:00,-9959416.964260735,-9959416.964260735,-162291.64401359297
2022-09-05 02:30:00,-8402964.69705898,-8402964.69705898,-8565256.341072572
2022-09-05 02:35:00,2310834.0434210678,2310834.0434210678,-6254422.297651505
2022-09-05 02:40:00,3867286.310625754,3867286.310625754,-2387135.9870257513
2022-09-05 02:45:00,0.0,0.0,-2387135.9870257513
2022-09-05 02:50:00,5156381.74749612,5156381.74749612,2769245.7604703684
2022-09-05 02:55:00,1649901.9046989167,1649901.9046989167,4419147.665169286
2022-09-05 03:00:00,2032138.539013822,2032138.539013822,6451286.204183107
2022-09-05 03:05:00,-1670599.7677216562,-1670599.7677216562,4780686.4364614505
2022-09-05 03:10:00,-702317.8110657487,-702317.8110657487,4078368.6253957017
2022-09-05 03:15:00,65939.08802830346,65939.08802830346,4144307.713424005
2022-09-05 03:20:00,-0.0,0.0,4144307.713424005
2022-09-05 03:25:00,-2408030.9194759903,-2408030.9194759903,1736276.7939480147
2022-09-05 03:30:00,-5160066.256019644,-5160066.256019644,-3423789.4620716297
2022-09-05 03:35:00,-1032013.2512037725,-1032013.2512037725,-4455802.713275402
2022-09-05 03:40:00,-688008.834136109,-688008.834136109,-5143811.547411511
2022-09-05 03:45:00,1032013.2512037725,1032013.2512037725,-4111798.296207738
2022-09-05 03:50:00,-1720022.0853398815,-1720022.0853398815,-5831820.38154762
2022-09-05 03:55:00,-2064026.502407545,-2064026.502407545,-7895846.883955165
2022-09-05 04:00:00,18576238.521671034,18576238.521671034,10680391.637715869
2022-09-05 04:05:00,3836501.957099287,3836501.957099287,14516893.594815155
2022-09-05 04:10:00,16182688.332448127,16182688.332448127,30699581.927263282
2022-09-05 04:15:00,70418855.04234728,70418855.04234728,101118436.96961057
2022-09-05 04:20:00,18429120.669584867,18429120.669584867,119547557.63919544
2022-09-05 04:25:00,81088130.94617508,81088130.94617508,200635688.58537054
2022-09-05 04:30:00,-18429120.669584867,-18429120.669584867,182206567.91578567
2022-09-05 04:35:00,-0.0,0.0,182206567.91578567
2022-09-05 06:05:00,22114944.803498488,22114944.803498488,204321512.71928415
2022-09-05 06:10:00,7371648.267835623,7371648.267835623,211693160.98711976
2022-09-05 06:15:00,-47915713.74091898,-47915713.74091898,163777447.2462008
2022-09-05 06:20:00,18429120.669584867,18429120.669584867,182206567.91578567
2022-09-05 06:25:00,3685824.1339136213,3685824.1339136213,185892392.0496993
2022-09-05 06:30:00,-58973186.142668225,-58973186.142668225,126919205.90703109
2022-09-05 06:35:00,-0.0,0.0,126919205.90703109
2022-09-05 06:40:00,33172417.205256112,33172417.205256112,160091623.1122872
2022-09-05 06:45:00,136375492.9549213,136375492.9549213,296467116.0672085
2022-09-05 06:50:00,-40544065.473083355,-40544065.473083355,255923050.59412518
2022-09-05 06:55:00,7371648.267835623,7371648.267835623,263294698.8619608
2022-09-05 07:00:00,47915713.74091898,47915713.74091898,311210412.60287976
2022-09-05 07:05:00,-206406151.49934715,-206406151.49934715,104804261.10353261
2022-09-05 07:10:00,22114944.803498488,22114944.803498488,126919205.9070311
2022-09-05 07:15:00,-42073628.11767138,-42073628.11767138,84845577.78935972
2022-09-05 07:20:00,-66629646.9161242,-66629646.9161242,18215930.873235516
2022-09-05 07:25:00,-56738779.693479344,-56738779.693479344,-38522848.82024383
2022-09-05 07:30:00,-36842714.34235135,-36842714.34235135,-75365563.16259518
2022-09-05 07:35:00,0.0,0.0,-75365563.16259518
2022-09-05 07:50:00,-35844890.82891061,-35844890.82891061,-111210453.9915058
