Date,VN30F1M,TOTAL,value
2022-09-05 02:20:00,,0.0,0.0
2022-09-05 02:40:00,-21740025.432065547,-21740025.432065547,-21740025.432065547
2022-09-05 03:00:00,12540000.739380894,12540000.739380894,-9200024.692684652
2022-09-05 03:20:00,-9399611.330319563,-9399611.330319563,-18599636.023004215
2022-09-05 03:40:00,35829882.415347934,35829882.415347934,17230246.39234372
2022-09-05 04:00:00,-124719747.53581055,-124719747.53581055,-107489501.14346683
2022-09-05 04:20:00,47781397.1276673,47781397.1276673,-59708104.01579953
2022-09-05 04:40:00,26292009.368835393,26292009.368835393,-33416094.646964137
2022-09-05 06:20:00,0.0,0.0,-33416094.646964137
2022-09-05 06:40:00,-9418631.85909029,-9418631.85909029,-42834726.506054424
2022-09-05 07:00:00,64360651.037125304,64360651.037125304,21525924.53107088
2022-09-05 07:20:00,-150698109.74546605,-150698109.74546605,-129172185.21439517
2022-09-05 07:40:00,75349054.87273303,75349054.87273303,-53823130.34166214
2022-09-05 08:00:00,35555335.26807052,35555335.26807052,-18267795.07359162
2022-09-06 02:20:00,-70639738.94318788,-70639738.94318788,-88907534.0167795
2022-09-06 02:40:00,12183933.52305263,12183933.52305263,-76723600.49372686
2022-09-06 03:00:00,-5610561.6273787245,-5610561.6273787245,-82334162.12110558
2022-09-06 03:20:00,-26810574.055780042,-26810574.055780042,-109144736.17688562
2022-09-06 03:40:00,62717835.4865055,62717835.4865055,-46426900.69038012
2022-09-06 04:00:00,38583901.611974105,38583901.611974105,-7842999.078406014
2022-09-06 04:20:00,-41352988.24243812,-41352988.24243812,-49195987.320844136
2022-09-06 04:40:00,73654113.62694272,73654113.62694272,24458126.306098588
2022-09-06 06:20:00,-147308227.25388545,-147308227.25388545,-122850100.94778687
2022-09-06 06:40:00,-361910.09660513,-361910.09660513,-123212011.044392
2022-09-06 07:00:00,-92158457.65374257,-92158457.65374257,-215370468.69813457
2022-09-06 07:20:00,51785865.70028555,51785865.70028555,-163584602.99784902
2022-09-06 07:40:00,6277074.630339156,6277074.630339156,-157307528.36750987
2022-09-06 08:00:00,22989785.833611928,22989785.833611928,-134317742.53389794
2022-09-07 02:20:00,91017582.13989635,91017582.13989635,-43300160.39400159
2022-09-07 02:40:00,-20400492.5485969,-20400492.5485969,-63700652.94259849
2022-09-07 03:00:00,26677567.178936057,26677567.178936057,-37023085.763662435
2022-09-07 03:20:00,31385373.15168864,31385373.15168864,-5637712.611973796
2022-09-07 03:40:00,-26677567.178936057,-26677567.178936057,-32315279.790909853
2022-09-07 04:00:00,-9415611.945505165,-9415611.945505165,-41730891.73641501
2022-09-07 04:20:00,7879159.596232262,7879159.596232262,-33851732.14018275
2022-09-07 04:40:00,-1338552.2269469856,-1338552.2269469856,-35190284.367129736
2022-09-07 06:20:00,-7040629.879422634,-7040629.879422634,-42230914.24655237
2022-09-07 06:40:00,6625639.980488798,6625639.980488798,-35605274.26606357
2022-09-07 07:00:00,39753839.88293656,39753839.88293656,4148565.6168729886
2022-09-07 07:20:00,21190094.33699311,21190094.33699311,25338659.953866098
2022-09-07 07:40:00,67286491.41280574,67286491.41280574,92625151.36667183
2022-09-07 08:00:00,57922454.69119079,57922454.69119079,150547606.0578626
2022-09-08 02:20:00,-65043608.365711704,-65043608.365711704,85503997.6921509
2022-09-08 02:40:00,8117004.885837257,8117004.885837257,93621002.57798816
2022-09-08 03:00:00,12108778.773506686,12108778.773506686,105729781.35149485
2022-09-08 03:20:00,-5851098.281120964,-5851098.281120964,99878683.07037388
2022-09-08 03:40:00,11892292.815140897,11892292.815140897,111770975.88551478
2022-09-08 04:00:00,-8020388.3661012035,-8020388.3661012035,103750587.51941358
2022-09-08 04:20:00,-111432189.25904721,-111432189.25904721,-7681601.739633635
2022-09-08 04:40:00,6174505.280882057,6174505.280882057,-1507096.458751578
2022-09-08 06:20:00,15436263.202201633,15436263.202201633,13929166.743450055
2022-09-08 06:40:00,-46308789.6066049,-46308789.6066049,-32379622.863154843
2022-09-08 07:00:00,18523515.842639152,18523515.842639152,-13856107.020515691
2022-09-08 07:20:00,18523515.84264617,18523515.84264617,4667408.822130479
2022-09-08 07:40:00,175973400.5051,175973400.5051,180640809.32723048
2022-09-08 08:00:00,14355724.778047519,14355724.778047519,194996534.10527802
2022-09-09 02:20:00,-179060653.14554456,-179060653.14554456,15935880.959733456
2022-09-09 02:40:00,6174505.280882057,6174505.280882057,22110386.240615513
2022-09-09 03:00:00,-18523515.842639152,-18523515.842639152,3586870.397976361
2022-09-09 03:20:00,55570547.52792448,55570547.52792448,59157417.92590084
2022-09-09 03:40:00,6140564.164000645,6140564.164000645,65297982.089901485
2022-09-09 04:00:00,25360536.609911803,25360536.609911803,90658518.69981329
2022-09-09 04:20:00,-28547920.695576843,-28547920.695576843,62110598.004236445
2022-09-09 04:40:00,-25374363.96017105,-25374363.96017105,36736234.04406539
2022-09-09 06:20:00,-25374363.96017105,-25374363.96017105,11361870.083894342
2022-09-09 06:40:00,31717954.950215615,31717954.950215615,43079825.03410996
2022-09-09 07:00:00,63435909.90043123,63435909.90043123,106515734.9345412
2022-09-09 07:20:00,92366195.06648277,92366195.06648277,198881930.00102395
2022-09-09 07:40:00,-261132662.7256674,-261132662.7256674,-62250732.72464344
2022-09-09 08:00:00,-97105750.3115536,-97105750.3115536,-159356483.03619704
2022-09-12 02:20:00,-228602600.71853814,-228602600.71853814,-387959083.7547352
2022-09-12 02:40:00,5149118.984085182,5149118.984085182,-382809964.77064997
2022-09-12 03:00:00,-37135708.974080145,-37135708.974080145,-419945673.7447301
2022-09-12 03:20:00,0.0,0.0,-419945673.7447301
2022-09-12 03:40:00,3713389.735493969,3713389.735493969,-416232284.00923616
2022-09-12 04:00:00,-7251583.611664716,-7251583.611664716,-423483867.62090087
2022-09-12 04:20:00,-19245356.08095951,-19245356.08095951,-442729223.70186037
2022-09-12 04:40:00,0.0,0.0,-442729223.70186037
2022-09-12 06:20:00,-1505958.205084034,-1505958.205084034,-444235181.9069444
2022-09-12 06:40:00,-5028503.512220891,-5028503.512220891,-449263685.4191653
2022-09-12 07:00:00,-315305.75594212464,-315305.75594212464,-449578991.1751074
2022-09-12 07:20:00,317330.25106207945,317330.25106207945,-449261660.9240453
2022-09-12 07:40:00,-793325.6276550182,-793325.6276550182,-450054986.55170035
2022-09-12 08:00:00,30063176.552175395,30063176.552175395,-419991809.99952495
2022-09-12 08:20:00,-10250022.939173317,-10250022.939173317,-430241832.9386983
2022-09-13 02:20:00,-6896039.897916009,-6896039.897916009,-437137872.8366143
2022-09-13 02:40:00,1986192.3875209251,1986192.3875209251,-435151680.4490934
2022-09-13 03:00:00,-1394441.6696163286,-1394441.6696163286,-436546122.11870974
2022-09-13 03:20:00,2777453.1400452326,2777453.1400452326,-433768668.9786645
2022-09-13 03:40:00,-1596861.41320984,-1596861.41320984,-435365530.3918744
2022-09-13 04:00:00,7180612.591943838,7180612.591943838,-428184917.7999305
2022-09-13 04:20:00,-2393550.671229322,-2393550.671229322,-430578468.4711598
2022-09-13 04:40:00,-3191400.8949694056,-3191400.8949694056,-433769869.3661292
2022-09-13 06:20:00,-9574202.684911845,-9574202.684911845,-443344072.05104107
2022-09-13 06:40:00,11967753.356139353,11967753.356139353,-431376318.6949017
2022-09-13 07:00:00,14361304.027366862,14361304.027366862,-417015014.6675348
2022-09-13 07:20:00,-6382801.789940625,-6382801.789940625,-423397816.4574754
2022-09-13 07:40:00,-17552704.92233808,-17552704.92233808,-440950521.3798135
2022-09-13 08:00:00,45198215.17501999,45198215.17501999,-395752306.2047935
2022-09-14 02:20:00,160950309.84143215,160950309.84143215,-234801996.36336136
2022-09-14 02:40:00,-53415962.53378882,-53415962.53378882,-288217958.89715016
2022-09-14 03:00:00,-34178010.93828436,-34178010.93828436,-322395969.8354345
2022-09-14 03:20:00,34178010.93828436,34178010.93828436,-288217958.89715016
2022-09-14 03:40:00,15535459.517403265,15535459.517403265,-272682499.3797469
2022-09-14 04:00:00,-3107091.903477827,-3107091.903477827,-275789591.28322476
2022-09-14 04:20:00,9321275.710440546,9321275.710440546,-266468315.57278422
2022-09-14 04:40:00,-3107091.903477827,-3107091.903477827,-269575407.47626203
2022-09-14 06:20:00,-21749643.324365985,-21749643.324365985,-291325050.800628
2022-09-14 06:40:00,-84614550.87586546,-84614550.87586546,-375939601.67649347
2022-09-14 07:00:00,-110255124.21715571,-110255124.21715571,-486194725.89364916
2022-09-14 07:20:00,2281140.501046259,2281140.501046259,-483913585.3926029
2022-09-14 07:40:00,0.0,0.0,-483913585.3926029
2022-09-14 08:00:00,0.0,0.0,-483913585.3926029
2022-09-15 02:20:00,0.0,0.0,-483913585.3926029
2022-09-15 02:40:00,0.0,0.0,-483913585.3926029
2022-09-15 03:00:00,0.0,0.0,-483913585.3926029
2022-09-15 03:20:00,-0.0,0.0,-483913585.3926029
2022-09-15 03:40:00,0.0,0.0,-483913585.3926029
2022-09-15 04:00:00,-0.0,0.0,-483913585.3926029
2022-09-15 04:20:00,22999863.3112074,22999863.3112074,-460913722.0813955
2022-09-15 04:40:00,-0.0,0.0,-460913722.0813955
2022-09-15 06:20:00,66211727.71408964,66211727.71408964,-394701994.3673059
2022-09-15 06:40:00,13939311.09769766,13939311.09769766,-380762683.2696082
2022-09-15 07:00:00,41206067.93878278,41206067.93878278,-339556615.33082545
2022-09-15 07:20:00,-1513637.877277682,-1513637.877277682,-341070253.2081031
2022-09-15 07:40:00,0.0,0.0,-341070253.2081031
2022-09-15 08:00:00,0.0,0.0,-341070253.2081031
2022-09-16 02:20:00,0.0,0.0,-341070253.2081031
2022-09-16 02:40:00,5433941.535763696,5433941.535763696,-335636311.67233944
2022-09-16 03:00:00,2362583.2764188345,2362583.2764188345,-333273728.39592063
2022-09-16 03:20:00,-0.0,0.0,-333273728.39592063
2022-09-16 03:40:00,8269041.467461892,8269041.467461892,-325004686.92845875
2022-09-16 04:00:00,9728331.739794925,9728331.739794925,-315276355.18866384
2022-09-16 04:20:00,15529627.535553072,15529627.535553072,-299746727.65311074
2022-09-16 04:40:00,3106665.8687026505,3106665.8687026505,-296640061.7844081
2022-09-16 06:20:00,27962554.313437335,27962554.313437335,-268677507.47097075
2022-09-16 06:40:00,124278019.17082004,124278019.17082004,-144399488.3001507
2022-09-16 07:00:00,-59205251.832498945,-59205251.832498945,-203604740.13264963
2022-09-16 07:20:00,177428240.57749125,177428240.57749125,-26176499.555158377
