Date,VN30F1M,TOTAL,value
2022-09-05 02:12:00,,0.0,0.0
2022-09-05 02:24:00,0.0,0.0,0.0
2022-09-05 02:36:00,0.0,0.0,0.0
2022-09-05 02:48:00,-694327.333447028,-694327.333447028,-694327.333447028
2022-09-05 03:00:00,-2042139.2160203971,-2042139.2160203971,-2736466.549467425
2022-09-05 03:12:00,790982.7924520888,790982.7924520888,-1945483.757015336
2022-09-05 03:24:00,-5559.91455115471,-5559.91455115471,-1951043.6715664908
2022-09-05 03:36:00,5765976.735002098,5765976.735002098,3814933.0634356067
2022-09-05 03:48:00,6178.6432896149345,6178.6432896149345,3821111.7067252216
2022-09-05 04:00:00,-45004444.54464369,-45004444.54464369,-41183332.83791847
2022-09-05 04:12:00,6384978.812599931,6384978.812599931,-34798354.02531853
2022-09-05 04:24:00,184698082.84370032,184698082.84370032,149899728.8183818
2022-09-05 04:36:00,-31465310.324564345,-31465310.324564345,118434418.49381745
2022-09-05 06:12:00,-892528.311274575,-892528.311274575,117541890.18254288
2022-09-05 06:24:00,18500018.500018504,18500018.500018504,136041908.68256137
2022-09-05 06:36:00,-33300033.300036673,-33300033.300036673,102741875.3825247
2022-09-05 06:48:00,129466416.29731667,129466416.29731667,232208291.67984137
2022-09-05 07:00:00,14820620.421411704,14820620.421411704,247028912.10125306
2022-09-05 07:12:00,-222568273.8416525,-222568273.8416525,24460638.25960055
2022-09-05 07:24:00,-66770059.62661738,-66770059.62661738,-42309421.36701683
2022-09-05 07:36:00,92350867.69659594,92350867.69659594,50041446.32957911
2022-09-05 07:48:00,69431819.55544733,69431819.55544733,119473265.88502643
2022-09-06 02:12:00,-85793043.76729602,-85793043.76729602,33680222.11773041
2022-09-06 02:24:00,-49008410.77497259,-49008410.77497259,-15328188.657242179
2022-09-06 02:36:00,-7902709.376073517,-7902709.376073517,-23230898.033315696
2022-09-06 02:48:00,10631077.700753747,10631077.700753747,-12599820.33256195
2022-09-06 03:00:00,-9483980.655079272,-9483980.655079272,-22083800.987641223
2022-09-06 03:12:00,-14775043.392449794,-14775043.392449794,-36858844.38009102
2022-09-06 03:24:00,-6121003.03490983,-6121003.03490983,-42979847.41500085
2022-09-06 03:36:00,32645349.519522186,32645349.519522186,-10334497.895478662
2022-09-06 03:48:00,61210030.34910758,61210030.34910758,50875532.45362891
2022-09-06 04:00:00,-34766611.73295049,-34766611.73295049,16108920.720678419
2022-09-06 04:12:00,9822848.737286672,9822848.737286672,25931769.45796509
2022-09-06 04:24:00,0.0,0.0,25931769.45796509
2022-09-06 04:36:00,22095297.01602679,22095297.01602679,48027066.473991886
2022-09-06 06:12:00,-22095297.01602679,-22095297.01602679,25931769.457965095
2022-09-06 06:24:00,-125206683.0908408,-125206683.0908408,-99274913.63287571
2022-09-06 06:36:00,0.0,0.0,-99274913.63287571
2022-09-06 06:48:00,62875000.42365685,62875000.42365685,-36399913.20921886
2022-09-06 07:00:00,14587488.05949504,14587488.05949504,-21812425.14972382
2022-09-06 07:12:00,-13362296.026699776,-13362296.026699776,-35174721.176423594
