Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,26382710.114370927,26382710.114370927,26382710.114370927
2022-09-05 02:25:00,-11838395.564141225,-11838395.564141225,14544314.550229702
2022-09-05 02:30:00,-10147196.197833138,-10147196.197833138,4397118.352396565
2022-09-05 02:35:00,6567610.721348111,6567610.721348111,10964729.073744675
2022-09-05 02:40:00,11045870.577812536,11045870.577812536,22010599.65155721
2022-09-05 02:45:00,0.0,0.0,22010599.65155721
2022-09-05 02:50:00,14727827.437069427,14727827.437069427,36738427.08862664
2022-09-05 02:55:00,7363913.718538899,7363913.718538899,44102340.80716553
2022-09-05 03:00:00,7363913.718538899,7363913.718538899,51466254.52570443
2022-09-05 03:05:00,-14727827.437077798,-14727827.437077798,36738427.08862663
2022-09-05 03:10:00,-7363913.718538899,-7363913.718538899,29374513.37008773
2022-09-05 03:15:00,-3681956.8592652637,-3681956.8592652637,25692556.510822468
2022-09-05 03:20:00,0.0,0.0,25692556.510822468
2022-09-05 03:25:00,25773698.01488196,25773698.01488196,51466254.52570443
2022-09-05 03:30:00,55229352.88902919,55229352.88902919,106695607.41473362
2022-09-05 03:35:00,11045870.577804163,11045870.577804163,117741477.99253778
2022-09-05 03:40:00,7363913.718538899,7363913.718538899,125105391.71107668
2022-09-05 03:45:00,-11045870.577804163,-11045870.577804163,114059521.13327251
2022-09-05 03:50:00,18409784.296343062,18409784.296343062,132469305.42961557
2022-09-05 03:55:00,22091741.155608326,22091741.155608326,154561046.5852239
2022-09-05 04:00:00,-198825670.40050843,-198825670.40050843,-44264623.81528452
2022-09-05 04:05:00,-7363913.718530527,-7363913.718530527,-51628537.53381505
2022-09-05 04:10:00,-25773698.01488196,-25773698.01488196,-77402235.54869701
2022-09-05 04:15:00,-73639137.18537225,-73639137.18537225,-151041372.73406926
2022-09-05 04:20:00,-15990921.34198247,-15990921.34198247,-167032294.07605174
2022-09-05 04:25:00,-66221110.627262786,-66221110.627262786,-233253404.70331454
2022-09-05 04:30:00,15050252.415286684,15050252.415286684,-218203152.28802785
2022-09-05 04:35:00,-4028336.6538679306,-4028336.6538679306,-222231488.94189578
2022-09-05 06:05:00,-796002.953195625,-796002.953195625,-223027491.8950914
2022-09-05 06:10:00,-265334.3177319756,-265334.3177319756,-223292826.2128234
2022-09-05 06:15:00,1724673.0652573889,1724673.0652573889,-221568153.147566
2022-09-05 06:20:00,3011933.7171610417,3011933.7171610417,-218556219.43040496
2022-09-05 06:25:00,888241.0387695762,888241.0387695762,-217667978.3916354
2022-09-05 06:30:00,-14211856.620325334,-14211856.620325334,-231879835.01196072
2022-09-05 06:35:00,-0.0,0.0,-231879835.01196072
2022-09-05 06:40:00,7994169.348934264,7994169.348934264,-223885665.66302645
2022-09-05 06:45:00,32864918.43450259,32864918.43450259,-191020747.22852385
2022-09-05 06:50:00,-9770651.426473415,-9770651.426473415,-200791398.65499726
2022-09-05 06:55:00,1776482.0775411718,1776482.0775411718,-199014916.5774561
2022-09-05 07:00:00,11547133.504014587,11547133.504014587,-187467783.0734415
2022-09-05 07:05:00,-87591084.4483895,-87591084.4483895,-275058867.52183104
2022-09-05 07:10:00,9285848.979371704,9285848.979371704,-265773018.54245934
2022-09-05 07:15:00,-23214622.44843278,-23214622.44843278,-288987640.9908921
2022-09-05 07:20:00,-47976886.39342634,-47976886.39342634,-336964527.3843185
2022-09-05 07:25:00,-8357264.081437209,-8357264.081437209,-345321791.4657557
2022-09-05 07:30:00,0.0,0.0,-345321791.4657557
2022-09-05 07:35:00,0.0,0.0,-345321791.4657557
2022-09-05 07:50:00,0.0,0.0,-345321791.4657557
2022-09-06 02:05:00,0.0,0.0,-345321791.4657557
