Date,VN30F1M,TOTAL,value
2022-09-05 02:05:00,,0.0,0.0
2022-09-05 02:10:00,-0.0,0.0,0.0
2022-09-05 02:15:00,-0.0,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:25:00,-0.0,0.0,0.0
2022-09-05 02:30:00,0.0,0.0,0.0
2022-09-05 02:35:00,713856.1670171915,713856.1670171915,713856.1670171915
2022-09-05 02:40:00,1338480.313158426,1338480.313158426,2052336.4801756176
2022-09-05 02:45:00,0.0,0.0,2052336.4801756176
2022-09-05 02:50:00,5023184.236116033,5023184.236116033,7075520.716291651
2022-09-05 02:55:00,3383507.7615224007,3383507.7615224007,10459028.477814052
2022-09-05 03:00:00,3383507.7615224007,3383507.7615224007,13842536.239336453
2022-09-05 03:05:00,-6767015.523044801,-6767015.523044801,7075520.716291652
2022-09-05 03:10:00,-3383507.7615224007,-3383507.7615224007,3692012.9547692514
2022-09-05 03:15:00,-1691753.880759277,-1691753.880759277,2000259.0740099745
2022-09-05 03:20:00,0.0,0.0,2000259.0740099745
2022-09-05 03:25:00,11842277.16532648,11842277.16532648,13842536.239336453
2022-09-05 03:30:00,25376308.211412232,25376308.211412232,39218844.45074868
2022-09-05 03:35:00,7953109.2104326,7953109.2104326,47171953.661181286
2022-09-05 03:40:00,5597236.660099763,5597236.660099763,52769190.321281046
2022-09-05 03:45:00,-8395854.990146464,-8395854.990146464,44373335.33113458
2022-09-05 03:50:00,3960172.1409801627,3960172.1409801627,48333507.47211474
2022-09-05 03:55:00,7385847.940357418,7385847.940357418,55719355.41247216
2022-09-05 04:00:00,-66472631.46322796,-66472631.46322796,-10753276.050755799
2022-09-05 04:05:00,-1866617.6231865408,-1866617.6231865408,-12619893.673942339
2022-09-05 04:10:00,-6012246.452179321,-6012246.452179321,-18632140.12612166
2022-09-05 04:15:00,-17177847.006225515,-17177847.006225515,-35809987.132347174
2022-09-05 04:20:00,7513599.859629493,7513599.859629493,-28296387.27271768
2022-09-05 04:25:00,53264744.80595558,53264744.80595558,24968357.5332379
2022-09-05 04:30:00,-12105623.81953511,-12105623.81953511,12862733.71370279
2022-09-05 04:35:00,-0.0,0.0,12862733.71370279
2022-09-05 06:05:00,14526748.583439931,14526748.583439931,27389482.29714272
2022-09-05 06:10:00,4842249.527815145,4842249.527815145,32231731.824957866
2022-09-05 06:15:00,-31474621.930790186,-31474621.930790186,757109.8941676803
2022-09-05 06:20:00,12105623.81953511,12105623.81953511,12862733.71370279
2022-09-05 06:25:00,2421124.7639048197,2421124.7639048197,15283858.47760761
2022-09-05 06:30:00,-38737996.22251015,-38737996.22251015,-23454137.744902544
2022-09-05 06:35:00,-179142.71758292534,-179142.71758292534,-23633280.46248547
2022-09-05 06:40:00,25820834.020772465,25820834.020772465,2187553.5582869947
2022-09-05 06:45:00,106152317.6409375,106152317.6409375,108339871.1992245
2022-09-05 06:50:00,-40963214.52997658,-40963214.52997658,67376656.66924793
2022-09-05 06:55:00,7387860.904058611,7387860.904058611,74764517.57330653
2022-09-05 07:00:00,48021095.87636837,48021095.87636837,122785613.4496749
2022-09-05 07:05:00,-206860105.3135907,-206860105.3135907,-84074491.8639158
2022-09-05 07:10:00,22163582.712167434,22163582.712167434,-61910909.15174837
2022-09-05 07:15:00,-55408956.78042698,-55408956.78042698,-117319865.93217534
2022-09-05 07:20:00,-78043298.44569589,-78043298.44569589,-195363164.37787122
2022-09-05 07:25:00,65376535.805795744,65376535.805795744,-129986628.57207547
2022-09-05 07:30:00,65376535.80580193,65376535.80580193,-64610092.76627354
2022-09-05 07:35:00,0.0,0.0,-64610092.76627354
2022-09-05 07:50:00,61699105.66672199,61699105.66672199,-2910987.099551551
2022-09-06 02:05:00,-51756424.17959372,-51756424.17959372,-54667411.27914527
