Date,VN30F1M
2022-09-05 02:20:00,0.0
2022-09-05 02:40:00,0.0
2022-09-05 03:00:00,0.0
2022-09-05 03:20:00,0.0
2022-09-05 03:40:00,0.0
2022-09-05 04:00:00,-0.7068
2022-09-05 04:20:00,-0.7049
2022-09-05 04:40:00,-0.704
2022-09-05 06:20:00,-0.704
2022-09-05 06:40:00,-0.7043
2022-09-05 07:00:00,-0.6748
2022-09-05 07:20:00,-0.3161
2022-09-05 07:40:00,-0.062
2022-09-05 08:00:00,-0.0619
2022-09-06 02:20:00,0.3436
2022-09-06 02:40:00,0.5896
2022-09-06 03:00:00,0.7422
2022-09-06 03:20:00,0.7568
2022-09-06 03:40:00,0.7577
2022-09-06 04:00:00,0.8279
2022-09-06 04:20:00,0.7598
2022-09-06 04:40:00,0.6803
2022-09-06 06:20:00,0.5171
2022-09-06 06:40:00,0.5428
2022-09-06 07:00:00,0.3888
2022-09-06 07:20:00,-0.0075
2022-09-06 07:40:00,-0.0773
2022-09-06 08:00:00,-0.0772
2022-09-07 02:20:00,0.0
2022-09-07 02:40:00,0.0
2022-09-07 03:00:00,0.0
2022-09-07 03:20:00,0.1392
2022-09-07 03:40:00,0.1908
2022-09-07 04:00:00,0.2197
2022-09-07 04:20:00,0.0801
2022-09-07 04:40:00,0.0288
2022-09-07 06:20:00,0.0
2022-09-07 06:40:00,-0.0226
2022-09-07 07:00:00,-0.5885
2022-09-07 07:20:00,-0.5876
2022-09-07 07:40:00,-0.5848
2022-09-07 08:00:00,-0.5824
2022-09-08 02:20:00,0.0
2022-09-08 02:40:00,0.0
2022-09-08 03:00:00,0.0
2022-09-08 03:20:00,0.0
2022-09-08 03:40:00,0.0
2022-09-08 04:00:00,-0.0658
2022-09-08 04:20:00,-0.066
2022-09-08 04:40:00,0.0
2022-09-08 06:20:00,0.0
2022-09-08 06:40:00,0.0
2022-09-08 07:00:00,0.0
2022-09-08 07:20:00,0.0
2022-09-08 07:40:00,0.0
2022-09-08 08:00:00,0.0
2022-09-09 02:20:00,0.0
2022-09-09 02:40:00,0.0
2022-09-09 03:00:00,0.0
2022-09-09 03:20:00,0.0
2022-09-09 03:40:00,-0.0123
2022-09-09 04:00:00,-0.3929
2022-09-09 04:20:00,-0.3932
2022-09-09 04:40:00,-0.3935
2022-09-09 06:20:00,-0.3937
2022-09-09 06:40:00,-0.3637
2022-09-09 07:00:00,-0.8568
2022-09-09 07:20:00,-0.855
2022-09-09 07:40:00,-0.528
2022-09-09 08:00:00,-0.5292
2022-09-12 02:20:00,-0.326
2022-09-12 02:40:00,-0.3261
2022-09-12 03:00:00,-0.25
2022-09-12 03:20:00,-0.145
2022-09-12 03:40:00,-0.0822
2022-09-12 04:00:00,-0.05
2022-09-12 04:20:00,-0.0199
2022-09-12 04:40:00,0.0072
2022-09-12 06:20:00,0.03
2022-09-12 06:40:00,0.2723
2022-09-12 07:00:00,0.3236
2022-09-12 07:20:00,0.3235
2022-09-12 07:40:00,0.0367
2022-09-12 08:00:00,0.0366
2022-09-12 08:20:00,0.0366
2022-09-13 02:20:00,0.0367
2022-09-13 02:40:00,0.0366
2022-09-13 03:00:00,0.0366
2022-09-13 03:20:00,0.0366
2022-09-13 03:40:00,0.0366
2022-09-13 04:00:00,0.0366
2022-09-13 04:20:00,0.0366
2022-09-13 04:40:00,0.0366
2022-09-13 06:20:00,0.0367
2022-09-13 06:40:00,0.0366
2022-09-13 07:00:00,0.0366
2022-09-13 07:20:00,0.0366
2022-09-13 07:40:00,0.0367
2022-09-13 08:00:00,0.0365
2022-09-14 02:20:00,0.0359
