Date,VN30F1M
2022-09-05 02:05:00,0.8283
2022-09-05 02:10:00,0.8282
2022-09-05 02:15:00,0.8279
2022-09-05 02:20:00,0.8288
2022-09-05 02:25:00,0.8284
2022-09-05 02:30:00,0.828
2022-09-05 02:35:00,0.8281
2022-09-05 02:40:00,0.8283
2022-09-05 02:45:00,0.8283
2022-09-05 02:50:00,0.7012
2022-09-05 02:55:00,0.7013
2022-09-05 03:00:00,0.7014
2022-09-05 03:05:00,0.7012
2022-09-05 03:10:00,0.7362
2022-09-05 03:15:00,0.6791
2022-09-05 03:20:00,0.6269
2022-09-05 03:25:00,0.5184
2022-09-05 03:30:00,0.5713
2022-09-05 03:35:00,0.4827
2022-09-05 03:40:00,0.8202
2022-09-05 03:45:00,0.9122
2022-09-05 03:50:00,0.9125
2022-09-05 03:55:00,0.913
2022-09-05 04:00:00,0.782
2022-09-05 04:05:00,0.1691
2022-09-05 04:10:00,0.0
2022-09-05 04:15:00,-0.3263
2022-09-05 04:20:00,-0.8389
2022-09-05 04:25:00,-0.9984
2022-09-05 04:30:00,-0.9988
2022-09-05 04:35:00,-0.9988
2022-09-05 06:05:00,-0.9984
2022-09-05 06:10:00,-0.9982
2022-09-05 06:15:00,-0.9992
2022-09-05 06:20:00,-0.9988
2022-09-05 06:25:00,-0.9988
2022-09-05 06:30:00,-1.0
2022-09-05 06:35:00,-1.0
2022-09-05 06:40:00,-0.9993
2022-09-05 06:45:00,-0.9964
2022-09-05 06:50:00,-0.9973
2022-09-05 06:55:00,-0.9971
2022-09-05 07:00:00,-0.9961
2022-09-05 07:05:00,-1.0005
2022-09-05 07:10:00,-1.0
2022-09-05 07:15:00,-1.0012
2022-09-05 07:20:00,-1.0036
2022-09-05 07:25:00,-0.8171
2022-09-05 07:30:00,-0.8156
2022-09-05 07:35:00,-0.7234
2022-09-05 07:50:00,-0.7222
2022-09-06 02:05:00,-0.7232
2022-09-06 02:10:00,-0.7234
2022-09-06 02:15:00,-0.7236
2022-09-06 02:20:00,-0.7247
2022-09-06 02:25:00,-0.636
2022-09-06 02:30:00,-0.5836
2022-09-06 02:35:00,-0.4116
2022-09-06 02:40:00,-0.2845
2022-09-06 02:45:00,-0.0584
2022-09-06 02:50:00,0.1274
2022-09-06 02:55:00,0.1274
2022-09-06 03:00:00,0.1273
2022-09-06 03:05:00,0.2194
2022-09-06 03:10:00,0.2195
2022-09-06 03:15:00,0.2195
2022-09-06 03:20:00,0.2195
2022-09-06 03:25:00,0.2195
2022-09-06 03:30:00,0.2196
2022-09-06 03:35:00,0.2196
2022-09-06 03:40:00,0.2198
2022-09-06 03:45:00,0.2199
2022-09-06 03:50:00,0.3859
2022-09-06 03:55:00,0.7614
2022-09-06 04:00:00,0.9016
2022-09-06 04:05:00,1.0004
2022-09-06 04:10:00,1.0
2022-09-06 04:15:00,1.0004
2022-09-06 04:20:00,0.9993
2022-09-06 04:25:00,1.0004
2022-09-06 04:30:00,1.0006
2022-09-06 04:35:00,1.0008
2022-09-06 06:05:00,1.0
2022-09-06 06:10:00,0.9999
2022-09-06 06:15:00,0.9998
2022-09-06 06:20:00,0.9977
2022-09-06 06:25:00,0.6332
2022-09-06 06:30:00,-0.0241
2022-09-06 06:35:00,-0.2195
2022-09-06 06:40:00,-0.2765
2022-09-06 06:45:00,-0.277
2022-09-06 06:50:00,-0.2767
2022-09-06 06:55:00,-0.277
2022-09-06 07:00:00,-0.2776
2022-09-06 07:05:00,0.0
2022-09-06 07:10:00,0.1751
2022-09-06 07:15:00,0.1748
2022-09-06 07:20:00,0.1749
2022-09-06 07:25:00,0.0865
2022-09-06 07:30:00,0.0864
2022-09-06 07:35:00,0.0
2022-09-06 07:50:00,-0.0922
2022-09-07 02:05:00,-0.3941
2022-09-07 02:10:00,-0.7964
2022-09-07 02:15:00,-0.9994
2022-09-07 02:20:00,-0.9998
2022-09-07 02:25:00,-0.9996
2022-09-07 02:30:00,-1.0001
2022-09-07 02:35:00,-1.0002
2022-09-07 02:40:00,-1.0008
2022-09-07 02:45:00,-1.0002
2022-09-07 02:50:00,-0.9995
2022-09-07 02:55:00,-0.9994
2022-09-07 03:00:00,-0.9995
2022-09-07 03:05:00,-0.9998
2022-09-07 03:10:00,-0.9981
2022-09-07 03:15:00,-0.998
2022-09-07 03:20:00,-0.9979
2022-09-07 03:25:00,-0.9977
2022-09-07 03:30:00,-0.9977
2022-09-07 03:35:00,-0.9984
2022-09-07 03:40:00,-0.9992
2022-09-07 03:45:00,-0.9994
2022-09-07 03:50:00,-0.999
2022-09-07 03:55:00,-0.9419
2022-09-07 04:00:00,-0.8509
2022-09-07 04:05:00,-0.8508
2022-09-07 04:10:00,-0.7226
2022-09-07 04:15:00,-0.6338
2022-09-07 04:20:00,-0.6342
2022-09-07 04:25:00,-0.6342
2022-09-07 04:30:00,-0.6345
2022-09-07 04:35:00,-0.6343
2022-09-07 06:05:00,-0.6349
2022-09-07 06:10:00,-0.4449
2022-09-07 06:15:00,-0.2417
2022-09-07 06:20:00,-0.0682
2022-09-07 06:25:00,-0.0683
2022-09-07 06:30:00,0.0
2022-09-07 06:35:00,0.5407
2022-09-07 06:40:00,0.5398
2022-09-07 06:45:00,0.5394
2022-09-07 06:50:00,0.6318
2022-09-07 06:55:00,0.6316
2022-09-07 07:00:00,0.3893
2022-09-07 07:05:00,0.0333
2022-09-07 07:10:00,-0.0349
2022-09-07 07:15:00,-0.2745
2022-09-07 07:20:00,-0.7292
2022-09-07 07:25:00,-0.9976
