Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:25:00,-0.0968
2022-09-05 02:30:00,-0.4333
2022-09-05 02:35:00,-0.4334
2022-09-05 02:40:00,-0.1756
2022-09-05 02:45:00,-0.1756
2022-09-05 02:50:00,-0.1757
2022-09-05 02:55:00,0.0906
2022-09-05 03:00:00,0.0907
2022-09-05 03:05:00,-0.4252
2022-09-05 03:10:00,-0.4251
2022-09-05 03:15:00,-0.4251
2022-09-05 03:20:00,-0.7339
2022-09-05 03:25:00,-0.7343
2022-09-05 03:30:00,-0.7351
2022-09-05 03:35:00,-0.7353
2022-09-05 03:40:00,-0.7354
2022-09-05 03:45:00,-0.7352
2022-09-05 03:50:00,-0.7355
2022-09-05 03:55:00,-0.7359
2022-09-05 04:00:00,-0.8657
2022-09-05 04:05:00,-0.9986
2022-09-05 04:10:00,-0.9981
2022-09-05 04:15:00,-0.9965
2022-09-05 04:20:00,-0.9962
2022-09-05 04:25:00,-0.9945
2022-09-05 04:30:00,-0.9948
2022-09-05 04:35:00,-0.9948
2022-09-05 06:05:00,-0.9944
2022-09-05 06:10:00,-0.9942
2022-09-05 06:15:00,-0.9952
2022-09-05 06:20:00,-0.9948
2022-09-05 06:25:00,-0.9948
2022-09-05 06:30:00,-0.996
2022-09-05 06:35:00,-0.4272
2022-09-05 06:40:00,-0.4269
2022-09-05 06:45:00,-0.4257
2022-09-05 06:50:00,-0.4261
2022-09-05 06:55:00,-0.426
2022-09-05 07:00:00,-0.4256
2022-09-05 07:05:00,-0.4274
2022-09-05 07:10:00,-0.4272
2022-09-05 07:15:00,-0.4277
2022-09-05 07:20:00,-0.4288
2022-09-05 07:25:00,-0.3311
2022-09-05 07:30:00,-0.3305
2022-09-05 07:35:00,-0.3305
2022-09-05 07:50:00,-0.3299
2022-09-06 02:05:00,-0.3304
2022-09-06 02:10:00,-0.3305
2022-09-06 02:15:00,-0.3306
2022-09-06 02:20:00,1.0002
2022-09-06 02:25:00,1.0
2022-09-06 02:30:00,1.0002
2022-09-06 02:35:00,0.9999
2022-09-06 02:40:00,1.0006
2022-09-06 02:45:00,1.0003
2022-09-06 02:50:00,1.0011
2022-09-06 02:55:00,1.0011
2022-09-06 03:00:00,0.8067
2022-09-06 03:05:00,0.5398
2022-09-06 03:10:00,0.54
2022-09-06 03:15:00,0.1332
2022-09-06 03:20:00,0.3994
2022-09-06 03:25:00,0.593
2022-09-06 03:30:00,0.5935
2022-09-06 03:35:00,0.5933
2022-09-06 03:40:00,1.0009
2022-09-06 03:45:00,1.0014
2022-09-06 03:50:00,1.0024
2022-09-06 03:55:00,1.0026
2022-09-06 04:00:00,1.0019
2022-09-06 04:05:00,1.0022
2022-09-06 04:10:00,1.0018
2022-09-06 04:15:00,1.0022
2022-09-06 04:20:00,0.5861
2022-09-06 04:25:00,0.5868
2022-09-06 04:30:00,0.5869
2022-09-06 04:35:00,0.587
2022-09-06 06:05:00,0.5865
2022-09-06 06:10:00,0.1795
2022-09-06 06:15:00,0.0779
2022-09-06 06:20:00,-0.41
2022-09-06 06:25:00,-0.4101
2022-09-06 06:30:00,-0.9995
2022-09-06 06:35:00,-0.9993
2022-09-06 06:40:00,-0.9991
2022-09-06 06:45:00,-1.0008
2022-09-06 06:50:00,-0.5854
2022-09-06 06:55:00,-0.5859
2022-09-06 07:00:00,-0.4899
2022-09-06 07:05:00,-0.3563
2022-09-06 07:10:00,-0.2228
2022-09-06 07:15:00,-0.2224
2022-09-06 07:20:00,0.3871
2022-09-06 07:25:00,0.3874
2022-09-06 07:30:00,0.3872
2022-09-06 07:35:00,0.387
2022-09-06 07:50:00,0.3866
2022-09-07 02:05:00,-0.2565
2022-09-07 02:10:00,-0.2565
2022-09-07 02:15:00,-0.2564
2022-09-07 02:20:00,-0.2565
2022-09-07 02:25:00,-0.2565
2022-09-07 02:30:00,-0.2566
2022-09-07 02:35:00,-0.2566
2022-09-07 02:40:00,-0.5933
2022-09-07 02:45:00,-0.5929
2022-09-07 02:50:00,-0.5926
2022-09-07 02:55:00,-0.5925
2022-09-07 03:00:00,-0.694
2022-09-07 03:05:00,-0.6942
2022-09-07 03:10:00,-0.693
2022-09-07 03:15:00,-0.6929
2022-09-07 03:20:00,-0.6929
2022-09-07 03:25:00,-0.6927
2022-09-07 03:30:00,-0.6927
2022-09-07 03:35:00,-0.6933
2022-09-07 03:40:00,0.0278
2022-09-07 03:45:00,0.0278
2022-09-07 03:50:00,0.1246
2022-09-07 03:55:00,0.1246
2022-09-07 04:00:00,0.7973
2022-09-07 04:05:00,0.7973
2022-09-07 04:10:00,0.7963
2022-09-07 04:15:00,0.5888
2022-09-07 04:20:00,0.5892
2022-09-07 04:25:00,0.3594
2022-09-07 04:30:00,0.3596
2022-09-07 04:35:00,0.3595
2022-09-07 06:05:00,0.3599
2022-09-07 06:10:00,0.3598
2022-09-07 06:15:00,0.36
2022-09-07 06:20:00,0.8669
2022-09-07 06:25:00,1.0002
2022-09-07 06:30:00,1.0009
2022-09-07 06:35:00,1.001
2022-09-07 06:40:00,0.7921
2022-09-07 06:45:00,0.7915
2022-09-07 06:50:00,0.7919
2022-09-07 06:55:00,0.7916
2022-09-07 07:00:00,-0.3365
2022-09-07 07:05:00,-0.336
2022-09-07 07:10:00,-0.3367
2022-09-07 07:15:00,-0.3367
2022-09-07 07:20:00,-0.5433
2022-09-07 07:25:00,-0.542
2022-09-07 07:30:00,-0.5407
2022-09-07 07:35:00,-0.5408
2022-09-07 07:50:00,-0.5386
2022-09-08 02:05:00,-0.5411
2022-09-08 02:10:00,-0.5413
2022-09-08 02:15:00,-0.5414
2022-09-08 02:20:00,-0.541
2022-09-08 02:25:00,-0.541
2022-09-08 02:30:00,-0.3345
2022-09-08 02:35:00,-0.3344
2022-09-08 02:40:00,-0.3343
2022-09-08 02:45:00,-0.0688
2022-09-08 02:50:00,-0.0688
2022-09-08 02:55:00,-0.0687
2022-09-08 03:00:00,-0.0688
2022-09-08 03:05:00,-0.0688
2022-09-08 03:10:00,-0.0688
2022-09-08 03:15:00,-0.0688
2022-09-08 03:20:00,-0.0688
2022-09-08 03:25:00,-0.0687
2022-09-08 03:30:00,0.4379
2022-09-08 03:35:00,0.438
