Date,VN30F1M
2022-09-05 02:05:00,0.2653
2022-09-05 02:10:00,0.2653
2022-09-05 02:15:00,0.2652
2022-09-05 02:20:00,0.2655
2022-09-05 02:25:00,0.2654
2022-09-05 02:30:00,0.2652
2022-09-05 02:35:00,0.2653
2022-09-05 02:40:00,0.2653
2022-09-05 02:45:00,0.2653
2022-09-05 02:50:00,0.2654
2022-09-05 02:55:00,0.2655
2022-09-05 03:00:00,0.2655
2022-09-05 03:05:00,0.2654
2022-09-05 03:10:00,0.2654
2022-09-05 03:15:00,0.2654
2022-09-05 03:20:00,0.5605
2022-09-05 03:25:00,0.5608
2022-09-05 03:30:00,0.759
2022-09-05 03:35:00,-0.363
2022-09-05 03:40:00,-0.6051
2022-09-05 03:45:00,-0.9999
2022-09-05 03:50:00,-1.0003
2022-09-05 03:55:00,-1.0007
2022-09-05 04:00:00,-0.9966
2022-09-05 04:05:00,-0.9964
2022-09-05 04:10:00,-0.9959
2022-09-05 04:15:00,-0.9943
2022-09-05 04:20:00,-0.994
2022-09-05 04:25:00,-0.9923
2022-09-05 04:30:00,-0.9927
2022-09-05 04:35:00,-0.9927
2022-09-05 06:05:00,-0.9922
2022-09-05 06:10:00,-0.992
2022-09-05 06:15:00,-0.993
2022-09-05 06:20:00,-0.9927
2022-09-05 06:25:00,-0.9926
2022-09-05 06:30:00,-0.9938
2022-09-05 06:35:00,-0.9938
2022-09-05 06:40:00,-0.9931
2022-09-05 06:45:00,-0.9903
2022-09-05 06:50:00,-0.9911
2022-09-05 06:55:00,-0.991
2022-09-05 07:00:00,-0.99
2022-09-05 07:05:00,-0.9943
2022-09-05 07:10:00,-0.9938
2022-09-05 07:15:00,-0.995
2022-09-05 07:20:00,0.0
2022-09-05 07:25:00,0.0
2022-09-05 07:30:00,0.0
2022-09-05 07:35:00,0.0
2022-09-05 07:50:00,0.0
2022-09-06 02:05:00,0.242
2022-09-06 02:10:00,0.4396
2022-09-06 02:15:00,1.0001
2022-09-06 02:20:00,1.0017
2022-09-06 02:25:00,1.0015
2022-09-06 02:30:00,1.0017
2022-09-06 02:35:00,1.0014
2022-09-06 02:40:00,1.0021
2022-09-06 02:45:00,1.0018
2022-09-06 02:50:00,1.0026
2022-09-06 02:55:00,1.0026
2022-09-06 03:00:00,1.0019
2022-09-06 03:05:00,1.0012
2022-09-06 03:10:00,1.0015
2022-09-06 03:15:00,1.0014
2022-09-06 03:20:00,1.0014
2022-09-06 03:25:00,1.0013
2022-09-06 03:30:00,1.0022
2022-09-06 03:35:00,1.0018
2022-09-06 03:40:00,1.0027
2022-09-06 03:45:00,1.0032
2022-09-06 03:50:00,1.0042
2022-09-06 03:55:00,-0.119
2022-09-06 04:00:00,-0.6039
2022-09-06 04:05:00,-0.9999
2022-09-06 04:10:00,-0.9995
2022-09-06 04:15:00,-0.9999
2022-09-06 04:20:00,-0.9987
2022-09-06 04:25:00,-0.9999
2022-09-06 04:30:00,-1.0001
2022-09-06 04:35:00,-1.0002
2022-09-06 06:05:00,-0.9994
2022-09-06 06:10:00,-0.9993
2022-09-06 06:15:00,-0.9992
2022-09-06 06:20:00,-0.9972
2022-09-06 06:25:00,0.0
2022-09-06 06:30:00,-0.758
2022-09-06 06:35:00,-0.7578
2022-09-06 06:40:00,-0.7577
2022-09-06 06:45:00,-0.759
2022-09-06 06:50:00,-0.7583
2022-09-06 06:55:00,-0.759
2022-09-06 07:00:00,-0.7606
2022-09-06 07:05:00,-0.7604
2022-09-06 07:10:00,-0.7596
2022-09-06 07:15:00,-0.7582
2022-09-06 07:20:00,-0.7586
2022-09-06 07:25:00,-0.7592
2022-09-06 07:30:00,-0.7587
2022-09-06 07:35:00,-0.7584
2022-09-06 07:50:00,-0.7575
2022-09-07 02:05:00,-0.7539
2022-09-07 02:10:00,-0.754
2022-09-07 02:15:00,-0.7538
2022-09-07 02:20:00,-0.7541
2022-09-07 02:25:00,-0.754
2022-09-07 02:30:00,-0.7543
2022-09-07 02:35:00,-0.7544
2022-09-07 02:40:00,-0.7549
2022-09-07 02:45:00,-0.7544
2022-09-07 02:50:00,-0.7539
2022-09-07 02:55:00,0.3641
2022-09-07 03:00:00,0.6062
2022-09-07 03:05:00,1.0004
2022-09-07 03:10:00,0.9986
2022-09-07 03:15:00,0.9985
2022-09-07 03:20:00,0.4681
2022-09-07 03:25:00,0.468
2022-09-07 03:30:00,0.468
2022-09-07 03:35:00,-0.1217
2022-09-07 03:40:00,-0.6058
2022-09-07 03:45:00,-1.0007
2022-09-07 03:50:00,-0.4693
2022-09-07 03:55:00,-1.0
2022-09-07 04:00:00,-1.0007
2022-09-07 04:05:00,-1.0007
2022-09-07 04:10:00,-0.9995
2022-09-07 04:15:00,-0.999
2022-09-07 04:20:00,-0.9996
2022-09-07 04:25:00,-0.9995
2022-09-07 04:30:00,-1.0
2022-09-07 04:35:00,-0.9997
2022-09-07 06:05:00,-1.0007
2022-09-07 06:10:00,-1.0005
2022-09-07 06:15:00,-1.001
2022-09-07 06:20:00,-1.0004
2022-09-07 06:25:00,0.0
2022-09-07 06:30:00,0.0
2022-09-07 06:35:00,0.0
2022-09-07 06:40:00,-1.0
2022-09-07 06:45:00,-0.9993
2022-09-07 06:50:00,-0.9997
2022-09-07 06:55:00,-0.9994
2022-09-07 07:00:00,-0.9963
2022-09-07 07:05:00,-0.9949
2022-09-07 07:10:00,-0.9967
2022-09-07 07:15:00,-0.9968
2022-09-07 07:20:00,-0.9948
2022-09-07 07:25:00,-0.9924
2022-09-07 07:30:00,-0.9899
2022-09-07 07:35:00,-0.9901
2022-09-07 07:50:00,-0.986
