Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:25:00,0.0
2022-09-05 02:30:00,0.0
2022-09-05 02:35:00,0.0
2022-09-05 02:40:00,0.0
2022-09-05 02:45:00,-0.0668
2022-09-05 02:50:00,0.109
2022-09-05 02:55:00,0.109
2022-09-05 03:00:00,0.109
2022-09-05 03:05:00,0.109
2022-09-05 03:10:00,0.109
2022-09-05 03:15:00,-0.0274
2022-09-05 03:20:00,-0.2074
2022-09-05 03:25:00,-0.2075
2022-09-05 03:30:00,-0.2485
2022-09-05 03:35:00,-0.3358
2022-09-05 03:40:00,-0.269
2022-09-05 03:45:00,-0.4053
2022-09-05 03:50:00,-0.3829
2022-09-05 03:55:00,-0.2272
2022-09-05 04:00:00,-0.6117
2022-09-05 04:05:00,-0.8148
2022-09-05 04:10:00,-0.8143
2022-09-05 04:15:00,-0.8131
2022-09-05 04:20:00,-0.8128
2022-09-05 04:25:00,-0.9286
2022-09-05 04:30:00,-0.929
2022-09-05 04:35:00,-0.929
2022-09-05 06:05:00,-0.9285
2022-09-05 06:10:00,-0.9952
2022-09-05 06:15:00,-0.9962
2022-09-05 06:20:00,-0.9958
2022-09-05 06:25:00,-0.9957
2022-09-05 06:30:00,-0.997
2022-09-05 06:35:00,-0.997
2022-09-05 06:40:00,-0.9963
2022-09-05 06:45:00,-0.9934
2022-09-05 06:50:00,-0.9943
2022-09-05 06:55:00,-0.9941
2022-09-05 07:00:00,-0.9931
2022-09-05 07:05:00,-0.9974
2022-09-05 07:10:00,-0.997
2022-09-05 07:15:00,-0.9311
2022-09-05 07:20:00,-0.5814
2022-09-05 07:25:00,-0.5803
2022-09-05 07:30:00,-0.5792
2022-09-05 07:35:00,-0.5792
2022-09-05 07:50:00,-0.5782
2022-09-06 02:05:00,-0.1474
2022-09-06 02:10:00,0.049
2022-09-06 02:15:00,0.3648
2022-09-06 02:20:00,0.6586
2022-09-06 02:25:00,0.8948
2022-09-06 02:30:00,0.9529
2022-09-06 02:35:00,1.0004
2022-09-06 02:40:00,1.0011
2022-09-06 02:45:00,1.0008
2022-09-06 02:50:00,1.0017
2022-09-06 02:55:00,1.0017
2022-09-06 03:00:00,1.0009
2022-09-06 03:05:00,1.0003
2022-09-06 03:10:00,1.0006
2022-09-06 03:15:00,1.0004
2022-09-06 03:20:00,1.0004
2022-09-06 03:25:00,1.0004
2022-09-06 03:30:00,1.0012
2022-09-06 03:35:00,1.0008
2022-09-06 03:40:00,1.0018
2022-09-06 03:45:00,1.0023
2022-09-06 03:50:00,1.0032
2022-09-06 03:55:00,1.0035
2022-09-06 04:00:00,1.0028
2022-09-06 04:05:00,1.0031
2022-09-06 04:10:00,1.0027
2022-09-06 04:15:00,1.0031
2022-09-06 04:20:00,1.0019
2022-09-06 04:25:00,1.0031
2022-09-06 04:30:00,1.0033
2022-09-06 04:35:00,1.0035
2022-09-06 06:05:00,1.0026
2022-09-06 06:10:00,1.0025
2022-09-06 06:15:00,1.0025
2022-09-06 06:20:00,0.8601
2022-09-06 06:25:00,0.2365
2022-09-06 06:30:00,0.2366
2022-09-06 06:35:00,-0.049
2022-09-06 06:40:00,-0.1702
2022-09-06 06:45:00,-0.1705
2022-09-06 06:50:00,-0.1704
2022-09-06 06:55:00,-0.1705
2022-09-06 07:00:00,-0.1709
2022-09-06 07:05:00,-0.1709
2022-09-06 07:10:00,-0.2488
2022-09-06 07:15:00,-0.6328
2022-09-06 07:20:00,-0.8478
2022-09-06 07:25:00,-0.8483
2022-09-06 07:30:00,-0.8478
2022-09-06 07:35:00,-0.8475
2022-09-06 07:50:00,-0.8465
2022-09-07 02:05:00,-0.9953
2022-09-07 02:10:00,-0.9955
2022-09-07 02:15:00,-0.9952
2022-09-07 02:20:00,-0.9956
2022-09-07 02:25:00,-0.9954
2022-09-07 02:30:00,-0.9959
2022-09-07 02:35:00,-0.9959
2022-09-07 02:40:00,-0.9966
2022-09-07 02:45:00,-0.9959
2022-09-07 02:50:00,-0.9953
2022-09-07 02:55:00,-0.9952
2022-09-07 03:00:00,-0.9952
2022-09-07 03:05:00,-0.9956
2022-09-07 03:10:00,-0.9938
2022-09-07 03:15:00,-0.9938
2022-09-07 03:20:00,-0.9937
2022-09-07 03:25:00,-0.9935
2022-09-07 03:30:00,-0.9935
2022-09-07 03:35:00,-0.9942
2022-09-07 03:40:00,-0.995
2022-09-07 03:45:00,-0.9952
2022-09-07 03:50:00,-0.9948
2022-09-07 03:55:00,-0.9947
2022-09-07 04:00:00,-0.9955
2022-09-07 04:05:00,-0.9954
2022-09-07 04:10:00,-0.9942
2022-09-07 04:15:00,-0.9937
2022-09-07 04:20:00,-0.9943
2022-09-07 04:25:00,-0.9942
2022-09-07 04:30:00,-0.9283
2022-09-07 04:35:00,-0.9281
2022-09-07 06:05:00,-0.8845
2022-09-07 06:10:00,-0.6936
2022-09-07 06:15:00,-0.1362
2022-09-07 06:20:00,-0.0883
2022-09-07 06:25:00,-0.0015
2022-09-07 06:30:00,0.7894
2022-09-07 06:35:00,0.8474
2022-09-07 06:40:00,0.846
2022-09-07 06:45:00,0.8454
2022-09-07 06:50:00,0.8457
2022-09-07 06:55:00,0.8455
2022-09-07 07:00:00,0.6883
2022-09-07 07:05:00,0.5424
2022-09-07 07:10:00,0.6115
2022-09-07 07:15:00,0.6116
2022-09-07 07:20:00,0.6103
2022-09-07 07:25:00,0.6088
2022-09-07 07:30:00,0.6074
2022-09-07 07:35:00,0.6075
2022-09-07 07:50:00,0.605
2022-09-08 02:05:00,0.6078
2022-09-08 02:10:00,0.608
2022-09-08 02:15:00,0.6081
2022-09-08 02:20:00,0.6077
2022-09-08 02:25:00,0.3718
2022-09-08 02:30:00,0.2855
2022-09-08 02:35:00,0.2854
2022-09-08 02:40:00,0.2412
2022-09-08 02:45:00,-0.3217
2022-09-08 02:50:00,-0.3216
2022-09-08 02:55:00,-0.6627
2022-09-08 03:00:00,-0.6635
2022-09-08 03:05:00,-0.6636
2022-09-08 03:10:00,-0.758
2022-09-08 03:15:00,-0.7583
2022-09-08 03:20:00,-0.8165
2022-09-08 03:25:00,-0.8155
2022-09-08 03:30:00,-0.8162
2022-09-08 03:35:00,-0.8164
2022-09-08 03:40:00,-0.8153
