Date,VN30F1M
2022-09-05 02:05:00,0.4153
2022-09-05 02:10:00,0.4153
2022-09-05 02:15:00,0.4151
2022-09-05 02:20:00,0.4156
2022-09-05 02:25:00,0.4154
2022-09-05 02:30:00,0.4152
2022-09-05 02:35:00,0.4152
2022-09-05 02:40:00,0.4153
2022-09-05 02:45:00,0.4153
2022-09-05 02:50:00,0.4155
2022-09-05 02:55:00,0.4155
2022-09-05 03:00:00,0.4156
2022-09-05 03:05:00,0.4155
2022-09-05 03:10:00,0.4154
2022-09-05 03:15:00,0.4154
2022-09-05 03:20:00,0.3323
2022-09-05 03:25:00,0.2672
2022-09-05 03:30:00,0.2049
2022-09-05 03:35:00,0.1394
2022-09-05 03:40:00,0.104
2022-09-05 03:45:00,0.0495
2022-09-05 03:50:00,0.0495
2022-09-05 03:55:00,0.0251
2022-09-05 04:00:00,0.0
2022-09-05 04:05:00,0.0
2022-09-05 04:10:00,-0.2954
2022-09-05 04:15:00,-0.5583
2022-09-05 04:20:00,-0.5581
2022-09-05 04:25:00,-0.9984
2022-09-05 04:30:00,-0.9988
2022-09-05 04:35:00,-0.9988
2022-09-05 06:05:00,-0.9983
2022-09-05 06:10:00,-0.9981
2022-09-05 06:15:00,-0.9991
2022-09-05 06:20:00,-0.9988
2022-09-05 06:25:00,-0.9987
2022-09-05 06:30:00,-0.9999
2022-09-05 06:35:00,-0.9999
2022-09-05 06:40:00,-0.9992
2022-09-05 06:45:00,-0.9964
2022-09-05 06:50:00,-0.9972
2022-09-05 06:55:00,-0.9971
2022-09-05 07:00:00,-0.996
2022-09-05 07:05:00,-1.0004
2022-09-05 07:10:00,-0.9999
2022-09-05 07:15:00,-1.0011
2022-09-05 07:20:00,-1.0035
2022-09-05 07:25:00,-1.0016
2022-09-05 07:30:00,-0.9998
2022-09-05 07:35:00,-0.9998
2022-09-05 07:50:00,-0.998
2022-09-06 02:05:00,-0.9995
2022-09-06 02:10:00,-0.9461
2022-09-06 02:15:00,-0.6984
2022-09-06 02:20:00,-0.4414
2022-09-06 02:25:00,-0.4039
2022-09-06 02:30:00,-0.3158
2022-09-06 02:35:00,-0.0627
2022-09-06 02:40:00,0.0434
2022-09-06 02:45:00,0.1252
2022-09-06 02:50:00,0.2122
2022-09-06 02:55:00,0.2122
2022-09-06 03:00:00,0.2968
2022-09-06 03:05:00,0.2966
2022-09-06 03:10:00,0.3321
2022-09-06 03:15:00,0.3827
2022-09-06 03:20:00,0.5105
2022-09-06 03:25:00,0.5861
2022-09-06 03:30:00,0.5866
2022-09-06 03:35:00,0.5863
2022-09-06 03:40:00,0.5869
2022-09-06 03:45:00,0.5872
2022-09-06 03:50:00,0.6379
2022-09-06 03:55:00,0.638
2022-09-06 04:00:00,0.6376
2022-09-06 04:05:00,0.6378
2022-09-06 04:10:00,0.6375
2022-09-06 04:15:00,0.5833
2022-09-06 04:20:00,0.5827
2022-09-06 04:25:00,0.5833
2022-09-06 04:30:00,0.4985
2022-09-06 04:35:00,0.4986
2022-09-06 06:05:00,0.4982
2022-09-06 06:10:00,0.4442
2022-09-06 06:15:00,0.3702
2022-09-06 06:20:00,0.1006
2022-09-06 06:25:00,0.1006
2022-09-06 06:30:00,0.1007
2022-09-06 06:35:00,0.1006
2022-09-06 06:40:00,-0.0442
2022-09-06 06:45:00,-0.0442
2022-09-06 06:50:00,-0.0442
2022-09-06 06:55:00,-0.0442
2022-09-06 07:00:00,-0.0443
2022-09-06 07:05:00,-0.0443
2022-09-06 07:10:00,-0.0443
2022-09-06 07:15:00,-0.1193
2022-09-06 07:20:00,-0.1193
2022-09-06 07:25:00,-0.1194
2022-09-06 07:30:00,-0.1193
2022-09-06 07:35:00,-0.1193
2022-09-06 07:50:00,-0.1191
2022-09-07 02:05:00,-0.1811
2022-09-07 02:10:00,-0.1811
2022-09-07 02:15:00,-0.1811
2022-09-07 02:20:00,-0.1812
2022-09-07 02:25:00,-0.1811
2022-09-07 02:30:00,-0.1812
2022-09-07 02:35:00,-0.1812
2022-09-07 02:40:00,-0.1813
2022-09-07 02:45:00,-0.1812
2022-09-07 02:50:00,-0.1186
2022-09-07 02:55:00,0.0
2022-09-07 03:00:00,0.0
2022-09-07 03:05:00,0.0
2022-09-07 03:10:00,0.0
2022-09-07 03:15:00,-0.0764
2022-09-07 03:20:00,-0.1633
2022-09-07 03:25:00,-0.2764
2022-09-07 03:30:00,-0.2764
2022-09-07 03:35:00,-0.3419
2022-09-07 03:40:00,-0.2906
2022-09-07 03:45:00,-0.2906
2022-09-07 03:50:00,-0.2905
2022-09-07 03:55:00,-0.2905
2022-09-07 04:00:00,-0.2907
2022-09-07 04:05:00,-0.3695
2022-09-07 04:10:00,-0.3691
2022-09-07 04:15:00,-0.3689
2022-09-07 04:20:00,-0.4563
2022-09-07 04:25:00,-0.4563
2022-09-07 04:30:00,-0.4565
2022-09-07 04:35:00,-0.4564
2022-09-07 06:05:00,-0.4568
2022-09-07 06:10:00,-0.4567
2022-09-07 06:15:00,-0.457
2022-09-07 06:20:00,-0.4567
2022-09-07 06:25:00,-0.4568
2022-09-07 06:30:00,-0.3448
2022-09-07 06:35:00,-0.294
2022-09-07 06:40:00,-0.2935
2022-09-07 06:45:00,-0.2933
2022-09-07 06:50:00,-0.2935
2022-09-07 06:55:00,-0.319
2022-09-07 07:00:00,-0.318
2022-09-07 07:05:00,-0.3176
2022-09-07 07:10:00,-0.4634
2022-09-07 07:15:00,-0.7445
2022-09-07 07:20:00,-0.743
2022-09-07 07:25:00,-0.7412
2022-09-07 07:30:00,-0.7394
2022-09-07 07:35:00,-0.7395
2022-09-07 07:50:00,-0.7364
2022-09-08 02:05:00,-0.8756
2022-09-08 02:10:00,-0.8759
2022-09-08 02:15:00,-0.8761
2022-09-08 02:20:00,-0.8756
2022-09-08 02:25:00,-0.8754
2022-09-08 02:30:00,-0.8753
2022-09-08 02:35:00,-0.8752
2022-09-08 02:40:00,-0.875
2022-09-08 02:45:00,-0.8743
2022-09-08 02:50:00,-0.8741
2022-09-08 02:55:00,-0.8731
2022-09-08 03:00:00,-0.8741
2022-09-08 03:05:00,-0.8742
2022-09-08 03:10:00,-0.8736
2022-09-08 03:15:00,-0.8739
2022-09-08 03:20:00,-0.8743
2022-09-08 03:25:00,-0.8135
2022-09-08 03:30:00,-0.7072
2022-09-08 03:35:00,-0.6704
2022-09-08 03:40:00,-0.5425
2022-09-08 03:45:00,-0.5419
2022-09-08 03:50:00,-0.4912
2022-09-08 03:55:00,-0.2024
2022-09-08 04:00:00,-0.1004
2022-09-08 04:05:00,-0.1005
2022-09-08 04:10:00,-0.0495
2022-09-08 04:15:00,0.0
2022-09-08 04:20:00,0.0
2022-09-08 04:25:00,0.0
2022-09-08 04:30:00,0.0
2022-09-08 04:35:00,0.0
2022-09-08 06:05:00,0.0764
2022-09-08 06:10:00,0.1269
2022-09-08 06:15:00,0.1269
2022-09-08 06:20:00,0.1272
2022-09-08 06:25:00,0.1273
2022-09-08 06:30:00,0.1272
2022-09-08 06:35:00,0.4851
2022-09-08 06:40:00,0.4857
2022-09-08 06:45:00,0.4863
2022-09-08 06:50:00,0.4869
2022-09-08 06:55:00,0.6265
2022-09-08 07:00:00,0.6503
2022-09-08 07:05:00,0.6507
2022-09-08 07:10:00,0.6494
2022-09-08 07:15:00,0.6478
2022-09-08 07:20:00,0.65
2022-09-08 07:25:00,0.6488
2022-09-08 07:30:00,0.6473
2022-09-08 07:35:00,0.6471
2022-09-08 07:50:00,0.6468
2022-09-09 02:05:00,0.649
2022-09-09 02:10:00,0.6491
2022-09-09 02:15:00,0.6497
2022-09-09 02:20:00,0.596
2022-09-09 02:25:00,0.5958
