Date,VN30F1M
2022-09-05 02:05:00,0.3239
2022-09-05 02:10:00,0.3238
2022-09-05 02:15:00,0.3237
2022-09-05 02:20:00,0.3241
2022-09-05 02:25:00,0.3239
2022-09-05 02:30:00,0.3238
2022-09-05 02:35:00,0.3238
2022-09-05 02:40:00,0.3239
2022-09-05 02:45:00,0.3239
2022-09-05 02:50:00,0.324
2022-09-05 02:55:00,0.324
2022-09-05 03:00:00,0.3241
2022-09-05 03:05:00,0.324
2022-09-05 03:10:00,0.3239
2022-09-05 03:15:00,0.3239
2022-09-05 03:20:00,0.2556
2022-09-05 03:25:00,0.0645
2022-09-05 03:30:00,0.0646
2022-09-05 03:35:00,0.0646
2022-09-05 03:40:00,-0.2695
2022-09-05 03:45:00,-0.6198
2022-09-05 03:50:00,-0.7491
2022-09-05 03:55:00,-0.7495
2022-09-05 04:00:00,-0.9974
2022-09-05 04:05:00,-0.9973
2022-09-05 04:10:00,-0.9967
2022-09-05 04:15:00,-0.9952
2022-09-05 04:20:00,-0.9948
2022-09-05 04:25:00,-0.9931
2022-09-05 04:30:00,-0.9935
2022-09-05 04:35:00,-0.9935
2022-09-05 06:05:00,-0.993
2022-09-05 06:10:00,-0.9929
2022-09-05 06:15:00,-0.9939
2022-09-05 06:20:00,-0.9935
2022-09-05 06:25:00,-0.9934
2022-09-05 06:30:00,-0.9946
2022-09-05 06:35:00,-0.9946
2022-09-05 06:40:00,-0.9939
2022-09-05 06:45:00,-0.9911
2022-09-05 06:50:00,-0.9919
2022-09-05 06:55:00,-0.9918
2022-09-05 07:00:00,-0.9908
2022-09-05 07:05:00,-0.9951
2022-09-05 07:10:00,-0.9946
2022-09-05 07:15:00,-0.9958
2022-09-05 07:20:00,-0.9982
2022-09-05 07:25:00,-0.9963
2022-09-05 07:30:00,-0.9945
2022-09-05 07:35:00,-0.9945
2022-09-05 07:50:00,-0.9927
2022-09-06 02:05:00,-0.8907
2022-09-06 02:10:00,-0.7652
2022-09-06 02:15:00,-0.6627
2022-09-06 02:20:00,-0.38
2022-09-06 02:25:00,-0.202
2022-09-06 02:30:00,-0.1146
2022-09-06 02:35:00,-0.1145
2022-09-06 02:40:00,0.2373
2022-09-06 02:45:00,0.3658
2022-09-06 02:50:00,0.4693
2022-09-06 02:55:00,0.4693
2022-09-06 03:00:00,0.469
2022-09-06 03:05:00,0.4687
2022-09-06 03:10:00,0.5567
2022-09-06 03:15:00,0.6857
2022-09-06 03:20:00,0.6857
2022-09-06 03:25:00,0.6856
2022-09-06 03:30:00,0.8736
2022-09-06 03:35:00,0.8733
2022-09-06 03:40:00,0.8741
2022-09-06 03:45:00,0.8746
2022-09-06 03:50:00,0.8754
2022-09-06 03:55:00,0.8756
2022-09-06 04:00:00,0.875
2022-09-06 04:05:00,0.8753
2022-09-06 04:10:00,0.8749
2022-09-06 04:15:00,0.8753
2022-09-06 04:20:00,0.7851
2022-09-06 04:25:00,0.786
2022-09-06 04:30:00,0.7862
2022-09-06 04:35:00,0.704
2022-09-06 06:05:00,0.47
2022-09-06 06:10:00,0.4699
2022-09-06 06:15:00,0.4699
2022-09-06 06:20:00,-0.1649
2022-09-06 06:25:00,-0.254
2022-09-06 06:30:00,-0.2541
2022-09-06 06:35:00,-0.3477
2022-09-06 06:40:00,-0.4298
2022-09-06 06:45:00,-0.4305
2022-09-06 06:50:00,-0.5239
2022-09-06 06:55:00,-0.5244
2022-09-06 07:00:00,-0.5255
2022-09-06 07:05:00,-0.5254
2022-09-06 07:10:00,-0.5248
2022-09-06 07:15:00,-0.9396
2022-09-06 07:20:00,-0.9401
2022-09-06 07:25:00,-0.9407
2022-09-06 07:30:00,-0.9402
2022-09-06 07:35:00,-0.9398
2022-09-06 07:50:00,-0.9387
2022-09-07 02:05:00,-0.9343
2022-09-07 02:10:00,-0.9344
2022-09-07 02:15:00,-0.9341
2022-09-07 02:20:00,-0.9345
2022-09-07 02:25:00,-0.9343
2022-09-07 02:30:00,-0.9348
2022-09-07 02:35:00,-0.9348
2022-09-07 02:40:00,-0.9354
2022-09-07 02:45:00,-0.6186
2022-09-07 02:50:00,-0.4991
2022-09-07 02:55:00,-0.4991
2022-09-07 03:00:00,-0.2912
2022-09-07 03:05:00,-0.2914
2022-09-07 03:10:00,-0.3941
2022-09-07 03:15:00,-0.3941
2022-09-07 03:20:00,-0.394
2022-09-07 03:25:00,-0.7124
2022-09-07 03:30:00,-0.8928
2022-09-07 03:35:00,-0.8118
2022-09-07 03:40:00,-0.6997
2022-09-07 03:45:00,-0.6998
2022-09-07 03:50:00,-0.6995
2022-09-07 03:55:00,-0.6994
2022-09-07 04:00:00,-0.789
2022-09-07 04:05:00,-0.8534
2022-09-07 04:10:00,-0.8524
2022-09-07 04:15:00,-0.9986
2022-09-07 04:20:00,-0.9992
2022-09-07 04:25:00,-0.906
2022-09-07 04:30:00,-0.9065
2022-09-07 04:35:00,-0.9062
2022-09-07 06:05:00,-0.9071
2022-09-07 06:10:00,-0.907
2022-09-07 06:15:00,-0.9074
2022-09-07 06:20:00,-0.9069
2022-09-07 06:25:00,-0.9071
2022-09-07 06:30:00,-0.9335
2022-09-07 06:35:00,-0.9336
2022-09-07 06:40:00,-0.932
2022-09-07 06:45:00,-0.9314
2022-09-07 06:50:00,-0.9318
2022-09-07 06:55:00,-0.9315
2022-09-07 07:00:00,-0.9969
2022-09-07 07:05:00,-0.9955
2022-09-07 07:10:00,-0.9973
2022-09-07 07:15:00,-0.9974
2022-09-07 07:20:00,-0.9954
2022-09-07 07:25:00,-0.993
2022-09-07 07:30:00,-0.9905
2022-09-07 07:35:00,-0.9907
2022-09-07 07:50:00,-0.9866
2022-09-08 02:05:00,-0.9912
2022-09-08 02:10:00,-0.9916
2022-09-08 02:15:00,-0.9918
2022-09-08 02:20:00,-0.9912
2022-09-08 02:25:00,-0.991
2022-09-08 02:30:00,-0.9909
2022-09-08 02:35:00,-0.9908
2022-09-08 02:40:00,-0.9905
2022-09-08 02:45:00,-0.9897
2022-09-08 02:50:00,-0.9895
2022-09-08 02:55:00,-0.9884
2022-09-08 03:00:00,-0.9895
2022-09-08 03:05:00,-0.9896
2022-09-08 03:10:00,-0.989
2022-09-08 03:15:00,-0.9893
