Date,VN30F1M
2022-09-05 02:15:00,0.0
2022-09-05 02:30:00,0.2246
2022-09-05 02:45:00,0.2246
2022-09-05 03:00:00,0.2246
2022-09-05 03:15:00,0.2246
2022-09-05 03:30:00,0.2246
2022-09-05 03:45:00,0.0
2022-09-05 04:00:00,-1.0
2022-09-05 04:15:00,-1.0
2022-09-05 04:30:00,-1.0
2022-09-05 04:45:00,-1.0
2022-09-05 06:15:00,-1.0
2022-09-05 06:30:00,-1.0
2022-09-05 06:45:00,-1.0
2022-09-05 07:00:00,-1.0
2022-09-05 07:15:00,-1.0
2022-09-05 07:30:00,-0.9987
2022-09-05 07:45:00,0.0
2022-09-05 08:00:00,0.0
2022-09-06 02:15:00,0.2859
2022-09-06 02:30:00,0.5219
2022-09-06 02:45:00,0.5219
2022-09-06 03:00:00,0.5219
2022-09-06 03:15:00,0.05
2022-09-06 03:30:00,0.6532
2022-09-06 03:45:00,0.6532
2022-09-06 04:00:00,0.6532
2022-09-06 04:15:00,0.8891
2022-09-06 04:30:00,0.8891
2022-09-06 04:45:00,0.7778
2022-09-06 06:15:00,0.7778
2022-09-06 06:30:00,0.7778
2022-09-06 06:45:00,0.7778
2022-09-06 07:00:00,1.0
2022-09-06 07:15:00,1.0
2022-09-06 07:30:00,1.0006
2022-09-06 07:45:00,0.0
2022-09-06 08:00:00,0.0
2022-09-07 02:15:00,0.0
2022-09-07 02:30:00,0.3355
2022-09-07 02:45:00,0.3355
2022-09-07 03:00:00,0.3355
2022-09-07 03:15:00,0.3355
2022-09-07 03:30:00,0.3355
2022-09-07 03:45:00,0.3355
2022-09-07 04:00:00,0.3355
2022-09-07 04:15:00,-0.4286
2022-09-07 04:30:00,-0.4286
2022-09-07 04:45:00,-0.4286
2022-09-07 06:15:00,-0.4286
2022-09-07 06:30:00,-0.3173
2022-09-07 06:45:00,-0.3173
2022-09-07 07:00:00,-0.8887
2022-09-07 07:15:00,-0.5714
2022-09-07 07:30:00,-0.5675
2022-09-07 07:45:00,0.0
2022-09-07 08:00:00,0.0
2022-09-08 02:15:00,0.0
2022-09-08 02:30:00,0.0
2022-09-08 02:45:00,0.0
2022-09-08 03:00:00,0.0
2022-09-08 03:15:00,0.0
2022-09-08 03:30:00,0.0
2022-09-08 03:45:00,0.0
2022-09-08 04:00:00,0.0
2022-09-08 04:15:00,0.0
2022-09-08 04:30:00,0.0
2022-09-08 04:45:00,0.0
2022-09-08 06:15:00,0.0
2022-09-08 06:30:00,0.0
2022-09-08 06:45:00,0.1113
2022-09-08 07:00:00,0.1113
2022-09-08 07:15:00,0.1113
2022-09-08 07:30:00,0.1112
2022-09-08 07:45:00,0.0
2022-09-08 08:00:00,0.0
2022-09-09 02:15:00,0.0
2022-09-09 02:30:00,0.0
2022-09-09 02:45:00,0.2359
2022-09-09 03:00:00,0.5532
2022-09-09 03:15:00,0.5532
2022-09-09 03:30:00,0.7778
2022-09-09 03:45:00,0.8887
2022-09-09 04:00:00,0.8887
2022-09-09 04:15:00,0.8887
2022-09-09 04:30:00,1.0
2022-09-09 04:45:00,1.0
2022-09-09 06:15:00,1.0
2022-09-09 06:30:00,1.0
2022-09-09 06:45:00,1.0
2022-09-09 07:00:00,0.8887
2022-09-09 07:15:00,0.3355
2022-09-09 07:30:00,0.3373
2022-09-09 07:45:00,0.0
2022-09-09 08:00:00,0.0
2022-09-12 02:15:00,-0.1747
2022-09-12 02:30:00,0.0
2022-09-12 02:45:00,0.0
2022-09-12 03:00:00,-0.3173
2022-09-12 03:15:00,0.0
2022-09-12 03:30:00,0.0
2022-09-12 03:45:00,0.0
2022-09-12 04:00:00,0.0
2022-09-12 04:15:00,0.0
2022-09-12 04:30:00,-0.4286
2022-09-12 04:45:00,-0.5718
2022-09-12 06:15:00,-0.1113
2022-09-12 06:30:00,-0.1113
2022-09-12 06:45:00,-0.1113
2022-09-12 07:00:00,-0.3173
2022-09-12 07:15:00,0.2545
2022-09-12 07:30:00,0.254
2022-09-12 07:45:00,0.0
2022-09-12 08:00:00,0.0
2022-09-12 08:15:00,0.0
2022-09-12 08:30:00,0.0
2022-09-13 02:15:00,0.0
2022-09-13 02:30:00,0.0
2022-09-13 02:45:00,0.0
2022-09-13 03:00:00,0.0
2022-09-13 03:15:00,0.0
2022-09-13 03:30:00,0.0
2022-09-13 03:45:00,0.0
2022-09-13 04:00:00,0.0
2022-09-13 04:15:00,0.0
2022-09-13 04:30:00,0.0
2022-09-13 04:45:00,0.0
2022-09-13 06:15:00,0.0
2022-09-13 06:30:00,0.0
2022-09-13 06:45:00,0.0
2022-09-13 07:00:00,0.1113
2022-09-13 07:15:00,0.1113
2022-09-13 07:30:00,0.1116
2022-09-13 07:45:00,0.0
2022-09-13 08:00:00,0.0
2022-09-14 02:15:00,0.3173
2022-09-14 02:30:00,0.3173
2022-09-14 02:45:00,0.3173
2022-09-14 03:00:00,0.5532
2022-09-14 03:15:00,0.5532
2022-09-14 03:30:00,0.5532
2022-09-14 03:45:00,0.5532
2022-09-14 04:00:00,0.5532
2022-09-14 04:15:00,0.5532
2022-09-14 04:30:00,0.7778
2022-09-14 04:45:00,0.7778
2022-09-14 06:15:00,0.7778
2022-09-14 06:30:00,0.7778
2022-09-14 06:45:00,1.0
2022-09-14 07:00:00,1.0
2022-09-14 07:15:00,1.0
2022-09-14 07:30:00,1.0003
2022-09-14 07:45:00,0.0
2022-09-14 08:00:00,0.0
2022-09-15 02:15:00,-0.4286
2022-09-15 02:30:00,-0.4286
2022-09-15 02:45:00,-0.4286
2022-09-15 03:00:00,-0.4286
2022-09-15 03:15:00,-0.4286
2022-09-15 03:30:00,-0.6645
2022-09-15 03:45:00,-0.6645
2022-09-15 04:00:00,-1.0
2022-09-15 04:15:00,-1.0
2022-09-15 04:30:00,-1.0
2022-09-15 04:45:00,-1.0
2022-09-15 06:15:00,-1.0
2022-09-15 06:30:00,-1.0
2022-09-15 06:45:00,-1.0
2022-09-15 07:00:00,0.0
2022-09-15 07:15:00,0.0
2022-09-15 07:30:00,0.0
2022-09-15 07:45:00,0.0
2022-09-15 08:00:00,0.0
2022-09-16 02:15:00,0.2859
2022-09-16 02:30:00,0.2859
2022-09-16 02:45:00,-0.5714
2022-09-16 03:00:00,-0.3355
2022-09-16 03:15:00,-0.3355
2022-09-16 03:30:00,-0.3355
2022-09-16 03:45:00,-0.1109
2022-09-16 04:00:00,-0.2359
2022-09-16 04:15:00,-0.2359
2022-09-16 04:30:00,-0.5219
2022-09-16 04:45:00,-0.5219
2022-09-16 06:15:00,-0.5219
2022-09-16 06:30:00,-0.5219
2022-09-16 06:45:00,-0.5219
2022-09-16 07:00:00,-0.5219
2022-09-16 07:15:00,-0.8891
2022-09-16 07:30:00,-0.8812
2022-09-16 07:45:00,0.0
2022-09-16 08:00:00,0.0
2022-09-19 02:15:00,0.0
2022-09-19 02:30:00,-0.1109
2022-09-19 02:45:00,-0.3355
2022-09-19 03:00:00,-0.3355
2022-09-19 03:15:00,-0.3355
2022-09-19 03:30:00,-0.3355
2022-09-19 03:45:00,-0.3355
2022-09-19 04:00:00,-0.3355
2022-09-19 04:15:00,-0.1109
2022-09-19 04:30:00,0.0
2022-09-19 04:45:00,0.0
2022-09-19 06:15:00,0.0
2022-09-19 06:30:00,0.0
2022-09-19 06:45:00,0.8887
2022-09-19 07:00:00,0.8887
2022-09-19 07:15:00,0.8887
2022-09-19 07:30:00,0.8821
2022-09-19 07:45:00,0.0
2022-09-19 08:00:00,0.0
2022-09-20 02:15:00,0.0
2022-09-20 02:30:00,0.2246
2022-09-20 02:45:00,0.2246
2022-09-20 03:00:00,0.2246
2022-09-20 03:15:00,0.2246
2022-09-20 03:30:00,1.0
2022-09-20 03:45:00,1.0
2022-09-20 04:00:00,1.0
2022-09-20 04:15:00,1.0
2022-09-20 04:30:00,1.0
2022-09-20 04:45:00,1.0
2022-09-20 06:15:00,0.6827
2022-09-20 06:30:00,0.6827
2022-09-20 06:45:00,1.0
2022-09-20 07:00:00,1.0
2022-09-20 07:15:00,1.0
2022-09-20 07:30:00,1.0011
2022-09-20 07:45:00,0.0
2022-09-20 08:00:00,0.0
2022-09-21 02:15:00,0.0
2022-09-21 02:30:00,0.0
2022-09-21 02:45:00,0.0
2022-09-21 03:00:00,0.0
2022-09-21 03:15:00,0.0
2022-09-21 03:30:00,0.0
2022-09-21 03:45:00,0.0
2022-09-21 04:00:00,0.0
2022-09-21 04:15:00,-0.6645
2022-09-21 04:30:00,-0.8891
2022-09-21 04:45:00,-0.8891
2022-09-21 06:15:00,-0.8891
2022-09-21 06:30:00,-0.8891
2022-09-21 06:45:00,-0.8891
2022-09-21 07:00:00,-0.5532
2022-09-21 07:15:00,-0.5532
2022-09-21 07:30:00,-0.5527
2022-09-21 07:45:00,0.0
2022-09-21 08:00:00,0.0
2022-09-22 02:15:00,0.1113
2022-09-22 02:30:00,0.2859
2022-09-22 02:45:00,0.2859
2022-09-22 03:00:00,0.5219
2022-09-22 03:15:00,0.5219
2022-09-22 03:30:00,0.5219
2022-09-22 03:45:00,0.5219
2022-09-22 04:00:00,0.7465
2022-09-22 04:15:00,1.0
2022-09-22 04:30:00,1.0
2022-09-22 04:45:00,1.0
2022-09-22 06:15:00,1.0
2022-09-22 06:30:00,1.0
2022-09-22 06:45:00,1.0
2022-09-22 07:00:00,1.0
2022-09-22 07:15:00,1.0
2022-09-22 07:30:00,1.0011
2022-09-22 07:45:00,0.0
2022-09-22 08:00:00,0.0
2022-09-23 02:15:00,0.0
2022-09-23 02:30:00,-0.5219
2022-09-23 02:45:00,-0.7465
2022-09-23 03:00:00,-0.7465
2022-09-23 03:15:00,-0.7465
2022-09-23 03:30:00,-0.7465
2022-09-23 03:45:00,-0.8891
2022-09-23 04:00:00,-0.8891
2022-09-23 04:15:00,-0.8891
2022-09-23 04:30:00,-1.0
2022-09-23 04:45:00,-1.0
2022-09-23 06:15:00,-1.0
2022-09-23 06:30:00,-1.0
2022-09-23 06:45:00,-1.0
2022-09-23 07:00:00,-1.0
2022-09-23 07:15:00,-0.8887
2022-09-23 07:30:00,-0.8858
2022-09-23 07:45:00,0.0
2022-09-23 08:00:00,0.0
2022-09-26 02:15:00,0.0
2022-09-26 02:30:00,0.2859
2022-09-26 02:45:00,0.2859
2022-09-26 03:00:00,0.175
2022-09-26 03:15:00,0.175
2022-09-26 03:30:00,0.175
2022-09-26 03:45:00,-0.1109
2022-09-26 04:00:00,0.0
2022-09-26 04:15:00,0.0
2022-09-26 04:30:00,0.0
2022-09-26 04:45:00,0.0
2022-09-26 06:15:00,0.0
2022-09-26 06:30:00,-0.2859
2022-09-26 06:45:00,-0.5106
2022-09-26 07:00:00,-0.7465
2022-09-26 07:15:00,-0.7465
2022-09-26 07:30:00,-0.7519
2022-09-26 07:45:00,0.0
2022-09-26 08:00:00,0.0
2022-09-27 02:15:00,0.0
2022-09-27 02:30:00,-0.2359
2022-09-27 02:45:00,-0.2359
2022-09-27 03:00:00,-0.4605
2022-09-27 03:15:00,-0.4605
2022-09-27 03:30:00,-0.2246
2022-09-27 03:45:00,-0.2246
2022-09-27 04:00:00,-0.2246
2022-09-27 04:15:00,0.0
2022-09-27 04:30:00,0.0
2022-09-27 04:45:00,0.0
2022-09-27 06:15:00,0.0
2022-09-27 06:30:00,-0.2359
2022-09-27 06:45:00,0.0
2022-09-27 07:00:00,0.0
2022-09-27 07:15:00,-0.2359
2022-09-27 07:30:00,-0.2353
2022-09-27 07:45:00,0.0
2022-09-27 08:00:00,0.0
2022-09-28 02:15:00,0.3355
2022-09-28 02:30:00,0.3355
2022-09-28 02:45:00,-0.1137
2022-09-28 03:00:00,0.0
2022-09-28 03:15:00,0.6645
2022-09-28 03:30:00,0.6645
2022-09-28 03:45:00,0.6645
2022-09-28 04:00:00,0.6645
2022-09-28 04:15:00,0.6645
2022-09-28 04:30:00,0.6645
2022-09-28 04:45:00,0.6645
2022-09-28 06:15:00,0.8891
2022-09-28 06:30:00,0.8891
2022-09-28 06:45:00,0.8891
2022-09-28 07:00:00,0.8891
2022-09-28 07:15:00,0.8891
2022-09-28 07:30:00,0.8882
2022-09-28 07:45:00,0.0
2022-09-28 08:00:00,0.0
2022-09-29 02:15:00,-0.2859
2022-09-29 02:30:00,-0.2859
2022-09-29 02:45:00,-0.2859
2022-09-29 03:00:00,-0.2859
2022-09-29 03:15:00,-0.6645
2022-09-29 03:30:00,-0.6645
2022-09-29 03:45:00,-0.7754
2022-09-29 04:00:00,-0.7754
2022-09-29 04:15:00,-0.7754
2022-09-29 04:30:00,-1.0
2022-09-29 04:45:00,-1.0
2022-09-29 06:15:00,-1.0
2022-09-29 06:30:00,-1.0
2022-09-29 06:45:00,-1.0
2022-09-29 07:00:00,-1.0
2022-09-29 07:15:00,-1.0
2022-09-29 07:30:00,-0.9901
2022-09-29 07:45:00,0.0
2022-09-29 08:00:00,0.0
2022-09-30 02:15:00,0.1113
2022-09-30 02:30:00,0.1113
2022-09-30 02:45:00,0.1113
2022-09-30 03:00:00,0.1113
2022-09-30 03:15:00,0.6532
2022-09-30 03:30:00,0.8891
2022-09-30 03:45:00,0.8891
2022-09-30 04:00:00,0.8891
2022-09-30 04:15:00,0.8891
2022-09-30 04:30:00,0.5419
2022-09-30 04:45:00,0.306
2022-09-30 06:15:00,0.5419
2022-09-30 06:30:00,0.5419
2022-09-30 06:45:00,0.0
2022-09-30 07:00:00,0.0
2022-09-30 07:15:00,0.8887
2022-09-30 07:30:00,0.89
2022-09-30 07:45:00,0.0
2022-09-30 08:00:00,0.0
2022-10-03 02:15:00,0.3355
2022-10-03 02:30:00,0.3355
2022-10-03 02:45:00,0.3355
2022-10-03 03:00:00,-0.1747
2022-10-03 03:15:00,-0.1747
2022-10-03 03:30:00,-0.6645
2022-10-03 03:45:00,-0.6645
2022-10-03 04:00:00,-0.6645
2022-10-03 04:15:00,-0.8891
2022-10-03 04:30:00,-0.8891
2022-10-03 04:45:00,-0.8891
2022-10-03 06:15:00,-0.8891
2022-10-03 06:30:00,-0.8891
2022-10-03 06:45:00,-0.8891
2022-10-03 07:00:00,-0.8891
2022-10-03 07:15:00,-0.8891
2022-10-03 07:30:00,-0.886
2022-10-03 07:45:00,0.0
2022-10-03 08:00:00,0.0
2022-10-04 02:15:00,0.1113
2022-10-04 02:30:00,0.1113
2022-10-04 02:45:00,0.4286
2022-10-04 03:00:00,0.4286
2022-10-04 03:15:00,0.4286
2022-10-04 03:30:00,0.1113
2022-10-04 03:45:00,0.1113
2022-10-04 04:00:00,0.0
2022-10-04 04:15:00,0.0
2022-10-04 04:30:00,0.5714
2022-10-04 04:45:00,0.5714
2022-10-04 06:15:00,0.5714
2022-10-04 06:30:00,0.3355
2022-10-04 06:45:00,0.3355
2022-10-04 07:00:00,0.3355
2022-10-04 07:15:00,-0.125
2022-10-04 07:30:00,-0.1235
2022-10-04 07:45:00,0.0
2022-10-04 08:00:00,0.0
2022-10-05 02:15:00,-0.2359
2022-10-05 02:30:00,-0.2246
2022-10-05 02:45:00,0.0
2022-10-05 03:00:00,-0.1113
2022-10-05 03:15:00,-0.5718
2022-10-05 03:30:00,0.1134
2022-10-05 03:45:00,0.5718
2022-10-05 04:00:00,1.0
2022-10-05 04:15:00,1.0
2022-10-05 04:30:00,1.0
2022-10-05 04:45:00,1.0
2022-10-05 06:15:00,1.0
2022-10-05 06:30:00,1.0
2022-10-05 06:45:00,1.0
2022-10-05 07:00:00,1.0
2022-10-05 07:15:00,1.0
2022-10-05 07:30:00,0.9905
2022-10-05 07:45:00,0.0
2022-10-05 08:00:00,0.0
2022-10-06 02:15:00,0.0
2022-10-06 02:30:00,-0.1113
2022-10-06 02:45:00,-0.1113
2022-10-06 03:00:00,-0.1113
2022-10-06 03:15:00,-0.1113
2022-10-06 03:30:00,-0.3359
2022-10-06 03:45:00,-0.3359
2022-10-06 04:00:00,-0.4605
2022-10-06 04:15:00,-0.4605
2022-10-06 04:30:00,-0.5714
2022-10-06 04:45:00,-0.5714
2022-10-06 06:15:00,-0.5714
2022-10-06 06:30:00,-0.5714
2022-10-06 06:45:00,-0.5714
2022-10-06 07:00:00,-0.6827
2022-10-06 07:15:00,-1.0
2022-10-06 07:30:00,-0.9966
2022-10-06 07:45:00,0.0
2022-10-06 08:00:00,0.0
2022-10-07 02:15:00,0.1747
2022-10-07 02:30:00,0.1747
2022-10-07 02:45:00,0.0
2022-10-07 03:00:00,0.0
2022-10-07 03:15:00,0.8891
2022-10-07 03:30:00,0.8891
2022-10-07 03:45:00,0.8891
2022-10-07 04:00:00,0.8891
2022-10-07 04:15:00,0.8891
2022-10-07 04:30:00,0.8891
2022-10-07 04:45:00,0.8891
2022-10-07 06:15:00,0.8891
2022-10-07 06:30:00,0.8891
2022-10-07 06:45:00,0.8891
2022-10-07 07:00:00,0.1113
2022-10-07 07:15:00,0.1113
2022-10-07 07:30:00,0.1098
2022-10-07 07:45:00,0.0
2022-10-07 08:00:00,0.0
2022-10-10 02:15:00,0.5714
2022-10-10 02:30:00,0.5714
2022-10-10 02:45:00,0.5714
2022-10-10 03:00:00,0.3355
2022-10-10 03:15:00,0.3355
2022-10-10 03:30:00,0.3355
2022-10-10 03:45:00,0.1109
2022-10-10 04:00:00,0.0
2022-10-10 04:15:00,0.6645
2022-10-10 04:30:00,0.6645
2022-10-10 04:45:00,0.6645
2022-10-10 06:15:00,0.6645
2022-10-10 06:30:00,0.6645
2022-10-10 06:45:00,0.6645
2022-10-10 07:00:00,0.5532
2022-10-10 07:15:00,0.5532
2022-10-10 07:30:00,0.5498
2022-10-10 07:45:00,0.0
2022-10-10 08:00:00,0.0
2022-10-11 02:15:00,-0.2246
2022-10-11 02:30:00,-0.3359
2022-10-11 02:45:00,-0.3359
2022-10-11 03:00:00,-0.3359
2022-10-11 03:15:00,-0.3359
2022-10-11 03:30:00,-0.3359
2022-10-11 03:45:00,-0.3359
2022-10-11 04:00:00,-1.0
2022-10-11 04:15:00,-1.0
2022-10-11 04:30:00,-1.0
2022-10-11 04:45:00,-1.0
2022-10-11 06:15:00,-1.0
2022-10-11 06:30:00,-0.8887
