Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:25:00,0.0
2022-09-05 02:30:00,0.0
2022-09-05 02:35:00,0.0
2022-09-05 02:40:00,0.2088
2022-09-05 02:45:00,0.2088
2022-09-05 02:50:00,0.2089
2022-09-05 02:55:00,0.2089
2022-09-05 03:00:00,0.209
2022-09-05 03:05:00,0.2089
2022-09-05 03:10:00,0.2089
2022-09-05 03:15:00,0.2089
2022-09-05 03:20:00,0.2089
2022-09-05 03:25:00,0.209
2022-09-05 03:30:00,0.2092
2022-09-05 03:35:00,0.2093
2022-09-05 03:40:00,0.2093
2022-09-05 03:45:00,0.2092
2022-09-05 03:50:00,0.2093
2022-09-05 03:55:00,0.2094
2022-09-05 04:00:00,0.2086
2022-09-05 04:05:00,0.2085
2022-09-05 04:10:00,0.2084
2022-09-05 04:15:00,0.0
2022-09-05 04:20:00,0.0
2022-09-05 04:25:00,0.0
2022-09-05 04:30:00,-0.4654
2022-09-05 04:35:00,-0.4654
2022-09-05 06:05:00,-0.4652
2022-09-05 06:10:00,-0.4651
2022-09-05 06:15:00,-0.4656
2022-09-05 06:20:00,-0.6742
2022-09-05 06:25:00,-0.6742
2022-09-05 06:30:00,-0.675
2022-09-05 06:35:00,-0.675
2022-09-05 06:40:00,-0.6746
2022-09-05 06:45:00,-0.6726
2022-09-05 06:50:00,-0.6732
2022-09-05 06:55:00,-0.6731
2022-09-05 07:00:00,-0.6724
2022-09-05 07:05:00,-0.6753
2022-09-05 07:10:00,-0.675
2022-09-05 07:15:00,-0.6758
2022-09-05 07:20:00,0.0
2022-09-05 07:25:00,0.0
2022-09-05 07:30:00,0.0
2022-09-05 07:35:00,0.0
2022-09-05 07:50:00,0.0
2022-09-06 02:05:00,0.0
2022-09-06 02:10:00,0.0
2022-09-06 02:15:00,0.0
2022-09-06 02:20:00,0.0
2022-09-06 02:25:00,0.0
2022-09-06 02:30:00,0.0
2022-09-06 02:35:00,0.0
2022-09-06 02:40:00,0.0
2022-09-06 02:45:00,0.0
2022-09-06 02:50:00,0.0
2022-09-06 02:55:00,0.0
2022-09-06 03:00:00,0.0
2022-09-06 03:05:00,0.0
2022-09-06 03:10:00,0.0
2022-09-06 03:15:00,0.0
2022-09-06 03:20:00,0.0
2022-09-06 03:25:00,0.0
2022-09-06 03:30:00,0.0
2022-09-06 03:35:00,0.0
2022-09-06 03:40:00,0.0
2022-09-06 03:45:00,0.0
2022-09-06 03:50:00,0.2088
2022-09-06 03:55:00,0.2089
2022-09-06 04:00:00,0.6741
2022-09-06 04:05:00,0.6743
2022-09-06 04:10:00,0.6741
2022-09-06 04:15:00,0.6743
2022-09-06 04:20:00,0.6736
2022-09-06 04:25:00,0.6743
2022-09-06 04:30:00,0.6745
2022-09-06 04:35:00,0.6746
2022-09-06 06:05:00,0.674
2022-09-06 06:10:00,0.674
2022-09-06 06:15:00,0.6739
2022-09-06 06:20:00,0.6725
2022-09-06 06:25:00,0.6727
2022-09-06 06:30:00,0.6729
2022-09-06 06:35:00,0.6728
2022-09-06 06:40:00,0.6727
2022-09-06 06:45:00,0.6738
2022-09-06 06:50:00,0.6733
2022-09-06 06:55:00,0.6738
2022-09-06 07:00:00,0.6752
2022-09-06 07:05:00,0.6751
2022-09-06 07:10:00,0.6743
2022-09-06 07:15:00,0.6732
2022-09-06 07:20:00,0.6735
2022-09-06 07:25:00,0.674
2022-09-06 07:30:00,0.6736
2022-09-06 07:35:00,0.6733
2022-09-06 07:50:00,0.6725
2022-09-07 02:05:00,0.0
2022-09-07 02:10:00,0.0
2022-09-07 02:15:00,0.0
2022-09-07 02:20:00,0.0
2022-09-07 02:25:00,0.0
2022-09-07 02:30:00,0.0
2022-09-07 02:35:00,0.0
2022-09-07 02:40:00,0.0
2022-09-07 02:45:00,0.0
2022-09-07 02:50:00,0.0
2022-09-07 02:55:00,0.0
2022-09-07 03:00:00,0.0
2022-09-07 03:05:00,0.0
2022-09-07 03:10:00,0.0
2022-09-07 03:15:00,0.0
2022-09-07 03:20:00,-0.6742
2022-09-07 03:25:00,-0.6741
2022-09-07 03:30:00,-0.6741
2022-09-07 03:35:00,-0.6746
2022-09-07 03:40:00,-0.6751
2022-09-07 03:45:00,-0.6752
2022-09-07 03:50:00,-0.675
2022-09-07 03:55:00,-0.6749
2022-09-07 04:00:00,-1.0012
2022-09-07 04:05:00,-1.0011
2022-09-07 04:10:00,-1.0
2022-09-07 04:15:00,-0.9994
2022-09-07 04:20:00,-1.0
2022-09-07 04:25:00,-1.0
2022-09-07 04:30:00,-1.0004
2022-09-07 04:35:00,-1.0002
2022-09-07 06:05:00,-1.0011
2022-09-07 06:10:00,-1.001
2022-09-07 06:15:00,-1.0014
2022-09-07 06:20:00,-1.0009
2022-09-07 06:25:00,-1.0011
2022-09-07 06:30:00,-1.0018
2022-09-07 06:35:00,-1.0019
2022-09-07 06:40:00,-1.0003
2022-09-07 06:45:00,-0.9996
2022-09-07 06:50:00,-1.0
2022-09-07 06:55:00,-0.9997
2022-09-07 07:00:00,-0.9965
2022-09-07 07:05:00,-0.9951
2022-09-07 07:10:00,-0.997
2022-09-07 07:15:00,-0.9971
2022-09-07 07:20:00,-0.9951
2022-09-07 07:25:00,-0.9926
2022-09-07 07:30:00,-0.9902
2022-09-07 07:35:00,-0.9904
2022-09-07 07:50:00,-0.9863
2022-09-08 02:05:00,-0.9909
2022-09-08 02:10:00,-0.9912
2022-09-08 02:15:00,-0.9915
2022-09-08 02:20:00,-0.9908
2022-09-08 02:25:00,-0.9907
2022-09-08 02:30:00,-0.9905
2022-09-08 02:35:00,-0.9904
2022-09-08 02:40:00,-0.9901
2022-09-08 02:45:00,-0.9894
2022-09-08 02:50:00,-0.9891
2022-09-08 02:55:00,-0.988
2022-09-08 03:00:00,-0.9891
2022-09-08 03:05:00,-0.9893
2022-09-08 03:10:00,-0.9887
2022-09-08 03:15:00,-0.989
2022-09-08 03:20:00,-0.9894
2022-09-08 03:25:00,-0.9881
2022-09-08 03:30:00,-0.989
2022-09-08 03:35:00,-0.9893
2022-09-08 03:40:00,-0.9879
2022-09-08 03:45:00,-0.9868
2022-09-08 03:50:00,-0.9856
2022-09-08 03:55:00,-0.9869
