Date,VN30F1M
2022-09-05 02:10:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:30:00,0.0
2022-09-05 02:40:00,0.0
2022-09-05 02:50:00,-0.4674
2022-09-05 03:00:00,-0.4674
2022-09-05 03:10:00,-1.0
2022-09-05 03:20:00,-1.0
2022-09-05 03:30:00,-1.0
2022-09-05 03:40:00,-1.0
2022-09-05 03:50:00,-1.0
2022-09-05 04:00:00,-1.0
2022-09-05 04:10:00,-1.0
2022-09-05 04:20:00,-1.0
2022-09-05 04:30:00,-1.0
2022-09-05 04:40:00,-1.0
2022-09-05 06:10:00,-1.0
2022-09-05 06:20:00,-1.0
2022-09-05 06:30:00,-1.0
2022-09-05 06:40:00,-1.0
2022-09-05 06:50:00,-1.0
2022-09-05 07:00:00,-1.0
2022-09-05 07:10:00,-1.0
2022-09-05 07:20:00,-1.0
2022-09-05 07:30:00,-1.0
2022-09-05 07:40:00,-1.0
2022-09-05 07:50:00,-1.0
2022-09-06 02:10:00,-1.0
2022-09-06 02:20:00,-1.0
2022-09-06 02:30:00,-1.0
2022-09-06 02:40:00,-1.0
2022-09-06 02:50:00,-1.0
2022-09-06 03:00:00,-1.0
2022-09-06 03:10:00,-1.0
2022-09-06 03:20:00,-1.0
2022-09-06 03:30:00,-1.0
2022-09-06 03:40:00,-1.0
2022-09-06 03:50:00,-1.0
2022-09-06 04:00:00,-1.0
2022-09-06 04:10:00,-1.0
2022-09-06 04:20:00,-1.0
2022-09-06 04:30:00,-1.0
2022-09-06 04:40:00,-1.0
2022-09-06 06:10:00,-1.0
2022-09-06 06:20:00,-1.0
2022-09-06 06:30:00,-1.0
2022-09-06 06:40:00,-1.0
2022-09-06 06:50:00,-1.0
2022-09-06 07:00:00,-1.0
2022-09-06 07:10:00,-1.0
2022-09-06 07:20:00,-1.0
2022-09-06 07:30:00,-1.0
2022-09-06 07:40:00,-1.0
2022-09-06 07:50:00,-1.0
2022-09-07 02:10:00,-1.0
2022-09-07 02:20:00,-1.0
2022-09-07 02:30:00,-1.0
2022-09-07 02:40:00,-1.0
2022-09-07 02:50:00,-1.0
2022-09-07 03:00:00,-1.0
2022-09-07 03:10:00,-1.0
2022-09-07 03:20:00,-1.0
2022-09-07 03:30:00,-1.0
2022-09-07 03:40:00,-1.0
2022-09-07 03:50:00,-1.0
2022-09-07 04:00:00,-1.0
2022-09-07 04:10:00,-1.0
2022-09-07 04:20:00,-1.0
2022-09-07 04:30:00,-1.0
2022-09-07 04:40:00,-1.0
2022-09-07 06:10:00,-1.0
2022-09-07 06:20:00,-1.0
2022-09-07 06:30:00,-1.0
2022-09-07 06:40:00,-1.0
2022-09-07 06:50:00,-1.0
2022-09-07 07:00:00,-1.0
2022-09-07 07:10:00,-1.0
2022-09-07 07:20:00,-1.0
2022-09-07 07:30:00,-1.0
2022-09-07 07:40:00,-1.0
2022-09-07 07:50:00,-1.0
2022-09-08 02:10:00,-1.0
2022-09-08 02:20:00,-1.0
2022-09-08 02:30:00,-1.0
2022-09-08 02:40:00,-1.0
2022-09-08 02:50:00,-1.0
2022-09-08 03:00:00,-1.0
2022-09-08 03:10:00,-1.0
2022-09-08 03:20:00,-1.0
2022-09-08 03:30:00,-1.0
2022-09-08 03:40:00,-1.0
2022-09-08 03:50:00,-1.0
2022-09-08 04:00:00,-1.0
2022-09-08 04:10:00,-1.0
2022-09-08 04:20:00,-1.0
2022-09-08 04:30:00,-1.0
2022-09-08 04:40:00,-1.0
2022-09-08 06:10:00,-1.0
2022-09-08 06:20:00,-1.0
2022-09-08 06:30:00,-1.0
2022-09-08 06:40:00,-1.0
2022-09-08 06:50:00,-1.0
2022-09-08 07:00:00,-1.0
2022-09-08 07:10:00,-1.0
2022-09-08 07:20:00,-1.0
2022-09-08 07:30:00,-1.0
2022-09-08 07:40:00,-1.0
2022-09-08 07:50:00,-1.0
2022-09-09 02:10:00,-1.0
2022-09-09 02:20:00,-1.0
2022-09-09 02:30:00,-1.0
2022-09-09 02:40:00,-1.0
2022-09-09 02:50:00,-1.0
2022-09-09 03:00:00,-1.0
2022-09-09 03:10:00,-1.0
2022-09-09 03:20:00,-1.0
2022-09-09 03:30:00,-1.0
