Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:25:00,0.0
2022-09-05 02:30:00,0.0
2022-09-05 02:35:00,0.0
2022-09-05 02:40:00,0.0
2022-09-05 02:45:00,0.0
2022-09-05 02:50:00,0.0
2022-09-05 02:55:00,0.0
2022-09-05 03:00:00,0.0
2022-09-05 03:05:00,0.0
2022-09-05 03:10:00,0.0
2022-09-05 03:15:00,0.032
2022-09-05 03:20:00,0.032
2022-09-05 03:25:00,0.761
2022-09-05 03:30:00,0.7619
2022-09-05 03:35:00,0.7621
2022-09-05 03:40:00,0.7622
2022-09-05 03:45:00,0.762
2022-09-05 03:50:00,0.7623
2022-09-05 03:55:00,0.7627
2022-09-05 04:00:00,0.0
2022-09-05 04:05:00,0.0
2022-09-05 04:10:00,0.0
2022-09-05 04:15:00,0.0
2022-09-05 04:20:00,0.0
2022-09-05 04:25:00,0.0
2022-09-05 04:30:00,0.0
2022-09-05 04:35:00,0.0
2022-09-05 06:05:00,0.0
2022-09-05 06:10:00,0.0
2022-09-05 06:15:00,0.0
2022-09-05 06:20:00,0.0
2022-09-05 06:25:00,0.0
2022-09-05 06:30:00,0.0
2022-09-05 06:35:00,0.0
2022-09-05 06:40:00,0.0
2022-09-05 06:45:00,0.0
2022-09-05 06:50:00,0.0
2022-09-05 06:55:00,0.0
2022-09-05 07:00:00,0.0
2022-09-05 07:05:00,0.0
2022-09-05 07:10:00,0.0
2022-09-05 07:15:00,0.0
2022-09-05 07:20:00,0.5965
2022-09-05 07:25:00,0.5954
2022-09-05 07:30:00,0.5943
2022-09-05 07:35:00,0.2596
2022-09-05 07:50:00,0.0
2022-09-06 02:05:00,0.0
2022-09-06 02:10:00,0.0
2022-09-06 02:15:00,0.0
2022-09-06 02:20:00,0.0
2022-09-06 02:25:00,0.2132
2022-09-06 02:30:00,0.5584
2022-09-06 02:35:00,0.7052
2022-09-06 02:40:00,0.8218
2022-09-06 02:45:00,0.8216
2022-09-06 02:50:00,0.8223
2022-09-06 02:55:00,0.8223
2022-09-06 03:00:00,0.8216
2022-09-06 03:05:00,0.5571
2022-09-06 03:10:00,0.5573
2022-09-06 03:15:00,0.5572
2022-09-06 03:20:00,0.4129
2022-09-06 03:25:00,0.1925
2022-09-06 03:30:00,0.1927
2022-09-06 03:35:00,0.1926
2022-09-06 03:40:00,0.1928
2022-09-06 03:45:00,0.1929
2022-09-06 03:50:00,0.193
2022-09-06 03:55:00,0.1931
2022-09-06 04:00:00,0.6412
2022-09-06 04:05:00,0.7418
2022-09-06 04:10:00,0.7416
2022-09-06 04:15:00,0.7418
2022-09-06 04:20:00,0.741
2022-09-06 04:25:00,0.7418
2022-09-06 04:30:00,0.742
2022-09-06 04:35:00,0.7421
2022-09-06 06:05:00,0.6932
2022-09-06 06:10:00,0.6687
2022-09-06 06:15:00,0.5744
2022-09-06 06:20:00,0.0
2022-09-06 06:25:00,0.0
2022-09-06 06:30:00,0.0
2022-09-06 06:35:00,0.0
2022-09-06 06:40:00,0.0
2022-09-06 06:45:00,0.0
2022-09-06 06:50:00,0.0
2022-09-06 06:55:00,0.0
2022-09-06 07:00:00,0.0
2022-09-06 07:05:00,0.0
2022-09-06 07:10:00,0.0
2022-09-06 07:15:00,-0.3005
2022-09-06 07:20:00,-0.3007
2022-09-06 07:25:00,-0.3009
2022-09-06 07:30:00,-0.3007
2022-09-06 07:35:00,-0.3006
2022-09-06 07:50:00,-0.3002
2022-09-07 02:05:00,-0.2988
2022-09-07 02:10:00,-0.2988
2022-09-07 02:15:00,-0.2988
2022-09-07 02:20:00,-0.2989
2022-09-07 02:25:00,-0.2988
2022-09-07 02:30:00,-0.299
2022-09-07 02:35:00,-0.299
2022-09-07 02:40:00,-0.2992
2022-09-07 02:45:00,-0.299
2022-09-07 02:50:00,-0.2988
2022-09-07 02:55:00,-0.2988
2022-09-07 03:00:00,-0.2988
2022-09-07 03:05:00,-0.2989
2022-09-07 03:10:00,-0.2984
2022-09-07 03:15:00,-0.2983
2022-09-07 03:20:00,-0.2983
2022-09-07 03:25:00,-0.2982
2022-09-07 03:30:00,-0.2982
2022-09-07 03:35:00,-0.2985
2022-09-07 03:40:00,-0.2987
2022-09-07 03:45:00,-0.2988
2022-09-07 03:50:00,-0.2986
2022-09-07 03:55:00,-0.2986
2022-09-07 04:00:00,0.1973
2022-09-07 04:05:00,0.1973
2022-09-07 04:10:00,0.0
2022-09-07 04:15:00,0.0
2022-09-07 04:20:00,0.0
2022-09-07 04:25:00,0.0
2022-09-07 04:30:00,0.0
2022-09-07 04:35:00,0.0
2022-09-07 06:05:00,0.0
2022-09-07 06:10:00,0.0
2022-09-07 06:15:00,0.0
2022-09-07 06:20:00,0.0
2022-09-07 06:25:00,0.0
2022-09-07 06:30:00,0.7269
2022-09-07 06:35:00,0.727
2022-09-07 06:40:00,-0.1388
2022-09-07 06:45:00,-0.534
2022-09-07 06:50:00,-0.6113
2022-09-07 06:55:00,-0.6955
2022-09-07 07:00:00,-0.922
2022-09-07 07:05:00,-0.9207
2022-09-07 07:10:00,-0.9225
2022-09-07 07:15:00,-0.9226
2022-09-07 07:20:00,-0.9207
2022-09-07 07:25:00,-0.9184
2022-09-07 07:30:00,-0.9162
2022-09-07 07:35:00,-0.9163
2022-09-07 07:50:00,-0.9126
2022-09-08 02:05:00,-0.9169
2022-09-08 02:10:00,-0.9171
2022-09-08 02:15:00,-0.9174
2022-09-08 02:20:00,-0.9168
2022-09-08 02:25:00,-0.9166
2022-09-08 02:30:00,-0.9165
2022-09-08 02:35:00,-0.9164
2022-09-08 02:40:00,-0.9161
2022-09-08 02:45:00,-0.9154
2022-09-08 02:50:00,-0.9152
2022-09-08 02:55:00,-0.9142
2022-09-08 03:00:00,-0.9152
2022-09-08 03:05:00,-0.9153
2022-09-08 03:10:00,-0.9148
2022-09-08 03:15:00,-0.915
2022-09-08 03:20:00,-0.8717
2022-09-08 03:25:00,-0.8706
2022-09-08 03:30:00,-0.8714
2022-09-08 03:35:00,-0.7978
2022-09-08 03:40:00,-0.9911
2022-09-08 03:45:00,-0.99
2022-09-08 03:50:00,-0.9888
2022-09-08 03:55:00,-0.9901
2022-09-08 04:00:00,-0.9911
