Date,VN30F1M
2022-09-05 02:10:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:30:00,0.0
2022-09-05 02:40:00,0.0
2022-09-05 02:50:00,0.0
2022-09-05 03:00:00,0.1525
2022-09-05 03:10:00,-0.169
2022-09-05 03:20:00,-0.169
2022-09-05 03:30:00,-0.1693
2022-09-05 03:40:00,-0.1693
2022-09-05 03:50:00,-0.1694
2022-09-05 04:00:00,-0.3209
2022-09-05 04:10:00,-0.9993
2022-09-05 04:20:00,-0.9973
2022-09-05 04:30:00,-0.996
2022-09-05 04:40:00,-0.996
2022-09-05 06:10:00,-0.9954
2022-09-05 06:20:00,-0.996
2022-09-05 06:30:00,-0.9972
2022-09-05 06:40:00,-0.9965
2022-09-05 06:50:00,-0.9945
2022-09-05 07:00:00,-0.9933
2022-09-05 07:10:00,-0.9972
2022-09-05 07:20:00,-1.0008
2022-09-05 07:30:00,-0.997
2022-09-05 07:40:00,-0.997
2022-09-05 07:50:00,-0.9953
2022-09-06 02:10:00,-0.997
2022-09-06 02:20:00,-0.6938
2022-09-06 02:30:00,0.0268
2022-09-06 02:40:00,0.9215
2022-09-06 02:50:00,1.0007
2022-09-06 03:00:00,0.9999
2022-09-06 03:10:00,0.9996
2022-09-06 03:20:00,0.9994
2022-09-06 03:30:00,1.0002
2022-09-06 03:40:00,1.0008
2022-09-06 03:50:00,1.0022
2022-09-06 04:00:00,1.0018
2022-09-06 04:10:00,1.0017
2022-09-06 04:20:00,1.0009
2022-09-06 04:30:00,1.0023
2022-09-06 04:40:00,1.0025
2022-09-06 06:10:00,1.0015
2022-09-06 06:20:00,0.3566
2022-09-06 06:30:00,-0.3216
2022-09-06 06:40:00,-0.3215
2022-09-06 06:50:00,-0.7692
2022-09-06 07:00:00,-0.7714
2022-09-06 07:10:00,-0.7704
2022-09-06 07:20:00,-0.8482
2022-09-06 07:30:00,-0.8482
2022-09-06 07:40:00,-0.8479
2022-09-06 07:50:00,-0.8469
2022-09-07 02:10:00,-0.9955
2022-09-07 02:20:00,-0.9956
2022-09-07 02:30:00,-0.9959
2022-09-07 02:40:00,-0.9966
2022-09-07 02:50:00,-0.9954
2022-09-07 03:00:00,-0.9953
2022-09-07 03:10:00,-0.9939
2022-09-07 03:20:00,-0.9937
2022-09-07 03:30:00,-0.9935
2022-09-07 03:40:00,-0.9951
2022-09-07 03:50:00,-0.9948
2022-09-07 04:00:00,-0.9955
2022-09-07 04:10:00,-0.9943
2022-09-07 04:20:00,-0.9944
2022-09-07 04:30:00,-0.8424
2022-09-07 04:40:00,-0.8422
2022-09-07 06:10:00,-0.2015
2022-09-07 06:20:00,0.5381
2022-09-07 06:30:00,0.7695
2022-09-07 06:40:00,0.847
2022-09-07 06:50:00,0.8467
2022-09-07 07:00:00,0.2459
2022-09-07 07:10:00,-0.9214
2022-09-07 07:20:00,-0.9196
2022-09-07 07:30:00,-0.9151
2022-09-07 07:40:00,-0.9153
2022-09-07 07:50:00,-0.9115
2022-09-08 02:10:00,-0.9161
2022-09-08 02:20:00,-0.9157
2022-09-08 02:30:00,-0.9154
2022-09-08 02:40:00,-0.9151
2022-09-08 02:50:00,-0.9928
2022-09-08 03:00:00,-0.9928
2022-09-08 03:10:00,-0.9923
2022-09-08 03:20:00,-0.993
2022-09-08 03:30:00,-0.9926
2022-09-08 03:40:00,-0.9915
2022-09-08 03:50:00,-0.9893
2022-09-08 04:00:00,-0.9916
2022-09-08 04:10:00,-0.9141
2022-09-08 04:20:00,-0.1516
2022-09-08 04:30:00,0.1698
2022-09-08 04:40:00,1.0
2022-09-08 06:10:00,0.9973
2022-09-08 06:20:00,0.9996
2022-09-08 06:30:00,0.9994
2022-09-08 06:40:00,1.0008
2022-09-08 06:50:00,1.0033
2022-09-08 07:00:00,1.0003
2022-09-08 07:10:00,0.9988
2022-09-08 07:20:00,0.9998
2022-09-08 07:30:00,0.9957
2022-09-08 07:40:00,0.9954
2022-09-08 07:50:00,0.995
2022-09-09 02:10:00,0.6775
2022-09-09 02:20:00,0.6782
2022-09-09 02:30:00,0.6779
2022-09-09 02:40:00,0.6781
2022-09-09 02:50:00,0.5994
2022-09-09 03:00:00,0.5998
