Date,VN30F1M
2022-09-05 02:05:00,0.1794
2022-09-05 02:10:00,0.1794
2022-09-05 02:15:00,0.1793
2022-09-05 02:20:00,0.1795
2022-09-05 02:25:00,0.1794
2022-09-05 02:30:00,0.1793
2022-09-05 02:35:00,0.3447
2022-09-05 02:40:00,0.3448
2022-09-05 02:45:00,0.3448
2022-09-05 02:50:00,0.3282
2022-09-05 02:55:00,0.3282
2022-09-05 03:00:00,0.3283
2022-09-05 03:05:00,0.411
2022-09-05 03:10:00,0.411
2022-09-05 03:15:00,0.4109
2022-09-05 03:20:00,0.4109
2022-09-05 03:25:00,0.4111
2022-09-05 03:30:00,0.4116
2022-09-05 03:35:00,0.4117
2022-09-05 03:40:00,0.4118
2022-09-05 03:45:00,0.4117
2022-09-05 03:50:00,0.5079
2022-09-05 03:55:00,0.5081
2022-09-05 04:00:00,0.506
2022-09-05 04:05:00,0.0
2022-09-05 04:10:00,0.0
2022-09-05 04:15:00,0.0
2022-09-05 04:20:00,-0.2457
2022-09-05 04:25:00,-0.2453
2022-09-05 04:30:00,-0.2454
2022-09-05 04:35:00,-0.4251
2022-09-05 06:05:00,-0.425
2022-09-05 06:10:00,-0.4249
2022-09-05 06:15:00,-0.4254
2022-09-05 06:20:00,-0.4252
2022-09-05 06:25:00,-0.4252
2022-09-05 06:30:00,-0.4257
2022-09-05 06:35:00,-0.4257
2022-09-05 06:40:00,-0.4254
2022-09-05 06:45:00,-0.4242
2022-09-05 06:50:00,-0.6718
2022-09-05 06:55:00,-0.6717
2022-09-05 07:00:00,-0.6711
2022-09-05 07:05:00,-0.2465
2022-09-05 07:10:00,-0.2464
2022-09-05 07:15:00,-0.2467
2022-09-05 07:20:00,0.0
2022-09-05 07:25:00,0.0
2022-09-05 07:30:00,0.0
2022-09-05 07:35:00,0.0
2022-09-05 07:50:00,0.0
2022-09-06 02:05:00,0.0
2022-09-06 02:10:00,0.0
2022-09-06 02:15:00,0.0
2022-09-06 02:20:00,0.0
2022-09-06 02:25:00,0.0
2022-09-06 02:30:00,0.0
2022-09-06 02:35:00,0.0
2022-09-06 02:40:00,0.0
2022-09-06 02:45:00,0.0
2022-09-06 02:50:00,0.0
2022-09-06 02:55:00,0.0
2022-09-06 03:00:00,0.0
2022-09-06 03:05:00,-0.1629
2022-09-06 03:10:00,-0.1629
2022-09-06 03:15:00,-0.1629
2022-09-06 03:20:00,-0.1629
2022-09-06 03:25:00,-0.1629
2022-09-06 03:30:00,-0.163
2022-09-06 03:35:00,0.0
2022-09-06 03:40:00,0.0
2022-09-06 03:45:00,0.0
2022-09-06 03:50:00,0.2457
2022-09-06 03:55:00,0.2458
2022-09-06 04:00:00,0.2456
2022-09-06 04:05:00,0.2457
2022-09-06 04:10:00,0.2456
2022-09-06 04:15:00,0.2457
2022-09-06 04:20:00,0.4248
2022-09-06 04:25:00,0.4253
2022-09-06 04:30:00,0.4254
2022-09-06 04:35:00,0.4255
2022-09-06 06:05:00,0.2456
2022-09-06 06:10:00,0.2456
2022-09-06 06:15:00,0.2456
2022-09-06 06:20:00,0.0
2022-09-06 06:25:00,0.0
2022-09-06 06:30:00,0.0
2022-09-06 06:35:00,0.4251
2022-09-06 06:40:00,0.4251
2022-09-06 06:45:00,0.4258
2022-09-06 06:50:00,0.0
2022-09-06 06:55:00,0.0
2022-09-06 07:00:00,0.0
2022-09-06 07:05:00,0.1794
2022-09-06 07:10:00,0.1792
2022-09-06 07:15:00,0.1789
2022-09-06 07:20:00,0.0
2022-09-06 07:25:00,0.0
2022-09-06 07:30:00,0.0
2022-09-06 07:35:00,0.0
2022-09-06 07:50:00,0.0
2022-09-07 02:05:00,-0.4251
2022-09-07 02:10:00,-0.4252
2022-09-07 02:15:00,-0.4251
2022-09-07 02:20:00,-0.4252
2022-09-07 02:25:00,-0.4251
2022-09-07 02:30:00,-0.4253
2022-09-07 02:35:00,-0.4251
2022-09-07 02:40:00,-0.4254
2022-09-07 02:45:00,-0.4251
2022-09-07 02:50:00,-0.4249
2022-09-07 02:55:00,-0.4248
2022-09-07 03:00:00,-0.4248
2022-09-07 03:05:00,-0.8346
2022-09-07 03:10:00,-0.8331
2022-09-07 03:15:00,-0.833
2022-09-07 03:20:00,-0.8371
2022-09-07 03:25:00,-0.837
2022-09-07 03:30:00,-0.837
2022-09-07 03:35:00,-0.5905
2022-09-07 03:40:00,-0.591
2022-09-07 03:45:00,-0.5911
2022-09-07 03:50:00,-0.658
2022-09-07 03:55:00,-0.6579
2022-09-07 04:00:00,-0.6584
2022-09-07 04:05:00,0.0
2022-09-07 04:10:00,0.0
2022-09-07 04:15:00,0.0
2022-09-07 04:20:00,-0.411
2022-09-07 04:25:00,-0.411
2022-09-07 04:30:00,-0.4112
2022-09-07 04:35:00,-0.5076
2022-09-07 06:05:00,0.0
2022-09-07 06:10:00,0.0
2022-09-07 06:15:00,0.0
2022-09-07 06:20:00,-0.2467
2022-09-07 06:25:00,-0.2468
2022-09-07 06:30:00,-0.247
2022-09-07 06:35:00,0.0
2022-09-07 06:40:00,0.0
2022-09-07 06:45:00,0.0
2022-09-07 06:50:00,-0.5739
2022-09-07 06:55:00,-0.5737
2022-09-07 07:00:00,-0.5719
2022-09-07 07:05:00,-0.8194
2022-09-07 07:10:00,-0.8209
2022-09-07 07:15:00,-0.821
2022-09-07 07:20:00,-0.5726
2022-09-07 07:25:00,-0.5712
2022-09-07 07:30:00,-0.5699
2022-09-07 07:35:00,-0.5699
2022-09-07 07:50:00,-0.5676
2022-09-08 02:05:00,0.0
2022-09-08 02:10:00,0.0
2022-09-08 02:15:00,0.0
2022-09-08 02:20:00,0.0
2022-09-08 02:25:00,0.0
2022-09-08 02:30:00,0.0
2022-09-08 02:35:00,0.0
2022-09-08 02:40:00,0.0
2022-09-08 02:45:00,0.0
2022-09-08 02:50:00,0.0
2022-09-08 02:55:00,0.0
2022-09-08 03:00:00,0.0
2022-09-08 03:05:00,0.0
2022-09-08 03:10:00,0.0
2022-09-08 03:15:00,0.0
2022-09-08 03:20:00,0.0
2022-09-08 03:25:00,0.0
2022-09-08 03:30:00,0.0
2022-09-08 03:35:00,0.0
2022-09-08 03:40:00,0.0
2022-09-08 03:45:00,0.0
2022-09-08 03:50:00,-0.1794
2022-09-08 03:55:00,-0.1796
2022-09-08 04:00:00,-0.1798
2022-09-08 04:05:00,0.0
2022-09-08 04:10:00,0.0
2022-09-08 04:15:00,0.0
2022-09-08 04:20:00,0.2457
2022-09-08 04:25:00,0.2455
2022-09-08 04:30:00,0.2457
2022-09-08 04:35:00,0.1794
2022-09-08 06:05:00,0.1793
2022-09-08 06:10:00,0.1789
2022-09-08 06:15:00,0.1789
2022-09-08 06:20:00,0.4261
2022-09-08 06:25:00,0.4265
2022-09-08 06:30:00,0.426
2022-09-08 06:35:00,0.4261
2022-09-08 06:40:00,0.4266
2022-09-08 06:45:00,0.4272
2022-09-08 06:50:00,1.0007
2022-09-08 06:55:00,0.9996
2022-09-08 07:00:00,0.9977
2022-09-08 07:05:00,0.8358
2022-09-08 07:10:00,0.8341
2022-09-08 07:15:00,0.8321
2022-09-08 07:20:00,0.8363
2022-09-08 07:25:00,0.8348
2022-09-08 07:30:00,0.8328
2022-09-08 07:35:00,0.8326
2022-09-08 07:50:00,0.8323
2022-09-09 02:05:00,0.412
2022-09-09 02:10:00,0.4121
2022-09-09 02:15:00,0.4124
2022-09-09 02:20:00,0.658
2022-09-09 02:25:00,0.6578
2022-09-09 02:30:00,0.6577
2022-09-09 02:35:00,0.8368
2022-09-09 02:40:00,0.8375
2022-09-09 02:45:00,0.8375
2022-09-09 02:50:00,0.5751
2022-09-09 02:55:00,0.5752
2022-09-09 03:00:00,0.5754
2022-09-09 03:05:00,0.4119
2022-09-09 03:10:00,0.4118
2022-09-09 03:15:00,0.4116
2022-09-09 03:20:00,0.1629
2022-09-09 03:25:00,0.1629
2022-09-09 03:30:00,0.1628
2022-09-09 03:35:00,0.5739
2022-09-09 03:40:00,0.5735
2022-09-09 03:45:00,0.5735
2022-09-09 03:50:00,0.0
2022-09-09 03:55:00,0.0
2022-09-09 04:00:00,0.0
2022-09-09 04:05:00,0.0
2022-09-09 04:10:00,0.0
2022-09-09 04:15:00,0.0
2022-09-09 04:20:00,-0.1794
2022-09-09 04:25:00,-0.1793
2022-09-09 04:30:00,-0.1795
2022-09-09 04:35:00,0.0
2022-09-09 06:05:00,0.0
2022-09-09 06:10:00,0.0
2022-09-09 06:15:00,0.0
2022-09-09 06:20:00,0.1794
2022-09-09 06:25:00,0.1794
