Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.2106
2022-09-05 02:25:00,0.2105
2022-09-05 02:30:00,0.2104
2022-09-05 02:35:00,0.2779
2022-09-05 02:40:00,0.2779
2022-09-05 02:45:00,0.2779
2022-09-05 02:50:00,0.278
2022-09-05 02:55:00,0.2781
2022-09-05 03:00:00,0.3329
2022-09-05 03:05:00,0.3328
2022-09-05 03:10:00,0.121
2022-09-05 03:15:00,-0.0895
2022-09-05 03:20:00,-0.0895
2022-09-05 03:25:00,-0.0895
2022-09-05 03:30:00,0.121
2022-09-05 03:35:00,0.121
2022-09-05 03:40:00,0.1773
2022-09-05 03:45:00,0.1773
2022-09-05 03:50:00,0.1773
2022-09-05 03:55:00,0.1774
2022-09-05 04:00:00,-0.2114
2022-09-05 04:05:00,-0.6792
2022-09-05 04:10:00,-0.849
2022-09-05 04:15:00,-0.948
2022-09-05 04:20:00,-0.9476
2022-09-05 04:25:00,-0.946
2022-09-05 04:30:00,-0.9464
2022-09-05 04:35:00,-0.9464
2022-09-05 06:05:00,-0.9959
2022-09-05 06:10:00,-0.9957
2022-09-05 06:15:00,-0.9967
2022-09-05 06:20:00,-0.9964
2022-09-05 06:25:00,-0.9963
2022-09-05 06:30:00,-0.9975
2022-09-05 06:35:00,-0.9975
2022-09-05 06:40:00,-0.9968
2022-09-05 06:45:00,-0.994
2022-09-05 06:50:00,-0.9948
2022-09-05 06:55:00,-0.9947
2022-09-05 07:00:00,-0.9937
2022-09-05 07:05:00,-0.998
2022-09-05 07:10:00,-0.9975
2022-09-05 07:15:00,-0.9987
2022-09-05 07:20:00,-0.9336
2022-09-05 07:25:00,-0.9318
2022-09-05 07:30:00,-0.9301
2022-09-05 07:35:00,-0.9301
2022-09-05 07:50:00,-0.9284
2022-09-06 02:05:00,-0.9298
2022-09-06 02:10:00,-0.9301
2022-09-06 02:15:00,-0.9302
2022-09-06 02:20:00,-0.9317
2022-09-06 02:25:00,-0.8753
2022-09-06 02:30:00,-0.8754
2022-09-06 02:35:00,-0.8189
2022-09-06 02:40:00,-0.041
2022-09-06 02:45:00,0.0593
2022-09-06 02:50:00,0.1096
2022-09-06 02:55:00,0.3213
2022-09-06 03:00:00,0.321
2022-09-06 03:05:00,0.3208
2022-09-06 03:10:00,0.3209
2022-09-06 03:15:00,0.3883
2022-09-06 03:20:00,0.4909
2022-09-06 03:25:00,0.4909
2022-09-06 03:30:00,0.4913
2022-09-06 03:35:00,0.4911
2022-09-06 03:40:00,0.6011
2022-09-06 03:45:00,0.7042
2022-09-06 03:50:00,0.8051
2022-09-06 03:55:00,0.8053
2022-09-06 04:00:00,0.8047
2022-09-06 04:05:00,0.805
2022-09-06 04:10:00,0.8047
2022-09-06 04:15:00,0.805
2022-09-06 04:20:00,0.804
2022-09-06 04:25:00,0.805
2022-09-06 04:30:00,0.8052
2022-09-06 04:35:00,0.8053
2022-09-06 06:05:00,0.7044
2022-09-06 06:10:00,0.7043
2022-09-06 06:15:00,0.7043
2022-09-06 06:20:00,0.3677
2022-09-06 06:25:00,0.3678
2022-09-06 06:30:00,0.3005
2022-09-06 06:35:00,0.2001
2022-09-06 06:40:00,-0.2773
2022-09-06 06:45:00,-0.2778
2022-09-06 06:50:00,-0.2776
2022-09-06 06:55:00,-0.2103
2022-09-06 07:00:00,-0.2107
2022-09-06 07:05:00,-0.1101
2022-09-06 07:10:00,-0.1099
2022-09-06 07:15:00,-0.1645
2022-09-06 07:20:00,-0.1098
2022-09-06 07:25:00,-0.1099
2022-09-06 07:30:00,-0.1098
2022-09-06 07:35:00,-0.1098
2022-09-06 07:50:00,-0.1096
2022-09-07 02:05:00,-0.2656
2022-09-07 02:10:00,-0.2656
2022-09-07 02:15:00,-0.2655
2022-09-07 02:20:00,-0.2657
2022-09-07 02:25:00,-0.2656
2022-09-07 02:30:00,-0.2657
2022-09-07 02:35:00,-0.2658
2022-09-07 02:40:00,-0.4121
2022-09-07 02:45:00,-0.4119
2022-09-07 02:50:00,-0.4116
2022-09-07 02:55:00,-0.4116
2022-09-07 03:00:00,-0.5818
2022-09-07 03:05:00,-0.582
2022-09-07 03:10:00,-0.5809
2022-09-07 03:15:00,-0.5809
2022-09-07 03:20:00,-0.8473
2022-09-07 03:25:00,-0.8471
2022-09-07 03:30:00,-0.8971
2022-09-07 03:35:00,-0.8978
2022-09-07 03:40:00,-0.8985
2022-09-07 03:45:00,-0.8986
2022-09-07 03:50:00,-0.8983
2022-09-07 03:55:00,-0.8982
2022-09-07 04:00:00,-0.6368
2022-09-07 04:05:00,-0.6367
2022-09-07 04:10:00,-0.5012
2022-09-07 04:15:00,-0.5009
2022-09-07 04:20:00,-0.5012
2022-09-07 04:25:00,-0.5012
2022-09-07 04:30:00,-0.3555
2022-09-07 04:35:00,-0.3554
2022-09-07 06:05:00,-0.2997
2022-09-07 06:10:00,-0.1969
2022-09-07 06:15:00,-0.2771
2022-09-07 06:20:00,-0.2769
2022-09-07 06:25:00,0.1432
2022-09-07 06:30:00,0.355
2022-09-07 06:35:00,0.355
2022-09-07 06:40:00,0.2997
2022-09-07 06:45:00,0.2995
2022-09-07 06:50:00,0.2996
2022-09-07 06:55:00,0.2995
2022-09-07 07:00:00,0.3657
2022-09-07 07:05:00,0.3651
2022-09-07 07:10:00,0.3658
2022-09-07 07:15:00,0.3659
2022-09-07 07:20:00,0.3651
2022-09-07 07:25:00,0.3642
2022-09-07 07:30:00,0.3633
2022-09-07 07:35:00,0.3634
2022-09-07 07:50:00,0.3619
2022-09-08 02:05:00,0.3636
2022-09-08 02:10:00,0.3637
2022-09-08 02:15:00,0.3638
2022-09-08 02:20:00,0.3636
2022-09-08 02:25:00,0.1542
2022-09-08 02:30:00,0.1541
2022-09-08 02:35:00,0.1541
2022-09-08 02:40:00,0.1541
2022-09-08 02:45:00,0.154
2022-09-08 02:50:00,0.1539
2022-09-08 02:55:00,0.0535
2022-09-08 03:00:00,0.1077
2022-09-08 03:05:00,0.1077
2022-09-08 03:10:00,0.1076
2022-09-08 03:15:00,0.1077
2022-09-08 03:20:00,0.1077
2022-09-08 03:25:00,-0.1003
2022-09-08 03:30:00,-0.1004
2022-09-08 03:35:00,-0.1004
2022-09-08 03:40:00,-0.1003
