Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.3502
2022-09-05 02:15:00,0.3501
2022-09-05 02:20:00,0.3808
2022-09-05 02:25:00,0.3806
2022-09-05 02:30:00,0.3501
2022-09-05 02:35:00,0.3502
2022-09-05 02:40:00,0.3503
2022-09-05 02:45:00,0.3503
2022-09-05 02:50:00,0.2762
2022-09-05 02:55:00,0.2762
2022-09-05 03:00:00,0.0955
2022-09-05 03:05:00,0.0954
2022-09-05 03:10:00,-0.0935
2022-09-05 03:15:00,-0.0935
2022-09-05 03:20:00,-0.0935
2022-09-05 03:25:00,-0.0935
2022-09-05 03:30:00,-0.0936
2022-09-05 03:35:00,-0.0937
2022-09-05 03:40:00,-0.0937
2022-09-05 03:45:00,-0.0937
2022-09-05 03:50:00,-0.0937
2022-09-05 03:55:00,-0.0937
2022-09-05 04:00:00,-0.6273
2022-09-05 04:05:00,-0.6272
2022-09-05 04:10:00,-0.9994
2022-09-05 04:15:00,-0.9979
2022-09-05 04:20:00,-0.9975
2022-09-05 04:25:00,-0.9958
2022-09-05 04:30:00,-0.9962
2022-09-05 04:35:00,-0.9962
2022-09-05 06:05:00,-0.9957
2022-09-05 06:10:00,-0.9955
2022-09-05 06:15:00,-0.9966
2022-09-05 06:20:00,-0.9962
2022-09-05 06:25:00,-0.9961
2022-09-05 06:30:00,-0.9973
2022-09-05 06:35:00,-0.9973
2022-09-05 06:40:00,-0.9966
2022-09-05 06:45:00,-0.9938
2022-09-05 06:50:00,-0.9946
2022-09-05 06:55:00,-0.9945
2022-09-05 07:00:00,-0.9935
2022-09-05 07:05:00,-0.9978
2022-09-05 07:10:00,-0.5816
2022-09-05 07:15:00,-0.5823
2022-09-05 07:20:00,0.4169
2022-09-05 07:25:00,0.4161
2022-09-05 07:30:00,0.4153
2022-09-05 07:35:00,0.4153
2022-09-05 07:50:00,0.4146
2022-09-06 02:05:00,0.4152
2022-09-06 02:10:00,0.4153
2022-09-06 02:15:00,0.4154
2022-09-06 02:20:00,0.5114
2022-09-06 02:25:00,0.5113
2022-09-06 02:30:00,0.6921
2022-09-06 02:35:00,0.6919
2022-09-06 02:40:00,0.9994
2022-09-06 02:45:00,0.9991
2022-09-06 02:50:00,1.0
2022-09-06 02:55:00,1.0
2022-09-06 03:00:00,0.9992
2022-09-06 03:05:00,0.9986
2022-09-06 03:10:00,0.9989
2022-09-06 03:15:00,0.9987
2022-09-06 03:20:00,0.9987
2022-09-06 03:25:00,0.9987
2022-09-06 03:30:00,0.9995
2022-09-06 03:35:00,0.9991
2022-09-06 03:40:00,1.0
2022-09-06 03:45:00,1.0006
2022-09-06 03:50:00,1.0015
2022-09-06 03:55:00,1.0018
2022-09-06 04:00:00,1.0011
2022-09-06 04:05:00,1.0014
2022-09-06 04:10:00,1.001
2022-09-06 04:15:00,1.0014
2022-09-06 04:20:00,0.8606
2022-09-06 04:25:00,0.8616
2022-09-06 04:30:00,0.908
2022-09-06 04:35:00,0.9082
2022-09-06 06:05:00,0.9074
2022-09-06 06:10:00,0.3727
2022-09-06 06:15:00,0.3726
2022-09-06 06:20:00,-0.6929
2022-09-06 06:25:00,-0.6931
2022-09-06 06:30:00,-0.6933
2022-09-06 06:35:00,-0.6932
2022-09-06 06:40:00,-0.8723
2022-09-06 06:45:00,-0.8738
2022-09-06 06:50:00,-0.873
2022-09-06 06:55:00,-0.8738
2022-09-06 07:00:00,1.0
2022-09-06 07:05:00,0.9998
2022-09-06 07:10:00,0.1507
2022-09-06 07:15:00,0.1505
2022-09-06 07:20:00,-0.2648
2022-09-06 07:25:00,-0.265
2022-09-06 07:30:00,-0.2648
2022-09-06 07:35:00,-0.2647
2022-09-06 07:50:00,-0.2644
2022-09-07 02:05:00,-0.2632
2022-09-07 02:10:00,-0.9984
2022-09-07 02:15:00,-0.9981
2022-09-07 02:20:00,-0.9985
2022-09-07 02:25:00,-0.9983
2022-09-07 02:30:00,-0.9988
2022-09-07 02:35:00,-0.9989
2022-09-07 02:40:00,-0.9995
2022-09-07 02:45:00,-0.9989
2022-09-07 02:50:00,-0.9982
2022-09-07 02:55:00,-0.9981
2022-09-07 03:00:00,-0.9982
2022-09-07 03:05:00,-0.9986
2022-09-07 03:10:00,-0.9968
2022-09-07 03:15:00,-0.9967
2022-09-07 03:20:00,-0.9966
2022-09-07 03:25:00,-0.9964
2022-09-07 03:30:00,-0.9964
2022-09-07 03:35:00,-0.9972
2022-09-07 03:40:00,-0.7018
2022-09-07 03:45:00,-0.7019
2022-09-07 03:50:00,-0.4863
2022-09-07 03:55:00,-0.4863
2022-09-07 04:00:00,-0.2653
2022-09-07 04:05:00,-0.2653
2022-09-07 04:10:00,-0.2649
2022-09-07 04:15:00,-0.2648
2022-09-07 04:20:00,0.0934
2022-09-07 04:25:00,0.0934
2022-09-07 04:30:00,0.0934
2022-09-07 04:35:00,0.0934
2022-09-07 06:05:00,0.0935
2022-09-07 06:10:00,0.1397
2022-09-07 06:15:00,0.1397
2022-09-07 06:20:00,0.1397
2022-09-07 06:25:00,0.1397
2022-09-07 06:30:00,0.6275
2022-09-07 06:35:00,0.6276
2022-09-07 06:40:00,0.6266
2022-09-07 06:45:00,0.6261
2022-09-07 06:50:00,0.533
2022-09-07 06:55:00,0.5328
2022-09-07 07:00:00,-0.5123
2022-09-07 07:05:00,-0.5115
2022-09-07 07:10:00,-0.5125
2022-09-07 07:15:00,-0.5125
2022-09-07 07:20:00,-0.8714
2022-09-07 07:25:00,-0.8692
2022-09-07 07:30:00,-0.8671
2022-09-07 07:35:00,-0.8673
2022-09-07 07:50:00,-0.8637
2022-09-08 02:05:00,-0.8677
2022-09-08 02:10:00,-0.868
2022-09-08 02:15:00,-0.8682
2022-09-08 02:20:00,-0.8677
2022-09-08 02:25:00,-0.8675
2022-09-08 02:30:00,-0.8674
2022-09-08 02:35:00,-0.8673
2022-09-08 02:40:00,-0.8671
2022-09-08 02:45:00,-0.8664
2022-09-08 02:50:00,-0.8662
2022-09-08 02:55:00,-0.8652
2022-09-08 03:00:00,-0.7723
2022-09-08 03:05:00,-0.7724
2022-09-08 03:10:00,-0.6792
