Date,VN30F1M
2022-09-05 02:20:00,0.6288
2022-09-05 02:40:00,0.4356
2022-09-05 03:00:00,0.3608
2022-09-05 03:20:00,0.3606
2022-09-05 03:40:00,0.7272
2022-09-05 04:00:00,-0.3945
2022-09-05 04:20:00,-0.4248
2022-09-05 04:40:00,-0.4243
2022-09-05 06:20:00,-0.4243
2022-09-05 06:40:00,-0.4245
2022-09-05 07:00:00,-0.4231
2022-09-05 07:20:00,-0.4263
2022-09-05 07:40:00,-0.4247
2022-09-05 08:00:00,-0.4239
2022-09-06 02:20:00,0.3972
2022-09-06 02:40:00,0.4721
2022-09-06 03:00:00,1.0
2022-09-06 03:20:00,0.9995
2022-09-06 03:40:00,0.8356
2022-09-06 04:00:00,1.0
2022-09-06 04:20:00,0.9992
2022-09-06 04:40:00,1.0007
2022-09-06 06:20:00,0.5147
2022-09-06 06:40:00,-0.4252
2022-09-06 07:00:00,-0.4268
2022-09-06 07:20:00,-0.4257
2022-09-06 07:40:00,-0.4256
2022-09-06 08:00:00,-0.4251
2022-09-07 02:20:00,-0.4232
2022-09-07 02:40:00,-0.4236
2022-09-07 03:00:00,-0.4231
2022-09-07 03:20:00,-0.4224
2022-09-07 03:40:00,-0.423
2022-09-07 04:00:00,-0.1805
2022-09-07 04:20:00,-0.1803
2022-09-07 04:40:00,-0.2231
2022-09-07 06:20:00,-0.2233
2022-09-07 06:40:00,-0.2231
2022-09-07 07:00:00,-0.301
2022-09-07 07:20:00,-0.3005
2022-09-07 07:40:00,-0.2991
2022-09-07 08:00:00,-0.2979
2022-09-08 02:20:00,-0.2486
2022-09-08 02:40:00,-0.2484
2022-09-08 03:00:00,-0.4332
2022-09-08 03:20:00,-0.1851
2022-09-08 03:40:00,-0.6278
2022-09-08 04:00:00,-0.8215
2022-09-08 04:20:00,-0.8238
2022-09-08 04:40:00,-0.8237
2022-09-08 06:20:00,-0.8234
2022-09-08 06:40:00,-0.8243
2022-09-08 07:00:00,-0.824
2022-09-08 07:20:00,-0.8236
2022-09-08 07:40:00,-0.8199
2022-09-08 08:00:00,-0.8195
2022-09-09 02:20:00,-0.8233
2022-09-09 02:40:00,-0.8232
2022-09-09 03:00:00,-0.8236
2022-09-09 03:20:00,-0.845
2022-09-09 03:40:00,-0.8445
2022-09-09 04:00:00,-0.8443
2022-09-09 04:20:00,-0.8449
2022-09-09 04:40:00,-0.8454
2022-09-09 06:20:00,-0.8459
2022-09-09 06:40:00,-0.8453
2022-09-09 07:00:00,-0.8795
2022-09-09 07:20:00,-0.8775
2022-09-09 07:40:00,-0.8601
2022-09-09 08:00:00,-0.8621
2022-09-12 02:20:00,1.0
2022-09-12 02:40:00,1.0001
2022-09-12 03:00:00,0.9993
2022-09-12 03:20:00,0.9993
2022-09-12 03:40:00,0.3453
2022-09-12 04:00:00,0.3452
2022-09-12 04:20:00,0.3448
2022-09-12 04:40:00,0.3876
2022-09-12 06:20:00,-0.0957
2022-09-12 06:40:00,-0.0426
2022-09-12 07:00:00,-0.0426
2022-09-12 07:20:00,-0.0426
2022-09-12 07:40:00,-0.1685
2022-09-12 08:00:00,-0.1679
2022-09-12 08:20:00,-0.1681
2022-09-13 02:20:00,-0.0739
2022-09-13 02:40:00,-0.1681
2022-09-13 03:00:00,-0.2134
2022-09-13 03:20:00,-0.214
2022-09-13 03:40:00,-0.214
2022-09-13 04:00:00,-0.2138
2022-09-13 04:20:00,-0.2139
2022-09-13 04:40:00,-0.2139
2022-09-13 06:20:00,-0.2141
2022-09-13 06:40:00,-0.2139
2022-09-13 07:00:00,-0.2136
2022-09-13 07:20:00,-0.2137
2022-09-13 07:40:00,-0.2141
2022-09-13 08:00:00,-0.1235
2022-09-14 02:20:00,-0.8167
2022-09-14 02:40:00,-0.8177
2022-09-14 03:00:00,-0.8184
2022-09-14 03:20:00,-0.8177
2022-09-14 03:40:00,-0.8174
2022-09-14 04:00:00,-0.8174
2022-09-14 04:20:00,-0.8172
2022-09-14 04:40:00,-0.8173
2022-09-14 06:20:00,-1.0006
2022-09-14 06:40:00,-1.0024
2022-09-14 07:00:00,0.0
2022-09-14 07:20:00,0.0
2022-09-14 07:40:00,0.0
2022-09-14 08:00:00,0.0
2022-09-15 02:20:00,0.0
2022-09-15 02:40:00,0.0
2022-09-15 03:00:00,0.0
2022-09-15 03:20:00,0.0
2022-09-15 03:40:00,0.0
2022-09-15 04:00:00,-0.9233
2022-09-15 04:20:00,-0.9226
2022-09-15 04:40:00,-0.9226
2022-09-15 06:20:00,-0.9212
2022-09-15 06:40:00,-1.0
2022-09-15 07:00:00,0.0
2022-09-15 07:20:00,0.0
2022-09-15 07:40:00,0.0
2022-09-15 08:00:00,0.0
2022-09-16 02:20:00,-0.3109
2022-09-16 02:40:00,-0.3108
2022-09-16 03:00:00,-0.3107
2022-09-16 03:20:00,-0.3107
2022-09-16 03:40:00,-0.8165
2022-09-16 04:00:00,-0.8164
