Date,VN30F1M
2022-09-05 02:12:00,0.0
2022-09-05 02:24:00,0.0
2022-09-05 02:36:00,-0.0555
2022-09-05 02:48:00,-0.0555
2022-09-05 03:00:00,-0.0742
2022-09-05 03:12:00,0.1705
2022-09-05 03:24:00,0.0711
2022-09-05 03:36:00,0.2452
2022-09-05 03:48:00,0.2452
2022-09-05 04:00:00,-0.5084
2022-09-05 04:12:00,-0.9445
2022-09-05 04:24:00,-0.9445
2022-09-05 04:36:00,-1.0
2022-09-05 06:12:00,-1.0
2022-09-05 06:24:00,-0.9996
2022-09-05 06:36:00,-1.0001
2022-09-05 06:48:00,-0.9999
2022-09-05 07:00:00,-0.9998
2022-09-05 07:12:00,-1.0045
2022-09-05 07:24:00,-0.8313
2022-09-05 07:36:00,-0.829
2022-09-05 07:48:00,-0.8274
2022-09-06 02:12:00,-0.829
2022-09-06 02:24:00,0.2881
2022-09-06 02:36:00,0.288
2022-09-06 02:48:00,0.4976
2022-09-06 03:00:00,0.553
2022-09-06 03:12:00,0.5527
2022-09-06 03:24:00,0.5526
2022-09-06 03:36:00,0.5533
2022-09-06 03:48:00,0.7631
2022-09-06 04:00:00,1.0
2022-09-06 04:12:00,1.0002
2022-09-06 04:24:00,1.0002
2022-09-06 04:36:00,1.0007
2022-09-06 06:12:00,1.0002
2022-09-06 06:24:00,0.9976
2022-09-06 06:36:00,0.7553
2022-09-06 06:48:00,0.1651
2022-09-06 07:00:00,0.1652
2022-09-06 07:12:00,0.1649
2022-09-06 07:24:00,-0.4794
2022-09-06 07:36:00,-0.5391
2022-09-06 07:48:00,-0.6291
2022-09-07 02:12:00,-1.0
2022-09-07 02:24:00,-1.0004
2022-09-07 02:36:00,-1.0015
2022-09-07 02:48:00,-1.0
2022-09-07 03:00:00,-1.0
2022-09-07 03:12:00,-0.9999
2022-09-07 03:24:00,-0.9999
2022-09-07 03:36:00,-1.0002
2022-09-07 03:48:00,-1.0004
2022-09-07 04:00:00,-1.0008
2022-09-07 04:12:00,-0.9999
2022-09-07 04:24:00,-1.0001
2022-09-07 04:36:00,-0.8514
2022-09-07 06:12:00,-0.7523
2022-09-07 06:24:00,-0.6579
2022-09-07 06:36:00,-0.1534
2022-09-07 06:48:00,-0.1532
2022-09-07 07:00:00,-0.0169
2022-09-07 07:12:00,-0.0168
2022-09-07 07:24:00,-1.0
2022-09-07 07:36:00,-1.0
2022-09-07 07:48:00,-0.9959
2022-09-08 02:12:00,-0.8193
2022-09-08 02:24:00,-0.8189
2022-09-08 02:36:00,-0.8183
2022-09-08 02:48:00,-0.8177
2022-09-08 03:00:00,-0.7622
2022-09-08 03:12:00,-0.7623
2022-09-08 03:24:00,-0.6134
2022-09-08 03:36:00,-0.5149
2022-09-08 03:48:00,-0.5155
2022-09-08 04:00:00,-0.5153
2022-09-08 04:12:00,-0.4215
2022-09-08 04:24:00,0.1651
2022-09-08 04:36:00,0.1652
2022-09-08 06:12:00,0.1649
2022-09-08 06:24:00,0.1654
2022-09-08 06:36:00,0.165
2022-09-08 06:48:00,0.1657
2022-09-08 07:00:00,0.9445
2022-09-08 07:12:00,0.9427
2022-09-08 07:24:00,0.9438
2022-09-08 07:36:00,0.9398
2022-09-08 07:48:00,0.4351
2022-09-09 02:12:00,0.5113
2022-09-09 02:24:00,0.5115
2022-09-09 02:36:00,0.5115
2022-09-09 02:48:00,0.5117
2022-09-09 03:00:00,0.5675
2022-09-09 03:12:00,0.567
2022-09-09 03:24:00,0.4955
2022-09-09 03:36:00,-0.3068
2022-09-09 03:48:00,-0.7294
2022-09-09 04:00:00,-1.0
