Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.4593
2022-09-05 02:20:00,0.4598
2022-09-05 02:25:00,0.4596
2022-09-05 02:30:00,1.0001
2022-09-05 02:35:00,1.0002
2022-09-05 02:40:00,1.0005
2022-09-05 02:45:00,1.0005
2022-09-05 02:50:00,1.0008
2022-09-05 02:55:00,1.0009
2022-09-05 03:00:00,1.0011
2022-09-05 03:05:00,1.0008
2022-09-05 03:10:00,1.0006
2022-09-05 03:15:00,1.0005
2022-09-05 03:20:00,1.0005
2022-09-05 03:25:00,1.0011
2022-09-05 03:30:00,1.0022
2022-09-05 03:35:00,1.0025
2022-09-05 03:40:00,1.0026
2022-09-05 03:45:00,1.0024
2022-09-05 03:50:00,1.0028
2022-09-05 03:55:00,1.0032
2022-09-05 04:00:00,0.9991
2022-09-05 04:05:00,0.9989
2022-09-05 04:10:00,0.9984
2022-09-05 04:15:00,0.8149
2022-09-05 04:20:00,0.8146
2022-09-05 04:25:00,0.8132
2022-09-05 04:30:00,0.0359
2022-09-05 04:35:00,0.0359
2022-09-05 06:05:00,0.0358
2022-09-05 06:10:00,0.0358
2022-09-05 06:15:00,-0.2402
2022-09-05 06:20:00,-0.2401
2022-09-05 06:25:00,-0.24
2022-09-05 06:30:00,-0.2403
2022-09-05 06:35:00,-0.2403
2022-09-05 06:40:00,-0.2402
2022-09-05 06:45:00,-0.2395
2022-09-05 06:50:00,-0.2397
2022-09-05 06:55:00,-0.2397
2022-09-05 07:00:00,-0.4171
2022-09-05 07:05:00,-0.419
2022-09-05 07:10:00,-0.4188
2022-09-05 07:15:00,-0.4193
2022-09-05 07:20:00,0.0
2022-09-05 07:25:00,0.0
2022-09-05 07:30:00,0.0
2022-09-05 07:35:00,0.0
2022-09-05 07:50:00,0.0
2022-09-06 02:05:00,0.0
2022-09-06 02:10:00,0.0
2022-09-06 02:15:00,0.0
2022-09-06 02:20:00,0.0
2022-09-06 02:25:00,0.0
2022-09-06 02:30:00,0.0
2022-09-06 02:35:00,0.0
2022-09-06 02:40:00,0.0
2022-09-06 02:45:00,0.0
2022-09-06 02:50:00,0.0
2022-09-06 02:55:00,0.0
2022-09-06 03:00:00,0.0
2022-09-06 03:05:00,0.0
2022-09-06 03:10:00,0.0
2022-09-06 03:15:00,0.0
2022-09-06 03:20:00,0.0
2022-09-06 03:25:00,0.0
2022-09-06 03:30:00,0.1825
2022-09-06 03:35:00,0.1824
2022-09-06 03:40:00,0.1826
2022-09-06 03:45:00,0.4316
2022-09-06 03:50:00,0.432
2022-09-06 03:55:00,0.4321
2022-09-06 04:00:00,0.7086
2022-09-06 04:05:00,0.7088
2022-09-06 04:10:00,0.7085
2022-09-06 04:15:00,0.7088
2022-09-06 04:20:00,0.708
2022-09-06 04:25:00,0.7088
2022-09-06 04:30:00,1.0008
2022-09-06 04:35:00,1.0009
2022-09-06 06:05:00,1.0001
2022-09-06 06:10:00,1.0
2022-09-06 06:15:00,0.9999
2022-09-06 06:20:00,0.9978
2022-09-06 06:25:00,0.9982
2022-09-06 06:30:00,0.4155
2022-09-06 06:35:00,0.4154
2022-09-06 06:40:00,0.4154
2022-09-06 06:45:00,0.4161
2022-09-06 06:50:00,0.4157
2022-09-06 06:55:00,0.4161
2022-09-06 07:00:00,0.7097
2022-09-06 07:05:00,0.7096
2022-09-06 07:10:00,0.7088
2022-09-06 07:15:00,0.4157
2022-09-06 07:20:00,0.0
2022-09-06 07:25:00,0.0
2022-09-06 07:30:00,0.0
2022-09-06 07:35:00,0.0
2022-09-06 07:50:00,0.0
2022-09-07 02:05:00,0.0
2022-09-07 02:10:00,0.0
2022-09-07 02:15:00,-0.4314
2022-09-07 02:20:00,-0.4316
2022-09-07 02:25:00,-0.4315
2022-09-07 02:30:00,-0.4317
2022-09-07 02:35:00,-0.4317
2022-09-07 02:40:00,-0.432
2022-09-07 02:45:00,-0.1399
2022-09-07 02:50:00,-0.1398
2022-09-07 02:55:00,-0.1398
2022-09-07 03:00:00,-0.5305
2022-09-07 03:05:00,-0.5307
2022-09-07 03:10:00,-0.5298
2022-09-07 03:15:00,-0.7074
2022-09-07 03:20:00,-0.7074
2022-09-07 03:25:00,-0.7072
2022-09-07 03:30:00,-0.7072
2022-09-07 03:35:00,-0.7078
2022-09-07 03:40:00,-0.7083
2022-09-07 03:45:00,-0.7084
2022-09-07 03:50:00,-0.7082
2022-09-07 03:55:00,-0.7081
2022-09-07 04:00:00,-0.7087
2022-09-07 04:05:00,-0.7086
2022-09-07 04:10:00,-0.7078
2022-09-07 04:15:00,-0.9992
2022-09-07 04:20:00,-0.9998
2022-09-07 04:25:00,-0.9997
2022-09-07 04:30:00,-0.4163
2022-09-07 04:35:00,-0.4162
2022-09-07 06:05:00,-0.4166
2022-09-07 06:10:00,-0.4165
2022-09-07 06:15:00,-0.8181
2022-09-07 06:20:00,-0.8176
2022-09-07 06:25:00,-0.8178
2022-09-07 06:30:00,-0.7192
2022-09-07 06:35:00,-0.7193
2022-09-07 06:40:00,-0.7181
2022-09-07 06:45:00,-0.7176
2022-09-07 06:50:00,-0.7179
2022-09-07 06:55:00,-0.7176
2022-09-07 07:00:00,-0.7154
2022-09-07 07:05:00,-0.7144
2022-09-07 07:10:00,-0.7157
2022-09-07 07:15:00,-0.8983
2022-09-07 07:20:00,0.0
2022-09-07 07:25:00,0.0
2022-09-07 07:30:00,0.0
2022-09-07 07:35:00,0.0
2022-09-07 07:50:00,0.0
2022-09-08 02:05:00,0.0
2022-09-08 02:10:00,0.0
2022-09-08 02:15:00,-0.0991
2022-09-08 02:20:00,-0.099
2022-09-08 02:25:00,-0.099
2022-09-08 02:30:00,-0.099
2022-09-08 02:35:00,-0.099
2022-09-08 02:40:00,-0.0989
2022-09-08 02:45:00,-0.0989
2022-09-08 02:50:00,-0.0988
2022-09-08 02:55:00,-0.0987
2022-09-08 03:00:00,-0.0988
2022-09-08 03:05:00,-0.0989
2022-09-08 03:10:00,-0.0988
2022-09-08 03:15:00,-0.0988
2022-09-08 03:20:00,-0.0989
2022-09-08 03:25:00,-0.0987
2022-09-08 03:30:00,-0.0988
2022-09-08 03:35:00,-0.0989
2022-09-08 03:40:00,-0.0987
2022-09-08 03:45:00,-0.0986
2022-09-08 03:50:00,-0.0985
