Date,VN30F1M
2022-09-05 02:05:00,0.0
2022-09-05 02:10:00,0.0
2022-09-05 02:15:00,0.0
2022-09-05 02:20:00,0.0
2022-09-05 02:25:00,0.0
2022-09-05 02:30:00,0.1212
2022-09-05 02:35:00,0.1212
2022-09-05 02:40:00,0.1212
2022-09-05 02:45:00,0.4597
2022-09-05 02:50:00,0.4598
2022-09-05 02:55:00,0.4599
2022-09-05 03:00:00,0.46
2022-09-05 03:05:00,0.4598
2022-09-05 03:10:00,0.4598
2022-09-05 03:15:00,0.4597
2022-09-05 03:20:00,0.4597
2022-09-05 03:25:00,0.46
2022-09-05 03:30:00,0.7618
2022-09-05 03:35:00,0.762
2022-09-05 03:40:00,0.7621
2022-09-05 03:45:00,0.3351
2022-09-05 03:50:00,0.3353
2022-09-05 03:55:00,0.3354
2022-09-05 04:00:00,0.2331
2022-09-05 04:05:00,0.233
2022-09-05 04:10:00,0.2329
2022-09-05 04:15:00,-0.6555
2022-09-05 04:20:00,-0.6552
2022-09-05 04:25:00,-0.6541
2022-09-05 04:30:00,-0.6544
2022-09-05 04:35:00,-0.6544
2022-09-05 06:05:00,-0.6541
2022-09-05 06:10:00,-0.654
2022-09-05 06:15:00,-0.6546
2022-09-05 06:20:00,-0.6544
2022-09-05 06:25:00,-0.6543
2022-09-05 06:30:00,-0.7763
2022-09-05 06:35:00,-0.7763
2022-09-05 06:40:00,-0.7758
2022-09-05 06:45:00,-0.996
2022-09-05 06:50:00,-0.9968
2022-09-05 06:55:00,-0.9967
2022-09-05 07:00:00,-0.9956
2022-09-05 07:05:00,-1.0
2022-09-05 07:10:00,-0.9995
2022-09-05 07:15:00,-0.7379
2022-09-05 07:20:00,-0.7397
2022-09-05 07:25:00,-0.7383
2022-09-05 07:30:00,-0.737
2022-09-05 07:35:00,-0.737
2022-09-05 07:50:00,-0.7356
2022-09-06 02:05:00,-0.7367
2022-09-06 02:10:00,-0.737
2022-09-06 02:15:00,-0.2655
2022-09-06 02:20:00,-0.2659
2022-09-06 02:25:00,-0.2658
2022-09-06 02:30:00,0.7868
2022-09-06 02:35:00,0.7866
2022-09-06 02:40:00,0.7871
2022-09-06 02:45:00,0.899
2022-09-06 02:50:00,0.8997
2022-09-06 02:55:00,0.8997
2022-09-06 03:00:00,0.899
2022-09-06 03:05:00,0.8985
2022-09-06 03:10:00,0.8988
2022-09-06 03:15:00,0.8986
2022-09-06 03:20:00,0.8986
2022-09-06 03:25:00,0.8985
2022-09-06 03:30:00,0.8993
2022-09-06 03:35:00,0.899
2022-09-06 03:40:00,0.8998
2022-09-06 03:45:00,1.0014
2022-09-06 03:50:00,1.0023
2022-09-06 03:55:00,1.0025
2022-09-06 04:00:00,1.0018
2022-09-06 04:05:00,1.0022
2022-09-06 04:10:00,1.0018
2022-09-06 04:15:00,1.0022
2022-09-06 04:20:00,1.001
2022-09-06 04:25:00,1.0022
2022-09-06 04:30:00,1.0024
2022-09-06 04:35:00,1.0025
2022-09-06 06:05:00,1.0017
2022-09-06 06:10:00,1.0016
2022-09-06 06:15:00,1.0015
2022-09-06 06:20:00,0.9994
2022-09-06 06:25:00,0.9998
2022-09-06 06:30:00,-0.0495
2022-09-06 06:35:00,-0.0495
2022-09-06 06:40:00,-0.0495
2022-09-06 06:45:00,-0.1507
2022-09-06 06:50:00,-0.1506
2022-09-06 06:55:00,-0.1507
2022-09-06 07:00:00,0.1212
2022-09-06 07:05:00,0.1212
2022-09-06 07:10:00,0.121
2022-09-06 07:15:00,0.1208
2022-09-06 07:20:00,0.1209
2022-09-06 07:25:00,0.121
2022-09-06 07:30:00,0.1209
2022-09-06 07:35:00,0.1208
2022-09-06 07:50:00,0.1207
2022-09-07 02:05:00,0.1201
2022-09-07 02:10:00,0.1201
2022-09-07 02:15:00,0.1201
2022-09-07 02:20:00,0.1202
2022-09-07 02:25:00,0.1201
2022-09-07 02:30:00,0.0
2022-09-07 02:35:00,0.0
2022-09-07 02:40:00,0.0
2022-09-07 02:45:00,-0.2333
2022-09-07 02:50:00,-0.2331
2022-09-07 02:55:00,-0.2331
2022-09-07 03:00:00,-0.4847
2022-09-07 03:05:00,-0.4849
2022-09-07 03:10:00,-0.484
2022-09-07 03:15:00,-0.484
2022-09-07 03:20:00,-0.484
2022-09-07 03:25:00,-0.4838
2022-09-07 03:30:00,-0.8717
2022-09-07 03:35:00,-0.8724
2022-09-07 03:40:00,-0.8731
2022-09-07 03:45:00,-0.7227
2022-09-07 03:50:00,-0.7224
2022-09-07 03:55:00,-0.7224
2022-09-07 04:00:00,-0.6109
2022-09-07 04:05:00,-0.6109
2022-09-07 04:10:00,-0.6101
2022-09-07 04:15:00,-0.6098
2022-09-07 04:20:00,-0.6102
2022-09-07 04:25:00,-0.6101
2022-09-07 04:30:00,-0.4894
2022-09-07 04:35:00,-0.4893
2022-09-07 06:05:00,-0.4897
2022-09-07 06:10:00,-0.4897
2022-09-07 06:15:00,-0.287
2022-09-07 06:20:00,-0.2868
2022-09-07 06:25:00,-0.2869
2022-09-07 06:30:00,0.6363
2022-09-07 06:35:00,0.6364
2022-09-07 06:40:00,0.6353
2022-09-07 06:45:00,0.514
2022-09-07 06:50:00,0.5142
2022-09-07 06:55:00,0.514
2022-09-07 07:00:00,0.1635
2022-09-07 07:05:00,0.1633
2022-09-07 07:10:00,0.1636
2022-09-07 07:15:00,0.1636
2022-09-07 07:20:00,0.1633
2022-09-07 07:25:00,0.1629
2022-09-07 07:30:00,0.1625
2022-09-07 07:35:00,0.1625
2022-09-07 07:50:00,0.1618
2022-09-08 02:05:00,0.1626
2022-09-08 02:10:00,0.1627
2022-09-08 02:15:00,-0.2212
2022-09-08 02:20:00,-0.221
2022-09-08 02:25:00,-0.221
2022-09-08 02:30:00,-0.1205
2022-09-08 02:35:00,-0.1204
2022-09-08 02:40:00,-0.1204
2022-09-08 02:45:00,0.1011
2022-09-08 02:50:00,0.1011
2022-09-08 02:55:00,0.101
2022-09-08 03:00:00,-0.0644
2022-09-08 03:05:00,-0.0644
2022-09-08 03:10:00,-0.0643
2022-09-08 03:15:00,-0.0644
2022-09-08 03:20:00,-0.0644
2022-09-08 03:25:00,-0.0643
2022-09-08 03:30:00,0.0862
2022-09-08 03:35:00,0.0862
2022-09-08 03:40:00,0.0861
2022-09-08 03:45:00,-0.3359
