Date,Symbol,fund_name,arbit_ratio,arbit_value,unwind_ratio,unwind_value
2022-09-05 03:23:00,FPT,E1VFVN30,0.0,0.0,2.0,276480000.0
2022-09-05 03:53:00,FPT,E1VFVN30,0.5,69040000.0,0.0,0.0
2022-09-05 03:57:00,FPT,E1VFVN30,0.0,0.0,3.0,414240000.0
2022-09-05 04:01:00,FPT,E1VFVN30,0.0,0.0,0.62,86200000.0
2022-09-05 04:05:00,FPT,E1VFVN30,0.0,0.0,0.62,86200000.0
2022-09-05 04:20:00,FPT,E1VFVN30,0.0,0.0,0.62,86100000.0
2022-09-05 04:21:00,FPT,E1VFVN30,0.0,0.0,1.0,137760000.0
2022-09-05 04:23:00,FPT,E1VFVN30,0.0,0.0,6.2,861000000.0
2022-09-05 04:24:00,FPT,E1VFVN30,0.0,0.0,4.96,688800000.0
2022-09-05 04:25:00,FPT,E1VFVN30,0.0,0.0,1.86,258300000.0
2022-09-05 04:26:00,FPT,E1VFVN30,0.0,0.0,3.1,430380000.0
2022-09-05 04:29:00,FPT,E1VFVN30,0.0,0.0,2.48,344320000.0
2022-09-05 04:30:00,FPT,E1VFVN30,0.0,0.0,2.48,344300000.0
2022-09-05 06:01:00,FPT,E1VFVN30,0.0,0.0,1.86,258300000.0
2022-09-05 06:07:00,FPT,E1VFVN30,0.0,0.0,6.0,825650000.0
2022-09-05 06:12:00,FPT,E1VFVN30,0.0,0.0,1.5,206400000.0
2022-09-05 06:19:00,FPT,E1VFVN30,0.0,0.0,1.5,206400000.0
2022-09-05 06:23:00,FPT,E1VFVN30,0.0,0.0,2.69,370230000.0
2022-09-05 06:24:00,FPT,E1VFVN30,0.0,0.0,2.69,369800000.0
2022-09-05 06:36:00,FPT,E1VFVN30,0.0,0.0,3.1,430500000.0
2022-09-05 06:37:00,FPT,E1VFVN30,0.0,0.0,1.86,258370000.0
2022-09-05 06:41:00,FPT,E1VFVN30,0.0,0.0,4.96,688800000.0
2022-09-05 06:43:00,FPT,E1VFVN30,0.0,0.0,2.69,369800000.0
2022-09-05 06:44:00,FPT,E1VFVN30,0.0,0.0,5.5,756800000.0
2022-09-05 07:03:00,FPT,E1VFVN30,2.12,292400000.0,0.0,0.0
2022-09-05 07:04:00,FPT,E1VFVN30,3.0,412800000.0,0.0,0.0
2022-09-05 07:17:00,FPT,E1VFVN30,0.0,0.0,4.96,689610000.0
2022-09-05 07:18:00,FPT,E1VFVN30,0.0,0.0,4.96,689790000.0
2022-09-05 07:19:00,FPT,E1VFVN30,2.69,371520000.0,4.34,603870000.0
2022-09-05 07:20:00,FPT,E1VFVN30,0.0,0.0,0.62,86310000.0
2022-09-06 02:28:00,FPT,E1VFVN30,0.0,0.0,1.0,137920000.0
2022-09-06 02:30:00,FPT,E1VFVN30,0.0,0.0,3.0,413760000.0
2022-09-06 02:39:00,FPT,E1VFVN30,0.0,0.0,0.44,60340000.0
2022-09-06 03:08:00,FPT,E1VFVN30,0.0,0.0,2.0,275840000.0
2022-09-06 03:28:00,FPT,E1VFVN30,1.24,172400000.0,0.0,0.0
2022-09-06 03:29:00,FPT,E1VFVN30,1.12,155160000.0,0.0,0.0
2022-09-06 03:50:00,FPT,E1VFVN30,0.0,0.0,0.44,60340000.0
2022-09-06 03:53:00,FPT,E1VFVN30,0.0,0.0,0.56,77580000.0
2022-09-06 03:56:00,FPT,E1VFVN30,0.0,0.0,0.44,60340000.0
2022-09-06 03:59:00,FPT,E1VFVN30,0.0,0.0,1.88,258300000.0
2022-09-06 06:42:00,FPT,E1VFVN30,0.0,0.0,0.88,120540000.0
2022-09-06 06:58:00,FPT,E1VFVN30,0.94,129220000.0,0.0,0.0
2022-09-06 06:59:00,FPT,E1VFVN30,0.44,60270000.0,0.0,0.0
2022-09-06 07:00:00,FPT,E1VFVN30,1.1800000000000002,163780000.0,0.0,0.0
2022-09-06 07:01:00,FPT,E1VFVN30,1.0,137920000.0,0.0,0.0
2022-09-06 07:02:00,FPT,E1VFVN30,0.62,86200000.0,0.0,0.0
2022-09-06 07:13:00,FPT,E1VFVN30,9.0,1239970000.0,0.62,86000000.0
2022-09-06 07:14:00,FPT,E1VFVN30,0.0,0.0,0.69,94600000.0
2022-09-06 07:24:00,FPT,E1VFVN30,1.06,146370000.0,0.0,0.0
2022-09-06 07:25:00,FPT,E1VFVN30,0.94,129150000.0,0.88,120400000.0
2022-09-06 07:29:00,FPT,E1VFVN30,0.5,68800000.0,0.88,120260000.0
2022-09-06 07:40:00,FPT,E1VFVN30,2.5625,352600000.0,0.0,0.0
2022-09-06 07:43:00,FPT,E1VFVN30,6.0,825600000.0,0.0,0.0
2022-09-06 07:44:00,FPT,E1VFVN30,3.0,412800000.0,0.0,0.0
2022-09-07 02:14:00,FPT,E1VFVN30,0.0,0.0,3.0,410400000.0
2022-09-07 02:16:00,FPT,E1VFVN30,0.0,0.0,3.0,410700000.0
2022-09-07 02:18:00,FPT,E1VFVN30,0.0,0.0,0.88,119700000.0
2022-09-07 02:19:00,FPT,E1VFVN30,0.0,0.0,0.88,119700000.0
2022-09-07 02:22:00,FPT,E1VFVN30,0.0,0.0,0.88,119840000.0
2022-09-07 02:23:00,FPT,E1VFVN30,0.0,0.0,0.88,119840000.0
2022-09-07 02:24:00,FPT,E1VFVN30,0.0,0.0,0.88,119840000.0
2022-09-07 02:26:00,FPT,E1VFVN30,0.0,0.0,0.94,128260000.0
2022-09-07 02:27:00,FPT,E1VFVN30,0.0,0.0,1.0,136800000.0
2022-09-07 02:28:00,FPT,E1VFVN30,0.0,0.0,3.0,410400000.0
2022-09-07 02:30:00,FPT,E1VFVN30,0.0,0.0,2.0,273600000.0
2022-09-07 02:34:00,FPT,E1VFVN30,0.0,0.0,5.5,751520000.0
2022-09-07 02:41:00,FPT,E1VFVN30,0.0,0.0,0.88,119700000.0
2022-09-07 02:44:00,FPT,E1VFVN30,0.0,0.0,1.0,136920000.0
2022-09-07 02:45:00,FPT,E1VFVN30,0.0,0.0,4.0,547200000.0
2022-09-07 02:46:00,FPT,E1VFVN30,0.0,0.0,3.0,410400000.0
2022-09-07 02:50:00,FPT,E1VFVN30,0.0,0.0,1.0,136800000.0
2022-09-07 02:51:00,FPT,E1VFVN30,0.0,0.0,1.0,136640000.0
2022-09-07 02:58:00,FPT,E1VFVN30,0.44,59780000.0,0.0,0.0
2022-09-07 02:59:00,FPT,E1VFVN30,0.62,85400000.0,0.0,0.0
2022-09-07 03:00:00,FPT,E1VFVN30,0.44,59780000.0,0.0,0.0
2022-09-07 03:09:00,FPT,E1VFVN30,0.0,0.0,2.0,272960000.0
2022-09-07 03:10:00,FPT,E1VFVN30,0.0,0.0,4.0,545440000.0
2022-09-07 03:12:00,FPT,E1VFVN30,0.0,0.0,3.0,408960000.0
2022-09-07 03:13:00,FPT,E1VFVN30,0.0,0.0,3.0,408960000.0
2022-09-07 03:22:00,FPT,E1VFVN30,0.0,0.0,3.0,408960000.0
2022-09-07 03:23:00,FPT,E1VFVN30,0.0,0.0,3.12,426000000.0
2022-09-07 03:42:00,FPT,E1VFVN30,0.94,127950000.0,0.0,0.0
2022-09-07 03:43:00,FPT,E1VFVN30,0.0,0.0,3.0,409280000.0
2022-09-07 03:48:00,FPT,E1VFVN30,0.0,0.0,3.12,426500000.0
2022-09-07 03:52:00,FPT,E1VFVN30,0.0,0.0,1.0,136480000.0
2022-09-07 03:53:00,FPT,E1VFVN30,0.0,0.0,1.0,136480000.0
2022-09-07 03:54:00,FPT,E1VFVN30,0.0,0.0,3.0,409110000.0
