Date,Symbol,fund_name,arbit_ratio,arbit_value,unwind_ratio,unwind_value
2022-09-05 03:14:00,MSN,E1VFVN30,0.0,0.0,1.0,124850000.0
2022-09-05 03:23:00,MSN,E1VFVN30,0.0,0.0,2.0,249700000.0
2022-09-05 03:28:00,MSN,E1VFVN30,0.45,57230000.0,0.0,0.0
2022-09-05 03:32:00,MSN,E1VFVN30,0.55,68880000.0,0.0,0.0
2022-09-05 03:51:00,MSN,E1VFVN30,0.55,69480000.0,0.0,0.0
2022-09-05 03:53:00,MSN,E1VFVN30,0.55,69420000.0,0.0,0.0
2022-09-05 03:54:00,MSN,E1VFVN30,0.45,57850000.0,0.0,0.0
2022-09-05 03:59:00,MSN,E1VFVN30,0.0,0.0,1.0,126940000.0
2022-09-05 04:15:00,MSN,E1VFVN30,0.0,0.0,1.45,184800000.0
2022-09-05 04:23:00,MSN,E1VFVN30,0.0,0.0,5.0,633750000.0
2022-09-05 04:24:00,MSN,E1VFVN30,0.0,0.0,4.09,517950000.0
2022-09-05 04:25:00,MSN,E1VFVN30,0.0,0.0,1.82,230200000.0
2022-09-05 04:26:00,MSN,E1VFVN30,0.0,0.0,3.18,402850000.0
2022-09-05 04:29:00,MSN,E1VFVN30,0.0,0.0,3.64,460590000.0
2022-09-05 04:30:00,MSN,E1VFVN30,0.0,0.0,1.36,172500000.0
2022-09-05 06:06:00,MSN,E1VFVN30,0.0,0.0,1.0,126500000.0
2022-09-05 06:07:00,MSN,E1VFVN30,0.0,0.0,7.0,885500000.0
2022-09-05 06:19:00,MSN,E1VFVN30,0.0,0.0,1.45,184480000.0
2022-09-05 06:23:00,MSN,E1VFVN30,0.0,0.0,2.73,346040000.0
2022-09-05 06:25:00,MSN,E1VFVN30,0.0,0.0,2.73,345900000.0
2022-09-05 06:36:00,MSN,E1VFVN30,0.0,0.0,4.55,576000000.0
2022-09-05 06:37:00,MSN,E1VFVN30,0.0,0.0,0.45,57600000.0
2022-09-05 06:41:00,MSN,E1VFVN30,0.0,0.0,5.0,633600000.0
2022-09-05 06:42:00,MSN,E1VFVN30,0.0,0.0,1.0,126610000.0
2022-09-05 06:43:00,MSN,E1VFVN30,0.0,0.0,2.73,345300000.0
2022-09-05 06:44:00,MSN,E1VFVN30,0.0,0.0,2.73,345300000.0
2022-09-05 06:47:00,MSN,E1VFVN30,0.0,0.0,1.0,126720000.0
2022-09-05 06:57:00,MSN,E1VFVN30,0.0,0.0,1.0,126820000.0
2022-09-05 07:03:00,MSN,E1VFVN30,4.45,565750000.0,0.0,0.0
