Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,BID,40000.0,40003.03,40000.76,40000.93,40000.0
2022-09-05 02:20:00,BID,39691.67,39691.67,39701.56,39695.14,39735.42
2022-09-05 02:25:00,BID,39684.38,39684.38,39671.43,39684.38,39683.33
2022-09-05 02:30:00,BID,39716.67,39721.88,39720.24,39720.24,39720.24
2022-09-05 02:35:00,BID,39784.09,39782.5,39787.96,39787.96,39786.9
2022-09-05 02:40:00,BID,39778.57,39778.57,39778.57,39775.0,39780.0
2022-09-05 02:45:00,BID,39680.0,39680.0,39680.0,39687.5,39687.5
2022-09-05 02:50:00,BID,39694.44,39694.44,39694.44,39693.75,39695.83
2022-09-05 02:55:00,BID,39669.23,39669.23,39669.23,39668.75,39669.44
2022-09-05 03:00:00,BID,39714.81,39716.67,39716.67,39716.67,39717.86
2022-09-05 03:05:00,BID,39688.89,39688.89,39687.5,39685.71,39685.0
2022-09-05 03:10:00,BID,39700.0,39700.0,39700.0,39700.0,39700.0
2022-09-05 03:15:00,BID,39669.64,39671.15,39668.75,39670.45,39666.67
2022-09-05 03:20:00,BID,39665.0,39665.0,39666.67,39665.62,39666.67
2022-09-05 03:25:00,BID,39692.86,39692.86,39692.86,39692.86,39690.0
2022-09-05 03:30:00,BID,39680.0,39680.0,39675.0,39680.0,39675.0
2022-09-05 03:35:00,BID,39695.31,39695.38,39696.21,39697.22,39697.4
2022-09-05 03:40:00,BID,39715.62,39715.62,39715.62,39712.5,39712.5
2022-09-05 03:45:00,BID,39712.5,39713.64,39712.5,39712.96,39716.07
2022-09-05 03:50:00,BID,39732.5,39732.5,39732.5,39731.25,39728.12
2022-09-05 03:55:00,BID,39703.33,39700.69,39701.52,39701.52,39701.04
2022-09-05 04:00:00,BID,39659.17,39659.17,39659.17,39656.25,39657.14
2022-09-05 04:05:00,BID,39613.77,39611.4,39611.9,39611.28,39612.5
2022-09-05 04:10:00,BID,39595.0,39594.44,39594.44,39593.75,39592.86
2022-09-05 04:15:00,BID,39556.25,39555.77,39554.17,39554.17,39553.12
2022-09-05 04:20:00,BID,39543.64,39545.98,39543.04,39546.5,39540.12
2022-09-05 04:25:00,BID,39546.88,39546.88,39553.57,39561.11,39561.11
2022-09-05 06:00:00,BID,39498.06,39499.62,39496.88,39498.72,39495.49
2022-09-05 06:05:00,BID,39500.0,39500.0,39500.0,39500.0,39500.0
2022-09-05 06:10:00,BID,39500.0,39500.0,39500.0,39500.0,39500.0
2022-09-05 06:15:00,BID,39527.27,39533.33,39535.71,39535.71,39537.5
2022-09-05 06:20:00,BID,39541.67,39541.67,39537.73,39536.5,39533.1
2022-09-05 06:25:00,BID,39513.64,39515.0,39521.88,39521.88,39521.88
2022-09-05 06:30:00,BID,39516.67,39520.0,39522.22,39514.29,39516.67
2022-09-05 06:35:00,BID,39496.43,39496.15,39497.73,39497.22,39497.92
2022-09-05 06:40:00,BID,39406.94,39409.52,39406.6,39407.92,39399.07
2022-09-05 06:45:00,BID,39385.71,39387.5,39387.88,39387.96,39387.5
2022-09-05 06:50:00,BID,39483.33,39483.33,39483.33,39483.33,39479.17
2022-09-05 06:55:00,BID,39412.5,39415.0,39415.0,39415.0,39415.0
2022-09-05 07:00:00,BID,39365.83,39359.8,39368.63,39367.95,39375.25
2022-09-05 07:05:00,BID,39450.0,39450.0,39450.0,39450.0,39450.0
2022-09-05 07:10:00,BID,39455.0,39456.25,39453.12,39458.33,39454.17
2022-09-05 07:15:00,BID,39478.95,39476.56,39476.79,39472.73,39476.85
2022-09-05 07:20:00,BID,39448.53,39448.53,39448.21,39447.92,39445.37
2022-09-05 07:25:00,BID,39378.43,39370.56,39384.62,39372.58,39371.46
2022-09-05 07:45:00,BID,39500.0,39500.0,39500.0,39500.0,39500.0
2022-09-06 02:15:00,BID,39771.32,39767.5,39779.17,39774.58,39771.13
2022-09-06 02:20:00,BID,39825.0,39828.21,39814.39,39814.26,39812.5
2022-09-06 02:25:00,BID,39686.11,39686.11,39684.38,39682.14,39683.33
2022-09-06 02:30:00,BID,39688.46,39688.46,39686.36,39690.62,39680.21
2022-09-06 02:35:00,BID,39635.71,39635.71,39636.67,39645.0,39637.5
2022-09-06 02:40:00,BID,39572.22,39568.75,39575.0,39558.33,39570.0
2022-09-06 02:45:00,BID,39580.0,39580.0,39580.0,39580.0,39575.0
2022-09-06 02:50:00,BID,39587.5,39587.5,39587.5,39587.5,39587.5
2022-09-06 02:55:00,BID,39538.46,39539.58,39541.67,39542.5,39543.75
2022-09-06 03:00:00,BID,39555.56,39556.25,39555.56,39556.25,39557.14
2022-09-06 03:05:00,BID,39512.5,39514.29,39512.5,39512.5,39515.0
2022-09-06 03:10:00,BID,39521.88,39525.0,39525.0,39525.0,39525.0
2022-09-06 03:15:00,BID,39500.0,39500.0,39500.0,39500.0,39500.0
2022-09-06 03:20:00,BID,39487.5,39489.29,39489.29,39491.67,39489.29
2022-09-06 03:25:00,BID,39503.51,39501.56,39503.21,39503.79,39503.24
2022-09-06 03:30:00,BID,39558.33,39558.33,39560.0,39558.33,39562.5
2022-09-06 03:35:00,BID,39660.0,39655.56,39665.15,39658.33,39648.96
2022-09-06 03:40:00,BID,39884.26,39883.13,39882.6,39878.57,39882.22
2022-09-06 03:45:00,BID,40150.68,40140.33,40151.39,40142.65,40141.54
2022-09-06 03:50:00,BID,40449.7,40444.23,40446.71,40445.94,40447.27
2022-09-06 03:55:00,BID,40302.7,40300.36,40300.25,40299.33,40298.43
2022-09-06 04:00:00,BID,40279.49,40281.06,40281.86,40284.29,40287.17
2022-09-06 04:05:00,BID,40240.2,40234.01,40233.71,40236.81,40234.29
2022-09-06 04:10:00,BID,40115.28,40114.06,40113.1,40115.28,40115.0
2022-09-06 04:15:00,BID,40148.75,40142.71,40145.31,40144.87,40147.0
2022-09-06 04:20:00,BID,40146.15,40147.92,40148.33,40148.33,40148.44
2022-09-06 04:25:00,BID,40167.31,40167.31,40166.67,40170.0,40170.0
2022-09-06 04:30:00,BID,40200.0,40200.0,40200.0,40200.0,40200.0
2022-09-06 06:00:00,BID,40214.82,40215.77,40218.45,40223.0,40214.4
2022-09-06 06:05:00,BID,40167.31,40172.73,40172.22,40175.0,40175.0
