Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,BVH,59096.09,59067.95,59088.64,59070.4,59052.52
2022-09-05 02:20:00,BVH,59062.0,59066.67,59075.56,59073.72,59074.83
2022-09-05 02:25:00,BVH,58919.44,58920.59,58915.38,58925.64,58915.83
2022-09-05 02:30:00,BVH,58938.16,58936.76,58938.67,58946.53,58943.0
2022-09-05 02:35:00,BVH,59017.11,59014.71,59017.86,59018.15,59015.87
2022-09-05 02:40:00,BVH,59096.67,59097.44,59095.83,59096.67,59091.67
2022-09-05 02:45:00,BVH,59169.57,59172.22,59173.33,59171.43,59170.0
2022-09-05 02:50:00,BVH,59271.33,59272.81,59277.45,59282.74,59275.0
2022-09-05 02:55:00,BVH,59895.26,59892.66,59876.78,59874.16,59881.26
2022-09-05 03:00:00,BVH,59861.71,59858.21,59863.06,59860.02,59864.6
2022-09-05 03:05:00,BVH,59790.0,59789.13,59788.24,59786.9,59790.0
2022-09-05 03:10:00,BVH,59757.89,59752.94,59757.14,59748.72,59749.07
2022-09-05 03:15:00,BVH,59656.82,59643.86,59658.72,59637.8,59648.15
2022-09-05 03:20:00,BVH,59756.67,59753.03,59764.81,59753.57,59755.5
2022-09-05 03:25:00,BVH,59951.52,59957.97,59955.26,59954.17,59952.5
2022-09-05 03:30:00,BVH,60203.14,60211.94,60212.39,60212.5,60211.95
2022-09-05 03:35:00,BVH,59988.33,59988.89,59986.25,59986.67,59988.89
2022-09-05 03:40:00,BVH,60005.26,60005.21,60007.14,60008.33,60009.26
2022-09-05 03:45:00,BVH,60000.0,60000.0,60000.0,59993.75,60000.0
2022-09-05 03:50:00,BVH,59955.88,59958.33,59960.61,59954.55,59962.08
2022-09-05 03:55:00,BVH,59887.5,59886.84,59884.38,59880.0,59882.5
2022-09-05 04:00:00,BVH,59754.35,59741.18,59751.92,59741.82,59747.33
2022-09-05 04:05:00,BVH,59709.09,59709.09,59709.09,59705.0,59705.56
2022-09-05 04:10:00,BVH,59704.55,59703.33,59705.0,59703.12,59703.57
2022-09-05 04:15:00,BVH,59689.47,59688.24,59690.0,59688.46,59691.67
2022-09-05 04:20:00,BVH,59620.83,59620.83,59622.73,59625.0,59628.12
2022-09-05 04:25:00,BVH,59680.0,59676.92,59677.27,59683.33,59676.19
2022-09-05 06:00:00,BVH,59637.14,59634.38,59630.91,59623.23,59629.52
2022-09-05 06:05:00,BVH,59646.88,59643.33,59650.0,59642.31,59645.0
2022-09-05 06:10:00,BVH,59644.44,59644.44,59644.44,59644.44,59641.67
2022-09-05 06:15:00,BVH,59686.11,59684.38,59689.29,59683.33,59687.04
2022-09-05 06:20:00,BVH,59692.31,59690.91,59688.89,59696.88,59691.67
2022-09-05 06:25:00,BVH,59700.0,59700.98,59697.62,59696.97,59698.15
2022-09-05 06:30:00,BVH,59793.75,59792.86,59792.31,59791.67,59796.3
2022-09-05 06:35:00,BVH,59773.81,59777.45,59772.44,59777.38,59772.5
2022-09-05 06:40:00,BVH,59696.97,59696.67,59699.02,59705.95,59693.33
2022-09-05 06:45:00,BVH,59660.0,59658.82,59660.26,59657.27,59655.21
2022-09-05 06:50:00,BVH,59704.76,59705.56,59706.25,59707.14,59705.0
2022-09-05 06:55:00,BVH,59706.25,59707.14,59703.03,59705.0,59703.12
2022-09-05 07:00:00,BVH,59643.18,59643.18,59650.93,59650.93,59649.29
2022-09-05 07:05:00,BVH,59607.14,59603.85,59604.55,59603.33,59602.78
2022-09-05 07:10:00,BVH,59686.36,59685.0,59680.0,59683.33,59678.33
2022-09-05 07:15:00,BVH,59708.82,59710.94,59710.0,59708.33,59708.0
2022-09-05 07:20:00,BVH,59756.06,59759.17,59759.22,59762.05,59757.5
