Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,CTG,28163.89,28163.89,28165.62,28168.75,28172.62
2022-09-05 02:20:00,CTG,28192.86,28192.86,28192.86,28188.89,28191.67
2022-09-05 02:25:00,CTG,28250.0,28250.0,28250.0,28250.0,28250.0
2022-09-05 02:30:00,CTG,28232.5,28230.56,28230.95,28232.14,28227.78
2022-09-05 02:35:00,CTG,28212.5,28211.36,28212.5,28215.0,28222.62
2022-09-05 02:40:00,CTG,28262.5,28261.54,28260.42,28259.38,28261.46
2022-09-05 02:45:00,CTG,28250.0,28250.0,28250.0,28250.0,28250.0
2022-09-05 02:50:00,CTG,28291.67,28291.67,28293.18,28290.0,28290.62
2022-09-05 02:55:00,CTG,28315.0,28315.0,28316.67,28316.67,28314.29
2022-09-05 03:00:00,CTG,28323.81,28323.81,28325.0,28325.0,28325.0
2022-09-05 03:05:00,CTG,28287.5,28287.5,28287.5,28289.29,28289.29
2022-09-05 03:10:00,CTG,28241.67,28238.89,28236.11,28235.71,28234.72
2022-09-05 03:15:00,CTG,28215.74,28217.78,28220.19,28221.75,28219.44
2022-09-05 03:20:00,CTG,28203.33,28203.7,28202.88,28202.88,28203.89
2022-09-05 03:25:00,CTG,28195.45,28195.0,28194.44,28195.0,28192.86
2022-09-05 03:30:00,CTG,28195.45,28195.0,28192.86,28192.86,28191.67
2022-09-05 03:35:00,CTG,28230.56,28230.56,28230.56,28230.56,28230.56
2022-09-05 03:40:00,CTG,28275.0,28275.0,28280.0,28275.0,28280.0
2022-09-05 03:45:00,CTG,28290.91,28294.44,28290.0,28294.44,28292.86
2022-09-05 03:50:00,CTG,28295.83,28297.5,28297.22,28297.92,28296.43
2022-09-05 03:55:00,CTG,28238.02,28235.9,28237.92,28236.57,28235.29
2022-09-05 04:00:00,CTG,28201.25,28201.47,28200.96,28201.14,28201.04
2022-09-05 04:05:00,CTG,28180.56,28186.67,28181.82,28185.0,28181.25
2022-09-05 04:10:00,CTG,28176.39,28178.0,28181.88,28178.06,28179.67
2022-09-05 04:15:00,CTG,28152.5,28153.12,28153.57,28152.5,28155.56
2022-09-05 04:20:00,CTG,28150.57,28150.59,28150.76,28150.69,28150.93
2022-09-05 04:25:00,CTG,28153.85,28158.33,28161.9,28163.89,28163.89
2022-09-05 06:00:00,CTG,28119.17,28118.45,28119.44,28120.75,28116.25
2022-09-05 06:05:00,CTG,28069.44,28067.33,28070.24,28068.5,28065.0
2022-09-05 06:10:00,CTG,28044.23,28045.08,28043.94,28044.26,28046.67
2022-09-05 06:15:00,CTG,28062.5,28065.0,28064.58,28061.9,28068.33
2022-09-05 06:20:00,CTG,28057.78,28057.78,28062.15,28062.15,28061.98
2022-09-05 06:25:00,CTG,28054.55,28053.33,28054.55,28053.7,28054.17
2022-09-05 06:30:00,CTG,28071.88,28071.88,28071.88,28069.05,28072.22
2022-09-05 06:35:00,CTG,28052.78,28053.57,28053.85,28054.55,28052.78
2022-09-05 06:40:00,CTG,28021.67,28025.6,28023.47,28024.92,28019.43
2022-09-05 06:45:00,CTG,27967.2,27968.84,27969.52,27967.66,27969.32
2022-09-05 06:50:00,CTG,27980.0,27980.56,27983.33,27980.56,27980.95
2022-09-05 06:55:00,CTG,27997.62,27997.22,27996.67,27996.15,27994.44
2022-09-05 07:00:00,CTG,28073.61,28075.0,28077.31,28074.72,28086.56
2022-09-05 07:05:00,CTG,28180.56,28180.56,28180.56,28183.33,28182.14
2022-09-05 07:10:00,CTG,28120.37,28123.44,28123.44,28127.14,28123.33
2022-09-05 07:15:00,CTG,28071.7,28074.58,28078.98,28078.61,28076.08
2022-09-05 07:20:00,CTG,27994.85,27995.11,27996.86,27998.53,27996.69
2022-09-05 07:25:00,CTG,27972.48,27970.33,27970.51,27972.89,27972.21
2022-09-05 07:45:00,CTG,27950.0,27950.0,27950.0,27950.0,27950.0
2022-09-06 02:15:00,CTG,28171.11,28162.86,28162.31,28172.17,28159.79
2022-09-06 02:20:00,CTG,28195.0,28195.0,28188.96,28186.46,28188.96
2022-09-06 02:25:00,CTG,28057.92,28064.71,28068.44,28062.36,28067.54
2022-09-06 02:30:00,CTG,28088.89,28085.42,28088.89,28086.81,28091.57
2022-09-06 02:35:00,CTG,28134.35,28136.76,28137.62,28139.35,28140.3
2022-09-06 02:40:00,CTG,28129.63,28127.6,28127.43,28131.49,28131.59
2022-09-06 02:45:00,CTG,28126.79,28126.92,28127.5,28125.93,28129.17
2022-09-06 02:50:00,CTG,28100.0,28100.0,28100.0,28100.0,28100.0
2022-09-06 02:55:00,CTG,28133.33,28133.82,28132.35,28132.22,28130.67
2022-09-06 03:00:00,CTG,28179.55,28177.5,28177.5,28175.0,28175.0
2022-09-06 03:05:00,CTG,28140.8,28142.54,28143.33,28145.38,28143.06
2022-09-06 03:10:00,CTG,28150.0,28150.0,28150.0,28150.0,28150.0
2022-09-06 03:15:00,CTG,28159.38,28159.38,28160.71,28160.71,28160.71
2022-09-06 03:20:00,CTG,28150.0,28150.0,28150.0,28150.0,28150.0
2022-09-06 03:25:00,CTG,28145.0,28147.45,28145.12,28148.48,28142.41
2022-09-06 03:30:00,CTG,28155.0,28155.0,28155.56,28155.56,28156.25
2022-09-06 03:35:00,CTG,28178.75,28176.39,28176.39,28173.57,28177.14
2022-09-06 03:40:00,CTG,28277.84,28279.71,28281.43,28281.81,28276.25
2022-09-06 03:45:00,CTG,28418.96,28413.77,28402.43,28406.96,28403.53
2022-09-06 03:50:00,CTG,28558.26,28553.75,28547.91,28551.15,28548.34
2022-09-06 03:55:00,CTG,28528.24,28529.13,28528.19,28526.9,28525.93
2022-09-06 04:00:00,CTG,28501.74,28501.6,28502.08,28502.02,28503.01
2022-09-06 04:05:00,CTG,28481.6,28481.63,28483.77,28483.97,28480.94
2022-09-06 04:10:00,CTG,28456.87,28458.9,28459.65,28459.44,28457.8
2022-09-06 04:15:00,CTG,28424.24,28425.67,28424.71,28424.52,28422.5
2022-09-06 04:20:00,CTG,28415.1,28416.67,28419.5,28417.71,28426.59
2022-09-06 04:25:00,CTG,28462.5,28465.62,28464.29,28466.67,28465.42
2022-09-06 06:00:00,CTG,28478.48,28475.45,28474.55,28473.5,28475.79
2022-09-06 06:05:00,CTG,28423.08,28423.08,28418.33,28420.0,28417.59
2022-09-06 06:10:00,CTG,28420.0,28421.15,28418.06,28415.91,28420.31
2022-09-06 06:15:00,CTG,28392.67,28394.74,28393.57,28394.7,28394.53
2022-09-06 06:20:00,CTG,28351.67,28351.67,28352.08,28352.27,28352.78
2022-09-06 06:25:00,CTG,28340.91,28341.67,28338.89,28340.48,28340.48
2022-09-06 06:30:00,CTG,28360.0,28361.11,28361.11,28360.71,28361.11
2022-09-06 06:35:00,CTG,28343.75,28343.18,28342.5,28342.5,28345.83
2022-09-06 06:40:00,CTG,28341.67,28340.28,28341.67,28340.83,28339.58
2022-09-06 06:45:00,CTG,28371.43,28371.43,28375.0,28370.83,28380.0
2022-09-06 06:50:00,CTG,28342.86,28340.91,28340.91,28338.89,28341.67
2022-09-06 06:55:00,CTG,28369.05,28367.11,28368.61,28366.03,28365.0
2022-09-06 07:00:00,CTG,28435.76,28432.89,28436.9,28434.48,28434.38
2022-09-06 07:05:00,CTG,28454.41,28454.69,28456.25,28456.82,28454.76
2022-09-06 07:10:00,CTG,28401.14,28404.34,28406.57,28406.37,28405.71
2022-09-06 07:15:00,CTG,28317.22,28316.67,28315.2,28314.44,28312.71
2022-09-06 07:20:00,CTG,28331.94,28331.77,28333.93,28332.92,28330.09
2022-09-06 07:25:00,CTG,28310.8,28313.38,28313.81,28314.74,28315.28
2022-09-06 07:45:00,CTG,28250.0,28250.0,28250.0,28250.0,28250.0
2022-09-07 02:15:00,CTG,28313.64,28312.5,28315.48,28311.81,28316.67
2022-09-07 02:20:00,CTG,28318.06,28323.03,28319.44,28316.46,28308.96
2022-09-07 02:25:00,CTG,28247.37,28248.44,28246.53,28246.97,28246.67
2022-09-07 02:30:00,CTG,28251.32,28251.67,28251.92,28250.83,28251.19
2022-09-07 02:35:00,CTG,28250.0,28250.0,28250.0,28250.0,28250.0
2022-09-07 02:40:00,CTG,28286.67,28286.36,28286.76,28286.54,28287.5
2022-09-07 02:45:00,CTG,28265.94,28262.7,28265.28,28262.86,28265.5
2022-09-07 02:50:00,CTG,28264.77,28260.88,28259.17,28260.71,28258.96
2022-09-07 02:55:00,CTG,28254.86,28256.75,28255.95,28260.42,28256.25
2022-09-07 03:00:00,CTG,28250.83,28250.38,28249.56,28250.0,28250.42
2022-09-07 03:05:00,CTG,28251.72,28251.56,28252.83,28251.83,28251.83
2022-09-07 03:10:00,CTG,28250.95,28251.33,28251.25,28251.33,28251.43
2022-09-07 03:15:00,CTG,28224.17,28222.67,28219.78,28219.72,28222.25
2022-09-07 03:20:00,CTG,28141.15,28139.0,28138.12,28138.67,28137.5
2022-09-07 03:25:00,CTG,28112.5,28111.36,28111.25,28111.67,28111.67
2022-09-07 03:30:00,CTG,28157.41,28157.58,28156.48,28159.44,28157.5
2022-09-07 03:35:00,CTG,28198.11,28198.03,28197.66,28197.08,28196.3
2022-09-07 03:40:00,CTG,28209.76,28210.42,28209.12,28207.89,28209.21
2022-09-07 03:45:00,CTG,28151.74,28152.6,28151.75,28151.28,28152.71
2022-09-07 03:50:00,CTG,28134.95,28133.33,28135.09,28135.83,28135.25
2022-09-07 03:55:00,CTG,28117.74,28120.0,28120.0,28120.0,28120.42
2022-09-07 04:00:00,CTG,28146.0,28145.79,28144.67,28147.5,28150.0
2022-09-07 04:05:00,CTG,28103.65,28103.67,28102.58,28104.67,28102.26
2022-09-07 04:10:00,CTG,28121.15,28123.91,28125.0,28124.44,28125.0
2022-09-07 04:15:00,CTG,28086.67,28085.42,28086.4,28086.9,28086.67
2022-09-07 04:20:00,CTG,28098.61,28098.44,28098.33,28097.73,28097.22
2022-09-07 04:25:00,CTG,28057.14,28057.14,28054.17,28055.56,28053.33
2022-09-07 06:00:00,CTG,28096.13,28098.15,28098.77,28098.72,28099.0
2022-09-07 06:05:00,CTG,28106.99,28107.25,28106.46,28106.39,28107.17
2022-09-07 06:10:00,CTG,28075.0,28078.33,28076.54,28079.67,28077.75
2022-09-07 06:15:00,CTG,28092.68,28092.72,28088.16,28090.5,28090.0
2022-09-07 06:20:00,CTG,28140.24,28139.58,28139.82,28141.22,28140.32
2022-09-07 06:25:00,CTG,28138.61,28139.67,28138.42,28140.78,28140.0
2022-09-07 06:30:00,CTG,28118.87,28118.93,28118.13,28119.3,28116.25
2022-09-07 06:35:00,CTG,27968.75,27973.99,27968.42,27967.08,27965.57
2022-09-07 06:40:00,CTG,27844.14,27845.79,27847.14,27847.37,27848.1
2022-09-07 06:45:00,CTG,27943.01,27942.71,27945.2,27941.99,27943.19
2022-09-07 06:50:00,CTG,27929.89,27928.33,27930.35,27931.77,27931.65
2022-09-07 06:55:00,CTG,27823.9,27826.87,27830.5,27832.67,27832.7
2022-09-07 07:00:00,CTG,27843.38,27840.71,27841.67,27841.44,27842.38
2022-09-07 07:05:00,CTG,27833.82,27832.64,27836.32,27832.5,27836.43
2022-09-07 07:10:00,CTG,27871.13,27871.21,27869.44,27874.82,27875.29
2022-09-07 07:15:00,CTG,27845.83,27845.0,27846.99,27844.29,27845.25
2022-09-07 07:20:00,CTG,27824.04,27821.0,27823.3,27823.64,27823.46
2022-09-07 07:25:00,CTG,27728.21,27723.53,27723.99,27721.73,27720.66
