Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,FPT,73535.73502639534,73539.98319133044,73533.23710541351,73537.36632173041,73532.90574854857
2022-09-05 02:20:00,FPT,73630.25669620108,73632.38077866862,73624.94649003222,73622.11721218545,73618.14942613608
2022-09-05 02:25:00,FPT,73526.53350114594,73517.14505663939,73520.5605812472,73526.08319566282,73527.86742493557
2022-09-05 02:30:00,FPT,73418.91049068038,73419.87907228559,73417.72950082844,73418.91049068038,73420.09148053234
2022-09-05 02:35:00,FPT,73418.91049068038,73414.35645786997,73415.36752112453,73415.36752112453,73424.22069684925
2022-09-05 02:40:00,FPT,73493.25337704446,73493.25337704446,73493.25337704446,73499.31975657176,73502.69279953022
2022-09-05 02:45:00,FPT,73440.96696302338,73440.15131535583,73440.15131535583,73436.60834579998,73428.74074434019
2022-09-05 02:50:00,FPT,73469.88846990146,73466.70234620014,73465.9461728417,73465.5213563482,73464.14495090922
2022-09-05 02:55:00,FPT,73498.92042906786,73500.33081982631,73496.08265489123,73501.12097850423,73502.10655276918
2022-09-05 03:00:00,FPT,73576.33049051506,73576.19454923713,73575.85469604233,73575.64228779558,73575.56582082674
2022-09-05 03:05:00,FPT,73529.66864686804,73527.23869652516,73535.73502639534,73527.23869652516,73535.73502639534
2022-09-05 03:10:00,FPT,73529.66864686804,73529.66864686804,73532.46393939533,73535.73502639534,73535.73502639534
2022-09-05 03:15:00,FPT,73504.96981593543,73509.43888544715,73508.35985155363,73513.95043660821,73507.76510846271
2022-09-05 03:20:00,FPT,73443.97466379742,73440.85651073506,73442.10547122598,73440.59312450909,73444.4674509299
2022-09-05 03:25:00,FPT,73473.94121924954,73473.94121924954,73472.01255236901,73476.26071730409,73475.04574213267
2022-09-05 03:30:00,FPT,73423.28610056352,73424.22069684925,73426.49771325446,73418.09484301285,73418.20529530116
2022-09-05 03:35:00,FPT,73425.98793346225,73428.51983976355,73425.98793346225,73421.03457314793,73421.03457314793
2022-09-05 03:40:00,FPT,73392.35945983608,73394.12669644908,73388.23024351918,73392.84375063868,73380.85542919187
2022-09-05 03:45:00,FPT,73345.98649140465,73349.46998665143,73343.92188324619,73348.56087935531,73344.56760431633
2022-09-05 03:50:00,FPT,73311.28748021484,73308.10135651352,73307.6510510304,73312.00117192393,73310.42085456807
2022-09-05 03:55:00,FPT,73305.11914472909,73306.48705383818,73315.13631764603,73313.29261406421,73317.75318724605
2022-09-05 04:00:00,FPT,73243.4612788612,73245.0246035573,73247.08071538589,73247.80290342486,73252.52686283269
2022-09-05 04:05:00,FPT,73240.06274691313,73240.59801569495,73246.01017782226,73244.46384578588,73246.09514112097
