Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,HDB,17594.82078022212,17594.82078022212,17594.82078022212,17591.461493711555,17591.844280779555
2022-09-05 02:20:00,HDB,17568.236878327145,17568.236878327145,17568.236878327145,17567.194113555695,17567.194113555695
2022-09-05 02:25:00,HDB,17502.100512664416,17503.156476989938,17502.60869549607,17504.073845997733,17501.78372336676
2022-09-05 02:30:00,HDB,17458.06020051319,17458.244994270157,17458.244994270157,17458.46938668933,17459.162363277952
2022-09-05 02:35:00,HDB,17450.912641984825,17449.810479220065,17448.16053496144,17448.16053496144,17445.408427938055
2022-09-05 02:40:00,HDB,17459.710144771816,17459.710144771816,17458.244994270157,17458.244994270157,17458.46938668933
2022-09-05 02:45:00,HDB,17431.661092375187,17431.661092375187,17432.842452464363,17430.47973228601,17428.9089853518
2022-09-05 02:50:00,HDB,17427.536231728624,17427.536231728624,17427.536231728624,17428.123611884694,17428.123611884694
2022-09-05 02:55:00,HDB,17421.47103663392,17421.21364532957,17421.72182816123,17421.761426823436,17421.48423618799
2022-09-05 03:00:00,HDB,17403.61203997856,17403.61203997856,17403.61203997856,17403.242452464627,17404.555808094494
2022-09-05 03:05:00,HDB,17415.412441316246,17415.412441316246,17414.613868295073,17413.637101293967,17413.637101293967
2022-09-05 03:10:00,HDB,17390.412485909557,17390.412485909557,17390.412485909557,17390.412485909557,17390.412485909557
2022-09-05 03:15:00,HDB,17392.68940898646,17394.08196194074,17395.48771444909,17396.41168323392,17396.306086801367
2022-09-05 03:20:00,HDB,17390.412485909557,17390.412485909557,17390.412485909557,17390.412485909557,17390.412485909557
2022-09-05 03:25:00,HDB,17403.77043462739,17403.77043462739,17405.539174872632,17405.539174872632,17408.561872754435
2022-09-05 03:30:00,HDB,17417.913756812322,17417.913756812322,17416.53440341211,17413.194916232656,17413.194916232656
2022-09-05 03:35:00,HDB,17435.19857286568,17435.19857286568,17435.19857286568,17435.19857286568,17435.19857286568
2022-09-05 03:40:00,HDB,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064
2022-09-05 03:45:00,HDB,17401.41431422607,17401.41431422607,17401.41431422607,17401.41431422607,17401.41431422607
2022-09-05 03:50:00,HDB,17415.914024370868,17416.079018796732,17416.079018796732,17416.079018796732,17416.343009878114
2022-09-05 03:55:00,HDB,17394.689141427916,17395.60651043571,17396.642675430125,17393.93016706895,17395.500914003158
2022-09-05 04:00:00,HDB,17379.965038863942,17379.410657593045,17379.833043323255,17381.26519493974,17381.159598507187
2022-09-05 04:05:00,HDB,17373.675451350064,17375.562987581932,17377.212931840557,17377.622118016694,17378.49328858525
2022-09-05 04:10:00,HDB,17388.61074677914,17387.937569521622,17387.581181561756,17388.577747893967,17387.112597392308
2022-09-05 04:15:00,HDB,17358.09997754864,17358.19897420416,17358.416766846298,17358.786354360233,17358.786354360233
2022-09-05 04:20:00,HDB,17298.464392264894,17300.622519355176,17296.00927520806,17292.90078022481,17293.072374427706
2022-09-05 04:25:00,HDB,17259.29471556513,17261.155852688862,17260.495874985412,17256.852798062366,17263.142385576244
2022-09-05 04:30:00,HDB,17291.415830392045,17291.415830392045,17291.415830392045,17291.415830392045,17291.415830392045
2022-09-05 06:00:00,HDB,17291.415830392045,17291.415830392045,17291.415830392045,17291.415830392045,17291.415830392045
2022-09-05 06:05:00,HDB,17301.724682119937,17299.66555168517,17303.9554067576,17304.61538446105,17303.9554067576
2022-09-05 06:10:00,HDB,17287.878349901555,17287.290969745485,17288.66372336866,17287.013779110035,17290.04307676887
2022-09-05 06:15:00,HDB,17304.61538446105,17304.61538446105,17304.61538446105,17304.61538446105,17304.61538446105
2022-09-05 06:20:00,HDB,17320.606644215644,17323.041961941373,17322.355585129786,17322.355585129786,17322.527179332683
2022-09-05 06:25:00,HDB,17371.55692292199,17371.55692292199,17371.55692292199,17371.16093629992,17370.613154806055
2022-09-05 06:30:00,HDB,17376.665150346693,17376.665150346693,17376.665150346693,17376.665150346693,17376.665150346693
2022-09-05 06:35:00,HDB,17363.6965884739,17363.221404527416,17365.56432537466,17363.604191595416,17364.745953022386
2022-09-05 06:40:00,HDB,17358.383767961128,17359.472731171816,17358.911750123887,17358.515763501815,17360.713489254304
2022-09-05 06:45:00,HDB,17366.41569661211,17367.313266288806,17366.41569661211,17367.313266288806,17367.722452464943
2022-09-05 06:50:00,HDB,17398.662207202684,17398.662207202684,17398.662207202684,17398.662207202684,17398.662207202684
2022-09-05 06:55:00,HDB,17382.16276461643,17383.344124705607,17383.344124705607,17386.743009878373,17386.743009878373
2022-09-05 07:00:00,HDB,17402.061092375454,17403.242452464627,17400.628940758965,17400.56294298862,17402.087491483588
2022-09-05 07:05:00,HDB,17431.661092375187,17431.661092375187,17432.842452464363,17431.661092375187,17432.842452464363
2022-09-05 07:10:00,HDB,17420.11148256481,17420.11148256481,17419.74189505088,17419.74189505088,17418.69913027943
2022-09-05 07:15:00,HDB,17425.595897280484,17425.114113556963,17425.384704415377,17424.091148116615,17423.879955251512
2022-09-05 07:20:00,HDB,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064
2022-09-05 07:25:00,HDB,17412.98372336755,17412.495339866997,17413.05632091493,17412.508539421066,17410.647402297338
2022-09-05 07:45:00,HDB,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064
2022-09-06 02:15:00,HDB,17432.842452464363,17431.661092375187,17427.813422364074,17432.208873869055,17428.9089853518
2022-09-06 02:20:00,HDB,17484.696900624436,17484.696900624436,17484.696900624436,17484.696900624436,17484.696900624436
2022-09-06 02:25:00,HDB,17440.781984236866,17444.035674314877,17446.32579694585,17447.130969744056,17447.23656617661
2022-09-06 02:30:00,HDB,17384.301092375612,17383.46292069223,17387.02680029086,17389.409319800314,17387.970568406792
2022-09-06 02:35:00,HDB,17318.303322030602,17320.012664282538,17317.81493853005,17319.702474761918,17318.131727827706
2022-09-06 02:40:00,HDB,17320.666042208955,17322.527179332683,17322.57997754896,17322.94956506289,17323.041961941373
2022-09-06 02:45:00,HDB,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054
2022-09-06 02:50:00,HDB,17350.813823702552,17350.813823702552,17350.813823702552,17350.813823702552,17350.813823702552
2022-09-06 02:55:00,HDB,17327.7146040818,17328.084191595735,17326.770835965868,17326.770835965868,17326.61244131704
2022-09-06 03:00:00,HDB,17313.41288724804,17312.72651043645,17311.842140313827,17311.842140313827,17310.20539560927
2022-09-06 03:05:00,HDB,17352.391170413797,17353.631928496285,17355.083879443875,17355.55906339036,17355.76365647843
2022-09-06 03:10:00,HDB,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054
2022-09-06 03:15:00,HDB,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054,17357.413600737054
2022-09-06 03:20:00,HDB,17366.844682119357,17362.911215006796,17364.013377771556,17364.013377771556,17365.66332203018
2022-09-06 03:25:00,HDB,17382.16276461643,17381.529186021122,17382.16276461643,17379.965038863942,17380.981404527258
2022-09-06 03:30:00,HDB,17413.98028969976,17413.98028969976,17413.98028969976,17415.161649788937,17413.98028969976
2022-09-06 03:35:00,HDB,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064,17423.411371082064
2022-09-06 03:40:00,HDB,17435.409765730783,17435.409765730783,17433.720222809952,17432.578461382982,17432.208873869055
2022-09-06 03:45:00,HDB,17549.024927379716,17544.075094603842,17543.850702184667,17537.6403119952,17535.607580668577
2022-09-06 03:50:00,HDB,17670.520222807838,17669.721649786665,17671.094403409843,17667.127937412108,17667.418327601627
2022-09-06 03:55:00,HDB,17576.869386688275,17577.007982006,17576.064213890066,17577.436967513244,17574.50006673289
2022-09-06 04:00:00,HDB,17547.223188249296,17546.385016565917,17545.692039977293,17545.665640869156,17545.784436855774
2022-09-06 04:05:00,HDB,17524.698149230546,17525.991705529308,17526.13030084703,17526.176499286274,17527.060869408895
2022-09-06 04:10:00,HDB,17547.81056840537,17548.477145885852,17548.52994410213,17547.55317710102,17547.935964169024
2022-09-06 04:15:00,HDB,17563.656633065202,17562.475272976026,17562.006688806578,17561.53810463713,17561.78889616444
2022-09-06 04:20:00,HDB,17565.887357702864,17567.880490367286,17569.596432396254,17570.018818126464,17570.55999984329
2022-09-06 04:25:00,HDB,17612.402586242028,17611.505016565334,17614.072329831753,17610.402853800573,17611.973600734782
2022-09-06 06:00:00,HDB,17581.07344465925,17580.406867178768,17579.23870664366,17579.852485907868,17579.23870664366
2022-09-06 06:05:00,HDB,17574.262474759646,17574.909252909027,17576.40740229586,17577.40396862807,17577.40396862807
2022-09-06 06:10:00,HDB,17536.55134878451,17533.409854916084,17533.409854916084,17535.607580668577,17530.6577478927
2022-09-06 06:15:00,HDB,17489.897524927623,17491.851058929835,17490.880891705765,17493.40860630998,17495.111348784878
2022-09-06 06:20:00,HDB,17460.53511690113,17461.1224970572,17461.1224970572,17461.1224970572,17461.907870524305
2022-09-06 06:25:00,HDB,17459.710144771816,17459.710144771816,17459.710144771816,17459.710144771816,17459.710144771816
2022-09-06 06:30:00,HDB,17510.40963195085,17510.40963195085,17506.733556142633,17506.825953021118,17504.991215005528
2022-09-06 06:35:00,HDB,17612.52138222865,17612.237591816163,17612.237591816163,17612.851371080375,17613.84133763555
2022-09-06 06:40:00,HDB,17600.404191593305,17603.07050151524,17600.780378884272,17604.905239530835,17604.905239530835
2022-09-06 06:45:00,HDB,17604.905239530835,17604.905239530835,17604.905239530835,17601.605351013583,17604.905239530835
2022-09-06 06:50:00,HDB,17593.408427936734,17592.682452462937,17592.530657591145,17591.237101292383,17593.903411214324
2022-09-06 06:55:00,HDB,17612.719375539684,17613.15496082396,17614.336320913135,17613.15496082396,17612.851371080375
2022-09-06 07:00:00,HDB,17628.354247334413,17628.19585268559,17629.65440341021,17629.0208248149,17630.571772418007
2022-09-06 07:05:00,HDB,17625.07415814827,17625.52954276365,17625.52954276365,17626.902296386826,17626.354514892962
