Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,HPG,23299.05,23288.37,23280.73,23280.41,23280.4
2022-09-05 02:20:00,HPG,23443.61,23442.66,23441.68,23441.69,23441.65
2022-09-05 02:25:00,HPG,23354.17,23353.82,23352.42,23353.93,23353.27
2022-09-05 02:30:00,HPG,23306.47,23305.06,23304.15,23303.79,23303.3
2022-09-05 02:35:00,HPG,23449.25,23433.88,23429.55,23429.25,23430.55
2022-09-05 02:40:00,HPG,23493.58,23493.54,23493.41,23493.26,23493.87
2022-09-05 02:45:00,HPG,23499.43,23500.21,23499.91,23497.46,23498.47
2022-09-05 02:50:00,HPG,23536.71,23535.91,23535.62,23536.48,23535.98
2022-09-05 02:55:00,HPG,23630.53,23630.93,23629.01,23629.26,23629.22
2022-09-05 03:00:00,HPG,23613.13,23610.42,23612.94,23612.58,23614.41
2022-09-05 03:05:00,HPG,23571.14,23569.58,23567.83,23568.47,23568.12
2022-09-05 03:10:00,HPG,23555.85,23555.62,23554.1,23555.04,23556.03
2022-09-05 03:15:00,HPG,23563.31,23565.73,23565.23,23565.85,23563.57
2022-09-05 03:20:00,HPG,23558.71,23560.03,23559.12,23561.96,23559.15
2022-09-05 03:25:00,HPG,23566.42,23568.5,23568.16,23569.64,23570.55
2022-09-05 03:30:00,HPG,23559.11,23558.85,23558.2,23557.69,23558.65
2022-09-05 03:35:00,HPG,23546.71,23546.5,23546.3,23546.46,23544.98
2022-09-05 03:40:00,HPG,23526.82,23527.88,23528.61,23526.83,23527.83
2022-09-05 03:45:00,HPG,23519.93,23520.97,23518.84,23519.46,23520.85
2022-09-05 03:50:00,HPG,23511.88,23512.4,23514.63,23514.6,23516.69
2022-09-05 03:55:00,HPG,23457.74,23459.59,23460.49,23461.49,23463.56
2022-09-05 04:00:00,HPG,23457.69,23459.23,23459.58,23459.72,23458.71
2022-09-05 04:05:00,HPG,23449.8,23448.88,23449.12,23450.14,23449.88
