Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,MBB,20102.44934637751,20101.974383858786,20100.210237360632,20103.15330868206,20101.092310609707
2022-09-05 02:20:00,MBB,20055.38564965533,20058.3880912916,20058.20998034707,20056.41190795473,20057.234610888965
2022-09-05 02:25:00,MBB,20085.77476938061,20088.37010028653,20086.95369420389,20086.39391694967,20090.63465372406
2022-09-05 02:30:00,MBB,20051.89976402678,20050.941357515767,20050.28828405252,20051.365431193208,20048.439322818875
2022-09-05 02:35:00,MBB,20050.474876470584,20052.179652653893,20054.40179872368,20055.996315750843,20055.45350144372
2022-09-05 02:40:00,MBB,20088.56517417816,20086.368472529022,20084.52799276894,20085.596658436083,20085.01143676122
2022-09-05 02:45:00,MBB,20102.932790369792,20101.838680282,20101.974383858786,20102.10160596201,20101.940457964585
2022-09-05 02:50:00,MBB,20146.89226777312,20145.51826905822,20145.043306539486,20144.50897370592,20145.340158113693
2022-09-05 02:55:00,MBB,20167.76517417667,20166.2215459908,20169.054358156085,20168.426729113475,20166.38269398822
2022-09-05 03:00:00,MBB,20145.42497284918,20145.73030589694,20146.324009045355,20147.03645282345,20145.857528000168
2022-09-05 03:05:00,MBB,20156.37455520066,20156.747740036804,20159.71625577888,20158.138701698805,20157.07003603166
2022-09-05 03:10:00,MBB,20190.45311591966,20190.402227078364,20191.72533695197,20192.972113563646,20190.147782871903
2022-09-05 03:15:00,MBB,20201.97943847245,20203.26014097832,20205.227842841632,20203.89625149448,20206.338915876524
2022-09-05 03:20:00,MBB,20179.16427462623,20180.088755243047,20178.78260831653,20179.986977560464,20179.953051666267
2022-09-05 03:25:00,MBB,20193.98140891595,20195.329963210206,20195.18577815988,20193.08237271978,20192.972113563646
2022-09-05 03:30:00,MBB,20191.43696685132,20192.268151259097,20192.53107693911,20193.98140891595,20192.972113563646
2022-09-05 03:35:00,MBB,20151.743670643024,20150.149153615854,20150.564745819745,20153.210965566963,20148.95326584548
2022-09-05 03:40:00,MBB,20114.7220386026,20113.94174303611,20110.990190241133,20114.3403722929,20108.157378075844
2022-09-05 03:45:00,MBB,20117.58029518853,20116.638851624622,20119.72610799638,20118.95429390344,20120.777810716427
2022-09-05 03:50:00,MBB,20124.94221422888,20123.81417824689,20122.83880878878,20126.15506494636,20119.471663789915
2022-09-05 03:55:00,MBB,20109.21756226944,20110.87144961145,20111.47363423341,20112.57622579476,20114.433668501937
2022-09-05 04:00:00,MBB,20079.9819229468,20079.79533052872,20078.84540549125,20079.22707180096,20078.802998123512
2022-09-05 04:05:00,MBB,20058.71886876,20058.065795296745,20058.25238771482,20057.40424035994,20057.14979615348
2022-09-05 04:10:00,MBB,20067.35300883266,20067.497193882988,20071.050931299927,20069.60908079664,20067.64137893332
2022-09-05 04:15:00,MBB,20030.9335614142,20031.65448666584,20033.435596111085,20032.010708554888,20034.65692830211
2022-09-05 04:20:00,MBB,20013.19880022369,20013.91972547534,20014.05542905212,20014.69153956828,20012.952837490782
2022-09-05 04:25:00,MBB,20011.20565393973,20013.22424464434,20014.581280412145,20016.107945650925,20016.96457447936
2022-09-05 06:00:00,MBB,20029.94971048253,20029.551081225745,20031.87500497811,20030.5688580516,20030.467080369013
2022-09-05 06:05:00,MBB,19988.008823783817,19987.36423179411,19986.762047172146,19987.067380219905,19985.956307185013
2022-09-05 06:10:00,MBB,20013.78402189856,20014.43709536182,20014.04694757857,20014.157206734708,20013.733133057267
2022-09-05 06:15:00,MBB,20037.8374808829,20037.48125899385,20039.499849698463,20036.904518792537,20040.57699683916
2022-09-05 06:20:00,MBB,20026.12456591204,20025.27641855716,20026.43838043334,20029.406896175413,20028.431526717308
2022-09-05 06:25:00,MBB,20032.29907865555,20032.29907865555,20029.8733772206,20034.266780518865,20032.76555970073
2022-09-05 06:30:00,MBB,20023.34264258804,20023.698864477086,20023.113642802226,20023.34264258804,20026.175454753327
2022-09-05 06:35:00,MBB,20020.849089364696,20021.13745946536,20021.57849608989,20022.28245839444,20022.05345860862
2022-09-05 06:40:00,MBB,20009.56872954482,20007.931805149903,20008.15232346217,20009.017433764144,20008.822359872524
2022-09-05 06:45:00,MBB,19991.53711678011,19991.37596878268,19989.94259975294,19990.392117851025,19991.028228367184
2022-09-05 06:50:00,MBB,19985.735788872746,19986.87230632828,19983.912272059755,19985.650974137254,19984.192160686864
2022-09-05 06:55:00,MBB,19978.98453592792,19977.40698184784,19977.754722263344,19978.416277200147,19978.602869618226
2022-09-05 07:00:00,MBB,20015.217390928305,20018.380980562,20014.30139178504,20014.191132628905,20012.65598591657
2022-09-05 07:05:00,MBB,20026.87941705788,20025.997343808805,20028.448489664403,20025.60719602556,20027.871749463084
2022-09-05 07:10:00,MBB,20025.62415897266,20025.32730739845,20026.175454753327,20024.99652993005,20025.11527055973
2022-09-05 07:15:00,MBB,20025.41212213394,20025.67504781395,20025.82771433783,20025.929492020416,20026.27723243592
2022-09-05 07:20:00,MBB,20038.931590970693,20039.771256852026,20039.05033160037,20039.287812859744,20038.804368867462
2022-09-05 07:25:00,MBB,20022.25701397379,20021.875347664096,20023.987234577744,20022.49449523316,20022.35031018283
2022-09-05 07:30:00,MBB,20058.68494286581,20058.68494286581,20058.68494286581,20058.68494286581,20058.68494286581
2022-09-05 07:45:00,MBB,20016.2775751219,20016.2775751219,20016.2775751219,20016.2775751219,20016.2775751219
2022-09-06 02:15:00,MBB,20065.75001033194,20068.93056291273,20064.96971476545,20065.75001033194,20061.161533142047
2022-09-06 02:20:00,MBB,20105.129492018925,20106.39323157769,20106.13878737124,20104.951381074403,20104.07778929888
2022-09-06 02:25:00,MBB,20052.569800437133,20056.81901868508,20061.611051240136,20060.406681996206,20061.73827334337
2022-09-06 02:30:00,MBB,20028.440008190853,20030.102377006413,20030.102377006413,20028.914970709586,20028.898007762487
2022-09-06 02:35:00,MBB,20027.7869347276,20032.044634449085,20034.52970619888,20034.0292992595,20037.175925946096
2022-09-06 02:40:00,MBB,20049.10935922923,20050.322209946706,20052.917540852635,20053.87594736365,20053.01083706168
2022-09-06 02:45:00,MBB,20051.61987539967,20051.077061092547,20049.68609943055,20051.61987539967,20053.38402189782
2022-09-06 02:50:00,MBB,20023.10516132867,20022.33334723573,20021.69723671957,20023.291753746744,20023.113642802226
2022-09-06 02:55:00,MBB,20011.188690992632,20010.97665415392,20012.53724528689,20010.730691421,20009.212507655768
2022-09-06 03:00:00,MBB,20010.747654368097,20010.39143247905,20011.56187582878,20011.383764884256,20012.299764027524
2022-09-06 03:05:00,MBB,19978.857313824683,19978.789462036293,19980.31612727508,19979.23049866083,19980.18042369829
2022-09-06 03:10:00,MBB,19987.1182690612,19988.008823783817,19991.53711678011,19988.008823783817,19989.577896390343
2022-09-06 03:15:00,MBB,19977.61053721301,19976.89809343492,19976.397686495537,19977.084685852988,19976.618204807808
2022-09-06 03:20:00,MBB,19991.77459803948,19991.53711678011,19991.24874667945,19988.712786088367,19995.955964499022
2022-09-06 03:25:00,MBB,20016.2775751219,20016.2775751219,20016.2775751219,20016.2775751219,20016.2775751219
2022-09-06 03:30:00,MBB,20020.73883020856,20020.82364494405,20020.82364494405,20020.1366455866,20020.993274415025
2022-09-06 03:35:00,MBB,20054.64776145659,20053.38402189782,20055.343242287585,20053.93531767849,20056.72572247604
2022-09-06 03:40:00,MBB,20140.57356997928,20135.06061217257,20137.57112834301,20135.70520416228,20131.96487432727
2022-09-06 03:45:00,MBB,20180.733347232755,20182.107345947657,20182.2176051038,20181.19134680439,20181.8529017412
2022-09-06 03:50:00,MBB,20167.824544491512,20168.32495143089,20168.86776573801,20168.74902510833,20167.06969334567
2022-09-06 03:55:00,MBB,20140.056200092804,20140.77712534445,20140.70079208252,20140.768643870902,20140.522681137987
2022-09-06 04:00:00,MBB,20115.96881521427,20117.045962354965,20116.57948130978,20118.02133181308,20117.07140677561
2022-09-06 04:05:00,MBB,20117.94499855113,20117.82625792145,20118.750738538267,20118.44540549051,20117.62270255628
2022-09-06 04:10:00,MBB,20147.536859762826,20147.740415128,20147.536859762826,20147.630155971863,20147.83371133704
2022-09-06 04:15:00,MBB,20140.090125987,20140.21734809023,20140.132533354743,20140.85345860639,20140.83649565929
2022-09-06 04:20:00,MBB,20133.729020825413,20131.91398548597,20129.05572890004,20127.308545348988,20130.25161667041
2022-09-06 04:25:00,MBB,20157.1294063465,20156.671406774865,20160.28451450665,20157.92666486008,20162.0147351106
2022-09-06 04:30:00,MBB,20207.110729969463,20207.110729969463,20200.04566250333,20200.04566250333,20200.04566250333
2022-09-06 06:00:00,MBB,20211.894281050976,20210.138616026376,20208.95120972955,20206.46613797976,20206.177767879097
2022-09-06 06:05:00,MBB,20162.582993838365,20162.05714247834,20163.185178460328,20162.778067729985,20166.272434832084
2022-09-06 06:10:00,MBB,20177.663053808097,20175.49179657961,20176.18727741061,20177.323794866148,20178.485756742328
2022-09-06 06:15:00,MBB,20166.42510135596,20168.41824763993,20169.19854320641,20169.139172891573,20166.36573104112
2022-09-06 06:20:00,MBB,20127.596915449645,20129.361061947795,20124.060140979807,20127.478174819964,20127.596915449645
2022-09-06 06:25:00,MBB,20103.738530356924,20104.417048240823,20106.274490948013,20105.265195595704,20110.557635090147
2022-09-06 06:30:00,MBB,20109.930006047536,20108.946155115875,20108.157378075844,20108.946155115875,20109.930006047536
2022-09-06 06:35:00,MBB,20116.24022236783,20116.24022236783,20117.40218424401,20116.99507351367,20120.72692187513
2022-09-06 06:40:00,MBB,20118.555664646647,20119.64977473444,20116.24022236783,20119.03062716538,20117.58029518853
2022-09-06 06:45:00,MBB,20125.646176533428,20127.596915449645,20128.080359441927,20127.596915449645,20130.77746803044
2022-09-06 06:50:00,MBB,20130.25161667041,20130.25161667041,20129.954765096205,20127.43576745222,20128.18213712451
2022-09-06 06:55:00,MBB,20156.586592039377,20155.704518790302,20157.83336865105,20156.459369936147,20156.92585098133
2022-09-06 07:00:00,MBB,20178.12953485328,20178.010794223595,20176.95061003,20175.576611315097,20179.10490431139
2022-09-06 07:05:00,MBB,20159.122552630462,20158.07933138396,20159.14799705111,20160.208181244707,20157.638294759425
2022-09-06 07:10:00,MBB,20122.448661005536,20124.10254834755,20125.145769594048,20124.76410328436,20126.24836115539
2022-09-06 07:15:00,MBB,20109.650117420428,20110.9138569792,20110.752708981767,20111.541486021804,20112.873077368964
2022-09-06 07:20:00,MBB,20123.97532624432,20124.4587702366,20126.37558325862,20121.651402491952,20125.527435903743
2022-09-06 07:25:00,MBB,20123.262882466217,20123.7632894056,20121.99914290745,20122.24510564037,20122.940586471363
2022-09-06 07:30:00,MBB,20143.499678353608,20143.499678353608,20143.499678353608,20143.499678353608,20143.499678353608
2022-09-06 07:45:00,MBB,20058.68494286581,20058.68494286581,20058.68494286581,20058.68494286581,20058.68494286581
2022-09-07 02:15:00,MBB,20049.372284909245,20052.35776359841,20047.073805577525,20051.61987539967,20048.78706323438
2022-09-07 02:20:00,MBB,20053.892910310744,20052.23054149518,20054.05405830817,20051.33998677256,20051.95065286808
