Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,PDR,55094.74,55079.79,55071.83,55083.62,55078.12
2022-09-05 02:20:00,PDR,55060.64,55037.83,55031.11,55013.59,55019.84
2022-09-05 02:25:00,PDR,54966.15,54961.31,54961.31,54961.31,54961.31
2022-09-05 02:30:00,PDR,55225.0,55225.0,55205.56,55218.75,55191.43
2022-09-05 02:35:00,PDR,55100.0,55100.0,55100.0,55100.0,55100.0
2022-09-05 02:40:00,PDR,55160.0,55160.0,55160.0,55175.0,55166.67
2022-09-05 02:45:00,PDR,55050.0,55050.0,55040.0,55050.0,55050.0
2022-09-05 02:50:00,PDR,55140.0,55140.0,55125.0,55140.0,55111.11
2022-09-05 02:55:00,PDR,55118.18,55130.0,55111.11,55114.29,55100.0
2022-09-05 03:00:00,PDR,55116.67,55116.67,55116.67,55120.0,55120.0
2022-09-05 03:05:00,PDR,55275.0,55275.0,55275.0,55275.0,55275.0
2022-09-05 03:10:00,PDR,55105.16,55105.8,55105.8,55105.8,55106.63
2022-09-05 03:15:00,PDR,54966.18,54970.51,54991.72,54986.36,54998.96
2022-09-05 03:20:00,PDR,54816.67,54818.18,54822.22,54825.0,54820.0
2022-09-05 03:25:00,PDR,55016.67,55016.67,55050.0,55016.67,55050.0
2022-09-05 03:30:00,PDR,55116.67,55116.67,55113.49,55115.74,55115.34
2022-09-05 03:35:00,PDR,55027.78,55029.69,55039.58,55045.56,55052.5
2022-09-05 03:40:00,PDR,54973.33,54973.33,54973.33,54966.67,54950.0
2022-09-05 03:45:00,PDR,55120.0,55133.33,55133.33,55150.0,55150.0
2022-09-05 03:50:00,PDR,55216.67,55216.67,55216.67,55220.0,55220.0
2022-09-05 03:55:00,PDR,54973.68,54978.75,54981.12,54995.0,54984.72
2022-09-05 04:00:00,PDR,54990.91,54986.11,54995.24,54997.22,54997.38
2022-09-05 04:05:00,PDR,55122.22,55125.0,55114.29,55116.67,55116.67
2022-09-05 04:10:00,PDR,55106.67,55110.0,55111.11,55111.11,55114.29
2022-09-05 04:15:00,PDR,55022.73,55025.0,55030.77,55030.0,55037.04
