Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,POW,14121.06,14126.56,14121.24,14124.15,14122.05
2022-09-05 02:20:00,POW,14149.26,14150.27,14150.05,14149.29,14150.42
2022-09-05 02:25:00,POW,14107.67,14107.94,14105.32,14106.73,14106.55
2022-09-05 02:30:00,POW,14055.25,14054.17,14054.46,14056.15,14057.1
2022-09-05 02:35:00,POW,14068.33,14067.92,14068.14,14069.05,14071.5
2022-09-05 02:40:00,POW,14100.0,14100.0,14100.0,14100.0,14100.0
2022-09-05 02:45:00,POW,14111.67,14112.12,14112.75,14109.52,14110.83
2022-09-05 02:50:00,POW,14160.67,14162.22,14160.76,14163.39,14160.8
2022-09-05 02:55:00,POW,14179.31,14176.25,14171.88,14172.12,14167.67
2022-09-05 03:00:00,POW,14150.72,14150.98,14151.19,14150.69,14150.69
2022-09-05 03:05:00,POW,14186.44,14181.3,14179.9,14179.06,14174.72
2022-09-05 03:10:00,POW,14199.77,14200.08,14200.26,14200.23,14200.23
2022-09-05 03:15:00,POW,14157.41,14157.61,14159.28,14158.08,14158.83
2022-09-05 03:20:00,POW,14156.25,14157.29,14159.72,14158.04,14157.67
2022-09-05 03:25:00,POW,14166.18,14168.33,14164.17,14163.86,14165.94
2022-09-05 03:30:00,POW,14170.0,14170.83,14168.18,14168.33,14170.37
2022-09-05 03:35:00,POW,14186.25,14188.02,14189.1,14189.24,14190.37
2022-09-05 03:40:00,POW,14131.94,14133.33,14132.14,14134.62,14135.83
2022-09-05 03:45:00,POW,14118.06,14120.0,14116.07,14119.7,14117.19
2022-09-05 03:50:00,POW,14134.21,14135.29,14137.5,14139.74,14138.33
2022-09-05 03:55:00,POW,14112.18,14112.5,14114.0,14114.24,14113.62
2022-09-05 04:00:00,POW,14058.04,14056.9,14058.71,14057.36,14057.74
2022-09-05 04:05:00,POW,14050.0,14050.0,14050.0,14050.0,14050.0
2022-09-05 04:10:00,POW,14087.5,14085.42,14085.42,14085.83,14084.38
2022-09-05 04:15:00,POW,14100.57,14100.69,14100.93,14100.56,14101.25
2022-09-05 04:20:00,POW,14077.56,14078.95,14079.67,14079.62,14076.17
2022-09-05 04:25:00,POW,14043.95,14045.95,14049.52,14051.53,14048.06
2022-09-05 04:30:00,POW,14050.0,14050.0,14050.0,14050.0,14050.0
2022-09-05 06:00:00,POW,14039.46,14039.41,14040.16,14040.31,14038.11
2022-09-05 06:05:00,POW,14050.0,14050.0,14050.0,14050.0,14050.0
2022-09-05 06:10:00,POW,14023.53,14025.0,14025.64,14023.61,14024.27
2022-09-05 06:15:00,POW,14052.78,14053.57,14052.78,14053.33,14054.17
2022-09-05 06:20:00,POW,14035.23,14035.0,14036.11,14039.29,14038.83
2022-09-05 06:25:00,POW,14084.52,14083.33,14081.94,14081.94,14081.48
2022-09-05 06:30:00,POW,14093.33,14093.04,14090.35,14092.21,14090.42
2022-09-05 06:35:00,POW,14106.09,14108.41,14109.96,14110.54,14110.3
2022-09-05 06:40:00,POW,14082.35,14084.09,14080.88,14077.68,14077.92
2022-09-05 06:45:00,POW,14021.25,14018.06,14020.19,14015.91,14017.96
2022-09-05 06:50:00,POW,14050.0,14050.0,14050.0,14050.0,14053.12
2022-09-05 06:55:00,POW,14061.67,14059.62,14065.62,14062.5,14059.72
2022-09-05 07:00:00,POW,14071.88,14070.83,14072.32,14075.0,14071.56
2022-09-05 07:05:00,POW,14070.31,14073.08,14075.0,14072.5,14076.19
2022-09-05 07:10:00,POW,14057.2,14057.68,14057.29,14058.65,14058.25
2022-09-05 07:15:00,POW,14061.94,14060.67,14061.17,14060.26,14061.16
2022-09-05 07:20:00,POW,14044.13,14044.26,14044.67,14045.34,14044.8
2022-09-05 07:25:00,POW,14014.21,14015.78,14016.9,14016.99,14016.36
2022-09-05 07:30:00,POW,14050.0,14050.0,14050.0,14050.0,14050.0
2022-09-05 07:45:00,POW,14000.0,14000.0,14000.0,14000.0,14000.0
2022-09-06 02:15:00,POW,14128.03,14128.82,14127.6,14126.01,14126.12
2022-09-06 02:20:00,POW,14101.67,14101.89,14102.45,14102.56,14102.0
2022-09-06 02:25:00,POW,14076.1,14075.69,14073.96,14076.79,14070.73
2022-09-06 02:30:00,POW,14107.29,14107.05,14108.66,14110.22,14107.73
2022-09-06 02:35:00,POW,14206.04,14196.03,14197.02,14193.8,14194.86
2022-09-06 02:40:00,POW,14343.23,14342.72,14341.93,14341.95,14340.91
2022-09-06 02:45:00,POW,14331.32,14332.79,14332.58,14332.67,14332.57
2022-09-06 02:50:00,POW,14504.53,14502.26,14502.76,14502.1,14501.91
2022-09-06 02:55:00,POW,14571.31,14569.9,14570.42,14570.48,14570.82
2022-09-06 03:00:00,POW,14547.41,14547.55,14547.67,14547.11,14546.87
2022-09-06 03:05:00,POW,14535.75,14533.58,14532.33,14532.64,14533.87
2022-09-06 03:10:00,POW,14500.17,14500.5,14500.3,14499.82,14499.45
2022-09-06 03:15:00,POW,14504.54,14504.5,14504.19,14504.56,14504.49
2022-09-06 03:20:00,POW,14520.71,14522.18,14519.34,14518.43,14518.68
2022-09-06 03:25:00,POW,14540.57,14541.61,14545.36,14544.89,14545.72
2022-09-06 03:30:00,POW,14544.59,14541.99,14541.8,14542.1,14541.11
2022-09-06 03:35:00,POW,14522.41,14523.33,14522.45,14525.28,14524.25
2022-09-06 03:40:00,POW,14497.77,14497.69,14497.93,14496.69,14496.28
2022-09-06 03:45:00,POW,14492.19,14491.7,14491.87,14492.6,14492.65
2022-09-06 03:50:00,POW,14486.36,14487.84,14488.3,14487.77,14486.2
2022-09-06 03:55:00,POW,14470.0,14471.44,14469.49,14471.44,14469.68
2022-09-06 04:00:00,POW,14459.94,14462.93,14461.4,14461.39,14459.24
2022-09-06 04:05:00,POW,14456.13,14455.07,14456.13,14454.44,14454.42
2022-09-06 04:10:00,POW,14465.13,14463.33,14466.46,14465.4,14464.65
2022-09-06 04:15:00,POW,14457.22,14456.42,14457.6,14458.57,14455.96
2022-09-06 04:20:00,POW,14454.81,14454.61,14453.61,14453.27,14453.47
2022-09-06 04:25:00,POW,14476.67,14478.33,14479.17,14478.61,14478.17
2022-09-06 04:30:00,POW,14500.0,14500.0,14500.0,14500.0,14500.0
2022-09-06 06:00:00,POW,14456.33,14457.41,14459.67,14458.29,14460.14
2022-09-06 06:05:00,POW,14401.16,14401.1,14397.27,14399.87,14398.33
2022-09-06 06:10:00,POW,14379.85,14379.29,14377.83,14380.39,14379.17
2022-09-06 06:15:00,POW,14341.05,14339.49,14341.04,14338.56,14340.33
2022-09-06 06:20:00,POW,14361.36,14362.5,14362.62,14361.56,14362.34
2022-09-06 06:25:00,POW,14406.57,14405.73,14406.72,14407.36,14408.21
2022-09-06 06:30:00,POW,14418.75,14419.32,14419.12,14423.21,14421.67
2022-09-06 06:35:00,POW,14397.92,14397.62,14398.96,14396.15,14398.33
2022-09-06 06:40:00,POW,14393.8,14392.05,14390.12,14391.9,14390.94
2022-09-06 06:45:00,POW,14416.91,14417.36,14416.18,14417.33,14417.83
2022-09-06 06:50:00,POW,14425.0,14424.31,14426.76,14425.6,14427.36
2022-09-06 06:55:00,POW,14399.04,14397.2,14396.57,14396.03,14397.66
2022-09-06 07:00:00,POW,14406.71,14408.45,14407.93,14409.45,14409.15
2022-09-06 07:05:00,POW,14402.35,14401.99,14403.75,14403.19,14403.0
2022-09-06 07:10:00,POW,14371.85,14372.28,14375.0,14374.63,14377.72
2022-09-06 07:15:00,POW,14357.11,14356.32,14357.7,14356.02,14358.42
2022-09-06 07:20:00,POW,14342.01,14341.22,14341.91,14341.77,14340.06
2022-09-06 07:25:00,POW,14344.86,14346.11,14344.92,14345.29,14344.07
2022-09-06 07:30:00,POW,14350.0,14350.0,14350.0,14350.0,14350.0
2022-09-07 02:15:00,POW,14316.83,14316.73,14315.26,14315.91,14313.34
2022-09-07 02:20:00,POW,14381.38,14379.14,14379.22,14379.2,14379.16
2022-09-07 02:25:00,POW,14426.87,14424.26,14423.84,14423.99,14423.57
2022-09-07 02:30:00,POW,14416.13,14416.11,14413.88,14416.03,14416.22
2022-09-07 02:35:00,POW,14400.76,14399.64,14400.0,14400.6,14398.58
2022-09-07 02:40:00,POW,14393.28,14393.75,14392.54,14393.06,14393.0
2022-09-07 02:45:00,POW,14377.0,14378.07,14377.34,14381.41,14377.87
2022-09-07 02:50:00,POW,14345.88,14345.59,14345.77,14344.63,14344.57
2022-09-07 02:55:00,POW,14306.83,14307.63,14310.09,14309.82,14309.6
2022-09-07 03:00:00,POW,14334.4,14332.0,14333.47,14334.05,14332.28
2022-09-07 03:05:00,POW,14342.6,14343.3,14342.27,14342.32,14340.54
