Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,SHB,13214.847457336393,13214.288135302508,13213.483050556762,13213.525423438115,13213.627118353368
2022-09-05 02:20:00,SHB,13218.067796319372,13218.110169200729,13218.483050556652,13218.067796319372,13217.61864377701
2022-09-05 02:25:00,SHB,13202.177965811248,13200.779660726534,13199.1525420825,13201.076270896016,13200.915253946869
2022-09-05 02:30:00,SHB,13166.194914964582,13165.525423439172,13162.584745473136,13161.220338693503,13166.52542343915
2022-09-05 02:35:00,SHB,13178.847457337186,13178.711864116847,13178.669491235494,13178.847457337186,13178.813559032102
2022-09-05 02:40:00,SHB,13185.025423438745,13185.66949123534,13186.440677676,13187.381355642085,13190.07627089626
2022-09-05 02:45:00,SHB,13187.381355642085,13186.440677676,13187.932203099695,13186.26271157431,13191.24576242166
2022-09-05 02:50:00,SHB,13206.999999709447,13207.983050556884,13208.457626828058,13205.92372852303,13205.15254208237
2022-09-05 02:55:00,SHB,13218.415253946485,13217.516948861758,13216.483050556695,13216.483050556695,13215.042372590626
2022-09-05 03:00:00,SHB,13190.51694886235,13190.51694886235,13188.050847167491,13190.457626828456,13189.974575981008
2022-09-05 03:05:00,SHB,13193.271186150429,13193.271186150429,13195.889830218166,13196.94915225204,13195.855931913082
2022-09-05 03:10:00,SHB,13175.288135303364,13176.52542343893,13175.322033608449,13176.957626828753,13175.720338693189
2022-09-05 03:15:00,SHB,13185.533898015005,13186.118643777703,13187.593220048857,13187.593220048857,13187.677965811568
2022-09-05 03:20:00,SHB,13199.1525420825,13199.1525420825,13201.27118615025,13201.27118615025,13199.1525420825
2022-09-05 03:25:00,SHB,13190.32203360812,13191.033898014884,13190.32203360812,13191.033898014884,13192.483050557224
2022-09-05 03:30:00,SHB,13181.703389540511,13180.788135303244,13181.499999710008,13181.17796581171,13181.499999710008
2022-09-05 03:35:00,SHB,13189.73728784542,13189.881355642026,13188.55932174375,13190.32203360812,13191.305084455556
2022-09-05 03:40:00,SHB,13191.203389540304,13191.152542082677,13191.822033608089,13195.296609879197,13191.737287845375
2022-09-05 03:45:00,SHB,13185.025423438745,13184.32203360825,13182.677965811676,13183.262711574376,13183.008474286247
2022-09-05 03:50:00,SHB,13182.949152252348,13183.618643777758,13178.669491235494,13180.93220309985,13181.26271157442
2022-09-05 03:55:00,SHB,13177.966101405002,13177.966101405002,13177.966101405002,13177.966101405002,13177.966101405002
2022-09-05 04:00:00,SHB,13173.508474286456,13172.669491235623,13173.7288132695,13172.669491235623,13174.042372591528
2022-09-05 04:05:00,SHB,13175.847457337251,13174.940677676252,13176.203389540631,13176.042372591484,13175.949152252504
2022-09-05 04:10:00,SHB,13162.830508184994,13162.076270896876,13160.635592930805,13163.13559293075,13161.822033608749
