Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,STB,24749.24,24749.24,24744.17,24748.96,24741.67
2022-09-05 02:20:00,STB,24794.64,24794.23,24795.0,24795.83,24795.83
2022-09-05 02:25:00,STB,24753.33,24753.57,24753.85,24752.27,24753.12
2022-09-05 02:30:00,STB,24719.23,24722.73,24722.73,24721.67,24720.83
2022-09-05 02:35:00,STB,24737.78,24735.42,24730.0,24737.0,24726.04
2022-09-05 02:40:00,STB,24787.5,24786.11,24787.5,24787.5,24784.38
2022-09-05 02:45:00,STB,24754.17,24753.33,24753.33,24753.33,24753.33
2022-09-05 02:50:00,STB,24789.47,24787.78,24786.9,24783.33,24785.19
2022-09-05 02:55:00,STB,24820.0,24819.23,24818.27,24817.5,24823.61
2022-09-05 03:00:00,STB,24768.75,24770.0,24767.5,24769.44,24765.48
2022-09-05 03:05:00,STB,24750.0,24750.0,24750.0,24750.0,24750.0
2022-09-05 03:10:00,STB,24750.0,24750.0,24750.0,24750.0,24750.0
2022-09-05 03:15:00,STB,24732.83,24733.33,24734.31,24734.29,24737.5
2022-09-05 03:20:00,STB,24721.4,24721.85,24720.64,24720.53,24718.63
2022-09-05 03:25:00,STB,24736.84,24735.94,24733.93,24731.82,24735.19
2022-09-05 03:30:00,STB,24792.86,24794.7,24794.44,24795.0,24794.79
2022-09-05 03:35:00,STB,24822.73,24823.33,24823.21,24825.0,24826.83
2022-09-05 03:40:00,STB,24806.25,24806.25,24806.94,24804.51,24805.06
2022-09-05 03:45:00,STB,24784.21,24785.0,24785.07,24784.62,24783.8
2022-09-05 03:50:00,STB,24777.5,24778.12,24778.21,24779.58,24781.57
2022-09-05 03:55:00,STB,24751.95,24751.53,24751.47,24751.44,24751.36
2022-09-05 04:00:00,STB,24750.0,24750.0,24750.0,24750.0,24750.0
2022-09-05 04:05:00,STB,24720.34,24721.5,24724.81,24720.06,24719.05
2022-09-05 04:10:00,STB,24703.33,24702.69,24701.74,24702.62,24702.24
2022-09-05 04:15:00,STB,24721.72,24718.54,24718.84,24717.48,24717.65
