Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,TCB,38841.67,38843.75,38838.19,38841.67,38843.52
2022-09-05 02:20:00,TCB,38785.71,38787.5,38788.75,38788.75,38789.58
2022-09-05 02:25:00,TCB,38821.88,38825.0,38820.83,38827.27,38826.39
2022-09-05 02:30:00,TCB,38825.0,38826.39,38826.39,38831.94,38826.79
2022-09-05 02:35:00,TCB,38840.0,38840.0,38838.89,38837.5,38835.71
2022-09-05 02:40:00,TCB,38834.09,38832.5,38831.48,38833.33,38826.19
2022-09-05 02:45:00,TCB,38823.21,38820.83,38821.97,38821.97,38818.52
2022-09-05 02:50:00,TCB,38830.77,38829.55,38827.5,38825.0,38821.43
2022-09-05 02:55:00,TCB,38842.11,38842.86,38843.06,38845.83,38844.44
2022-09-05 03:00:00,TCB,38824.48,38823.33,38821.54,38823.18,38826.56
2022-09-05 03:05:00,TCB,38792.86,38795.56,38797.62,38800.3,38796.2
2022-09-05 03:10:00,TCB,38766.67,38764.29,38761.54,38761.54,38766.67
2022-09-05 03:15:00,TCB,38707.66,38708.22,38708.3,38709.18,38707.38
2022-09-05 03:20:00,TCB,38733.21,38734.08,38736.81,38731.69,38731.57
2022-09-05 03:25:00,TCB,38817.5,38813.89,38819.44,38815.62,38820.83
2022-09-05 03:30:00,TCB,38835.0,38838.89,38838.89,38838.89,38842.86
2022-09-05 03:35:00,TCB,38810.0,38805.56,38804.76,38804.76,38804.76
2022-09-05 03:40:00,TCB,38804.17,38804.17,38804.17,38804.17,38806.25
2022-09-05 03:45:00,TCB,38760.0,38758.33,38756.25,38756.25,38755.95
2022-09-05 03:50:00,TCB,38790.28,38790.42,38792.19,38790.24,38794.1
2022-09-05 03:55:00,TCB,38744.04,38747.37,38748.53,38751.67,38756.75
2022-09-05 04:00:00,TCB,38701.35,38701.14,38701.78,38701.51,38701.25
2022-09-05 04:05:00,TCB,38700.0,38700.0,38700.0,38700.0,38700.0
2022-09-05 04:10:00,TCB,38709.52,38711.67,38712.5,38713.64,38712.5
2022-09-05 04:15:00,TCB,38700.0,38700.0,38700.0,38700.0,38700.0
2022-09-05 04:20:00,TCB,38692.93,38693.83,38692.69,38693.29,38693.22
2022-09-05 04:25:00,TCB,38658.0,38661.15,38661.92,38660.15,38660.45
2022-09-05 06:00:00,TCB,38675.42,38674.48,38678.73,38679.17,38677.78
2022-09-05 06:05:00,TCB,38654.44,38656.25,38656.67,38657.5,38660.0
2022-09-05 06:10:00,TCB,38661.54,38662.5,38662.5,38660.0,38660.0
2022-09-05 06:15:00,TCB,38682.5,38683.65,38686.46,38686.67,38684.38
2022-09-05 06:20:00,TCB,38708.33,38711.11,38713.89,38713.89,38715.62
2022-09-05 06:25:00,TCB,38708.33,38710.0,38708.33,38710.0,38710.0
2022-09-05 06:30:00,TCB,38705.0,38705.56,38705.56,38707.14,38706.25
2022-09-05 06:35:00,TCB,38700.0,38700.0,38700.0,38700.0,38700.0
2022-09-05 06:40:00,TCB,38629.46,38623.0,38620.54,38619.39,38617.13
2022-09-05 06:45:00,TCB,38590.79,38589.71,38594.05,38593.56,38594.38
2022-09-05 06:50:00,TCB,38615.62,38615.0,38614.39,38613.33,38614.58
2022-09-05 06:55:00,TCB,38604.69,38606.25,38606.82,38608.33,38605.36
2022-09-05 07:00:00,TCB,38650.3,38648.96,38645.26,38646.53,38640.74
2022-09-05 07:05:00,TCB,38640.0,38640.0,38640.62,38638.89,38642.86
2022-09-05 07:10:00,TCB,38688.46,38691.67,38688.64,38690.91,38690.62
2022-09-05 07:15:00,TCB,38700.59,38701.07,38700.59,38700.56,38700.57
2022-09-05 07:20:00,TCB,38710.0,38710.06,38711.4,38710.49,38709.68
2022-09-05 07:25:00,TCB,38698.77,38699.94,38699.31,38699.79,38697.54
2022-09-05 07:30:00,TCB,38700.0,38700.0,38700.0,38700.0,38700.0
2022-09-05 07:45:00,TCB,38600.0,38600.0,38600.0,38600.0,38600.0
2022-09-06 02:15:00,TCB,38714.29,38714.29,38714.29,38714.29,38735.83
2022-09-06 02:20:00,TCB,38827.45,38827.78,38825.0,38825.83,38826.25
2022-09-06 02:25:00,TCB,38745.7,38750.55,38753.37,38755.93,38757.22
2022-09-06 02:30:00,TCB,38707.83,38707.14,38708.71,38709.58,38707.5
2022-09-06 02:35:00,TCB,38634.67,38637.04,38639.42,38638.21,38641.11
