Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:00:00,VN30F1M,1294.13,1294.13,1294.13,1294.14,1294.14
2022-09-05 02:05:00,VN30F1M,1294.15,1294.15,1294.15,1294.15,1294.15
2022-09-05 02:10:00,VN30F1M,1293.33,1293.32,1293.32,1293.32,1293.31
2022-09-05 02:15:00,VN30F1M,1293.97,1293.97,1293.97,1293.97,1293.97
2022-09-05 02:20:00,VN30F1M,1294.13,1294.15,1294.15,1294.15,1294.14
2022-09-05 02:25:00,VN30F1M,1293.69,1293.7,1293.71,1293.71,1293.71
2022-09-05 02:30:00,VN30F1M,1293.5,1293.5,1293.5,1293.5,1293.5
2022-09-05 02:35:00,VN30F1M,1293.92,1293.92,1293.92,1293.92,1293.93
2022-09-05 02:40:00,VN30F1M,1293.81,1293.82,1293.82,1293.81,1293.81
2022-09-05 02:45:00,VN30F1M,1294.01,1294.01,1294.0,1294.0,1293.99
2022-09-05 02:50:00,VN30F1M,1294.63,1294.63,1294.63,1294.63,1294.62
2022-09-05 02:55:00,VN30F1M,1294.58,1294.58,1294.58,1294.58,1294.58
2022-09-05 03:00:00,VN30F1M,1294.53,1294.53,1294.53,1294.53,1294.53
2022-09-05 03:05:00,VN30F1M,1294.27,1294.28,1294.29,1294.29,1294.29
2022-09-05 03:10:00,VN30F1M,1294.22,1294.23,1294.23,1294.22,1294.23
2022-09-05 03:15:00,VN30F1M,1294.2,1294.19,1294.19,1294.19,1294.19
2022-09-05 03:20:00,VN30F1M,1294.49,1294.49,1294.49,1294.49,1294.49
2022-09-05 03:25:00,VN30F1M,1295.92,1295.93,1295.92,1295.93,1295.93
2022-09-05 03:30:00,VN30F1M,1296.8,1296.8,1296.81,1296.81,1296.81
2022-09-05 03:35:00,VN30F1M,1296.81,1296.82,1296.82,1296.82,1296.82
2022-09-05 03:40:00,VN30F1M,1296.45,1296.45,1296.45,1296.45,1296.45
2022-09-05 03:45:00,VN30F1M,1296.79,1296.79,1296.79,1296.79,1296.79
2022-09-05 03:50:00,VN30F1M,1297.63,1297.63,1297.63,1297.63,1297.63
2022-09-05 03:55:00,VN30F1M,1293.44,1293.46,1293.46,1293.47,1293.44
2022-09-05 04:00:00,VN30F1M,1291.06,1291.04,1291.04,1291.05,1291.08
2022-09-05 04:05:00,VN30F1M,1290.99,1291.0,1291.0,1291.01,1291.0
2022-09-05 04:10:00,VN30F1M,1291.06,1291.07,1291.07,1291.08,1291.07
2022-09-05 04:15:00,VN30F1M,1287.99,1287.99,1287.98,1287.97,1287.98
2022-09-05 04:20:00,VN30F1M,1287.13,1287.12,1287.12,1287.12,1287.12
2022-09-05 04:25:00,VN30F1M,1287.25,1287.25,1287.25,1287.25,1287.24
2022-09-05 04:30:00,VN30F1M,1286.9,1286.93,1286.9,1286.9,1286.9
2022-09-05 06:00:00,VN30F1M,1286.7,1286.71,1286.7,1286.7,1286.71
2022-09-05 06:05:00,VN30F1M,1285.56,1285.55,1285.56,1285.56,1285.58
2022-09-05 06:10:00,VN30F1M,1286.82,1286.82,1286.83,1286.82,1286.83
2022-09-05 06:15:00,VN30F1M,1287.37,1287.38,1287.38,1287.37,1287.39
2022-09-05 06:20:00,VN30F1M,1286.59,1286.58,1286.59,1286.58,1286.59
2022-09-05 06:25:00,VN30F1M,1288.13,1288.13,1288.12,1288.14,1288.13
2022-09-05 06:30:00,VN30F1M,1288.29,1288.28,1288.28,1288.28,1288.29
2022-09-05 06:35:00,VN30F1M,1287.77,1287.76,1287.77,1287.77,1287.77
2022-09-05 06:40:00,VN30F1M,1284.57,1284.6,1284.59,1284.61,1284.62
2022-09-05 06:45:00,VN30F1M,1283.98,1283.97,1283.98,1283.97,1283.98
2022-09-05 06:50:00,VN30F1M,1285.64,1285.64,1285.64,1285.64,1285.62
2022-09-05 06:55:00,VN30F1M,1285.03,1285.04,1285.02,1285.03,1285.03
2022-09-05 07:00:00,VN30F1M,1288.36,1288.52,1288.49,1288.48,1288.47
2022-09-05 07:05:00,VN30F1M,1288.81,1288.82,1288.82,1288.83,1288.83
2022-09-05 07:10:00,VN30F1M,1289.42,1289.4,1289.4,1289.41,1289.4
2022-09-05 07:15:00,VN30F1M,1291.43,1291.49,1291.47,1291.47,1291.47
