Date,Symbol,twap_5S,twap_10S,twap_15S,twap_20S,twap_30S
2022-09-05 02:15:00,VRE,27900.0,27890.91,27891.67,27900.0,27900.0
2022-09-05 02:20:00,VRE,28000.0,28000.0,28000.0,28000.0,28000.0
2022-09-05 02:25:00,VRE,27916.67,27916.67,27916.67,27910.0,27920.0
2022-09-05 02:30:00,VRE,27846.88,27846.88,27840.48,27840.48,27838.89
2022-09-05 02:35:00,VRE,27820.0,27820.0,27820.0,27820.0,27825.0
2022-09-05 02:40:00,VRE,27850.0,27850.0,27850.0,27850.0,27850.0
2022-09-05 02:45:00,VRE,27833.33,27833.33,27833.33,27833.33,27833.33
2022-09-05 02:50:00,VRE,27845.0,27845.0,27845.0,27845.0,27845.0
2022-09-05 02:55:00,VRE,27800.0,27800.0,27800.0,27800.0,27800.0
2022-09-05 03:00:00,VRE,27837.5,27837.5,27836.36,27840.0,27835.71
2022-09-05 03:05:00,VRE,27854.55,27852.78,27852.78,27853.12,27852.38
2022-09-05 03:10:00,VRE,27807.14,27808.33,27808.33,27808.33,27808.33
2022-09-05 03:15:00,VRE,27761.11,27763.02,27763.75,27766.5,27768.33
2022-09-05 03:20:00,VRE,27752.38,27756.67,27759.03,27757.04,27757.4
2022-09-05 03:25:00,VRE,27719.23,27719.09,27723.33,27721.48,27723.96
2022-09-05 03:30:00,VRE,27756.82,27755.56,27755.21,27757.14,27752.0
2022-09-05 03:35:00,VRE,27710.0,27710.42,27710.42,27710.42,27710.42
2022-09-05 03:40:00,VRE,27729.17,27729.17,27727.27,27725.0,27725.0
2022-09-05 03:45:00,VRE,27790.0,27790.0,27790.0,27788.89,27789.29
2022-09-05 03:50:00,VRE,27883.33,27876.67,27873.08,27869.7,27855.06
2022-09-05 03:55:00,VRE,27835.87,27834.56,27837.95,27840.68,27840.17
2022-09-05 04:00:00,VRE,27783.33,27786.03,27787.18,27789.29,27791.11
2022-09-05 04:05:00,VRE,27778.43,27779.0,27780.0,27777.14,27778.0
2022-09-05 04:10:00,VRE,27800.0,27800.0,27800.0,27800.0,27800.0
2022-09-05 04:15:00,VRE,27761.96,27765.1,27763.33,27762.78,27760.23
2022-09-05 04:20:00,VRE,27703.27,27705.64,27706.84,27705.51,27703.81
2022-09-05 04:25:00,VRE,27666.67,27669.05,27669.23,27671.0,27673.33
2022-09-05 04:30:00,VRE,27650.0,27650.0,27650.0,27650.0,27650.0
2022-09-05 06:00:00,VRE,27666.67,27670.45,27672.5,27676.04,27680.0
2022-09-05 06:05:00,VRE,27640.33,27642.12,27642.14,27640.21,27641.67
2022-09-05 06:10:00,VRE,27636.36,27636.36,27635.0,27637.5,27634.38
2022-09-05 06:15:00,VRE,27646.88,27646.43,27647.92,27646.97,27646.88
2022-09-05 06:20:00,VRE,27671.15,27670.45,27675.0,27675.0,27671.43
2022-09-05 06:25:00,VRE,27675.0,27675.0,27670.0,27670.0,27670.0
2022-09-05 06:30:00,VRE,27661.11,27659.38,27659.38,27659.38,27658.33
2022-09-05 06:35:00,VRE,27653.57,27657.73,27654.58,27653.12,27654.05
2022-09-05 06:40:00,VRE,27613.33,27617.05,27617.05,27618.75,27613.33
2022-09-05 06:45:00,VRE,27614.29,27613.64,27614.17,27614.58,27612.96
2022-09-05 06:50:00,VRE,27628.57,27628.57,27629.17,27628.57,27629.17
2022-09-05 06:55:00,VRE,27633.33,27633.33,27631.82,27635.0,27636.9
2022-09-05 07:00:00,VRE,27613.24,27613.1,27614.1,27614.93,27617.08
2022-09-05 07:05:00,VRE,27628.57,27628.57,27631.82,27632.5,27631.02
2022-09-05 07:10:00,VRE,27648.33,27648.08,27647.92,27648.75,27648.21
2022-09-05 07:15:00,VRE,27633.23,27634.09,27631.96,27633.3,27633.55
2022-09-05 07:20:00,VRE,27631.19,27631.16,27634.58,27628.27,27629.45
2022-09-05 07:25:00,VRE,27624.24,27625.11,27627.08,27624.38,27625.42
2022-09-05 07:45:00,VRE,27550.0,27550.0,27550.0,27550.0,27550.0
2022-09-06 02:15:00,VRE,27643.75,27643.75,27643.75,27638.89,27643.75
2022-09-06 02:20:00,VRE,27700.0,27700.0,27700.0,27700.0,27700.0
2022-09-06 02:25:00,VRE,27757.14,27759.17,27761.46,27762.5,27764.76
2022-09-06 02:30:00,VRE,27728.26,27730.28,27733.33,27735.0,27738.1
2022-09-06 02:35:00,VRE,27754.69,27755.95,27758.18,27756.36,27755.0
2022-09-06 02:40:00,VRE,27777.78,27778.57,27781.25,27780.0,27779.17
2022-09-06 02:45:00,VRE,27766.67,27770.0,27770.0,27770.0,27770.0
2022-09-06 02:50:00,VRE,27744.44,27742.86,27742.86,27741.67,27741.67
2022-09-06 02:55:00,VRE,27825.76,27831.48,27834.52,27840.28,27840.28
2022-09-06 03:00:00,VRE,27895.14,27894.7,27892.92,27894.7,27891.15
2022-09-06 03:05:00,VRE,27785.32,27784.64,27785.76,27782.67,27785.24
2022-09-06 03:10:00,VRE,27705.21,27705.68,27706.25,27707.81,27708.93
2022-09-06 03:15:00,VRE,27766.67,27770.0,27770.0,27775.0,27775.0
2022-09-06 03:20:00,VRE,27716.67,27718.75,27719.29,27720.24,27721.11
2022-09-06 03:25:00,VRE,27731.25,27730.0,27730.77,27727.08,27724.07
2022-09-06 03:30:00,VRE,27687.5,27687.5,27689.58,27692.71,27694.64
2022-09-06 03:35:00,VRE,27654.76,27654.76,27668.75,27654.76,27668.75
2022-09-06 03:40:00,VRE,27675.0,27675.0,27675.0,27675.0,27675.0
2022-09-06 03:45:00,VRE,27670.0,27672.22,27678.75,27675.0,27682.86
2022-09-06 03:50:00,VRE,27540.89,27544.88,27546.52,27545.99,27545.21
2022-09-06 03:55:00,VRE,27542.5,27544.02,27543.28,27546.06,27544.88
2022-09-06 04:00:00,VRE,27587.9,27588.69,27591.56,27589.02,27589.48
2022-09-06 04:05:00,VRE,27618.75,27617.36,27616.96,27615.91,27619.26
2022-09-06 04:10:00,VRE,27643.06,27643.45,27645.83,27644.4,27641.96
2022-09-06 04:15:00,VRE,27655.83,27658.12,27656.54,27658.88,27657.3
2022-09-06 04:20:00,VRE,27707.29,27709.72,27710.19,27709.38,27715.33
2022-09-06 04:25:00,VRE,27761.11,27761.11,27761.11,27761.11,27764.29
2022-09-06 04:30:00,VRE,27800.0,27800.0,27800.0,27800.0,27800.0
2022-09-06 06:00:00,VRE,27819.7,27819.7,27823.33,27819.44,27819.44
