Date,Symbol,vwap
2022-09-05 02:15:00,VJC,121042.7
2022-09-05 02:20:00,VJC,120817.02
2022-09-05 02:25:00,VJC,120751.72
2022-09-05 02:30:00,VJC,120771.77
2022-09-05 02:35:00,VJC,120836.05
2022-09-05 02:40:00,VJC,120797.22
2022-09-05 02:45:00,VJC,120795.83
2022-09-05 02:50:00,VJC,120650.59
2022-09-05 02:55:00,VJC,120583.56
2022-09-05 03:00:00,VJC,120505.56
2022-09-05 03:05:00,VJC,120511.83
2022-09-05 03:10:00,VJC,120386.79
2022-09-05 03:15:00,VJC,120238.46
2022-09-05 03:20:00,VJC,120374.58
2022-09-05 03:25:00,VJC,120583.33
2022-09-05 03:30:00,VJC,120316.87
2022-09-05 03:35:00,VJC,120329.09
2022-09-05 03:40:00,VJC,120375.51
2022-09-05 03:45:00,VJC,120443.98
2022-09-05 03:50:00,VJC,120438.64
2022-09-05 03:55:00,VJC,120243.81
2022-09-05 04:00:00,VJC,120207.59
2022-09-05 04:05:00,VJC,120175.81
2022-09-05 04:10:00,VJC,120140.0
2022-09-05 04:15:00,VJC,120164.63
2022-09-05 04:20:00,VJC,120113.31
2022-09-05 04:25:00,VJC,120220.0
2022-09-05 06:00:00,VJC,120200.0
2022-09-05 06:05:00,VJC,120100.0
2022-09-05 06:10:00,VJC,120039.66
2022-09-05 06:15:00,VJC,120250.0
2022-09-05 06:20:00,VJC,119988.37
2022-09-05 06:25:00,VJC,119900.0
2022-09-05 06:30:00,VJC,119861.43
2022-09-05 06:35:00,VJC,119787.5
2022-09-05 06:40:00,VJC,119586.17
2022-09-05 06:45:00,VJC,119688.89
2022-09-05 06:50:00,VJC,119660.47
2022-09-05 06:55:00,VJC,119615.79
2022-09-05 07:00:00,VJC,119572.41
2022-09-05 07:05:00,VJC,119697.14
2022-09-05 07:10:00,VJC,119769.05
2022-09-05 07:15:00,VJC,119655.37
2022-09-05 07:20:00,VJC,119601.8
2022-09-05 07:25:00,VJC,119502.65
2022-09-05 07:30:00,VJC,119500.0
